"adverse_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_choice","trap_or_adverse_reading","contextual_reason_for_exclusion","alternative_held_for_independent_review","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_status","review_state"
"P35-ZH-A001","P35-ZH-T001","current segment A title/introduction; current segment C abstract; current returns A/C","Maximalbereich","极大域","maximal field or set-theoretically largest domain","The producer sense window is the denominator-saturation object described in the current Chinese introduction, not a field-maximality assertion.","饱和域; 极大整环","mixed_or_contested","Risk: the PRC-oriented form 极大域 can attract a maximal-field reading and may overstate fieldhood; zh-Hans-SG and regional Traditional Chinese evidence are absent; no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; adverse reading unresolved"
"P35-ZH-A002","P35-ZH-T002","current segment A introduction and §2; current returns A/B/C","Integritätsbereich","整环","integration region or an integrally closed ring","The current returns anchor the no-zero-divisor ring sense and do not assert integral closure.","整域; 无零因子环","modern_sino_xenic_coinage_or_calque","Risk: the PRC shelf alternates between 整环 and 整域, and the selected form does not authorize zh-Hans-SG or regional Traditional Chinese usage; no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; adverse reading unresolved"
"P35-ZH-A003","P35-ZH-T003","current segment A §2; current return A","Quotientenkörper","分式域","quotient ring or residue field","The current Chinese context places the object above an integral domain as its fraction field.","商域; 分数域","modern_sino_xenic_coinage_or_calque","Risk: 分式域 is a PRC-oriented algebra term while 商域 remains a competing attractor; non-PRC Chinese evidence is absent and no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; adverse reading unresolved"
"P35-ZH-A004","P35-ZH-T004","current segment A introduction/§2; current segment B §3; current segment C note 5; current returns A/B/C","Transzendenzgrad","超越次数","ordinary degree, polynomial degree, or matrix rank","The current Chinese wording ties the count to algebraic independence and dependence.","超越度","modern_sino_xenic_coinage_or_calque","Risk: 超越次数 competes with 超越度 on the PRC shelf; zh-Hans-SG and regional Traditional Chinese evidence are absent and no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; adverse reading unresolved"
"P35-ZH-A005","P35-ZH-T005","current segment A title/introduction; current return A","ganzzahlige Funktionen","整数系数函数","the complex-analysis term 整函数 or an integer-valued function","Current return A explicitly records the expansion to avoid analytic ambiguity.","整数函数 with an explicit first-use gloss","mixed_or_contested","Adverse: the expanded PRC-oriented phrase avoids the complex-analysis attractor 整函数, but its historical and regional Chinese acceptability is untested; no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; adverse reading unresolved"
"P35-ZH-A006","P35-ZH-T006","current segment B §3; current return B","Vielfaches (Unterideal)","倍理想（子理想）","ordinary numerical multiple or the opposite ideal inclusion","The producer retained the parenthetical 子理想 cue instead of silently modernizing the historical relation.","子理想 with a first-use source gloss","mixed_or_contested","Adverse: 倍理想 is a literal PRC-oriented rendering with a strong numerical-multiple attractor and possible inclusion-order confusion; no regional evidence or scalar is supplied.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; adverse reading unresolved"
"P35-ZH-A007","P35-ZH-T007","current segment A §2; current segment B §3; current segment C note 5; current returns B/C","irreduzibles System","不可约系统","a system irreducible under factorization or decomposition","The current Chinese note supplies the algebraic-independence sense window while retaining the historical label.","代数无关系统 with a historical-label gloss","mixed_or_contested","Adverse: 不可约系统 is a literal historical calque that can obscure the algebraic-independence sense; non-PRC Chinese evidence is absent and no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; adverse reading unresolved"
"P35-ZH-A008","P35-ZH-T008","current segment B theorem in §2.3; current return B","Bereiche","对象","treating all listed objects as rings or fields","Current return B records neutralization to avoid silently reclassifying the heterogeneous list.","诸对象; 各项","modern_sino_xenic_coinage_or_calque","Risk: 对象 is a PRC-oriented editorial workaround rather than a validated mathematical equivalent; regional Chinese evidence is absent and no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; adverse reading unresolved"
"P35-ZH-A009","P35-ZH-T009","current segment A §1 and §2","not asserted; current Hans producer form only","函数矩阵","matrix-valued function rather than derivative matrix","The producer sense window is fixed by the displayed partial-derivative entries and rank language in current segment A.","雅可比矩阵; 函数导数矩阵","modern_sino_xenic_coinage_or_calque","Risk: 函数矩阵 can be read as a matrix-valued function on the PRC shelf; no zh-Hans-SG or regional Traditional Chinese evidence and no scalar are supplied.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; adverse reading unresolved"
"P35-ZH-A010","P35-ZH-T010","current segment B §3.1 and §3.2; current segment C note 6","not asserted; current Hans producer form only","绝对素理想","ordinary prime ideal without the coefficient-extension condition","The current Chinese segment fixes the sense by the extended coefficient-ring construction.","几何素理想 with explicit definition","modern_sino_xenic_coinage_or_calque","Risk: 绝对素理想 is a PRC-oriented historical algebra calque with no independent regional Chinese shelf; no readiness scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; adverse reading unresolved"
