"packet","paper","row_id","source","use","limitation","boundary","source_use_label_c33","boundary_c33","source_use_label_de6","boundary_de6","source_use_label_a7d","boundary_a7d","carryforward_head","source_use_label_faa2","boundary_faa2"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","canonical segment/source-context witness","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","German final-audited slice witness","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","gap queue input","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-SOURCE-0001","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\paper05\Noether_Paper05_German_FINAL_AUDITED_slice.tex","canonical German segment spine for hashes and source context","not standalone TeX build","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-SOURCE-0002","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\paper05\Noether_Paper05_SOURCE_SCAN_FINAL_AUDITED.pdf","source scan provenance/render source check","no license clearance claim","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-SOURCE-0003","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\paper05\Noether_Paper05_English_FINAL_AUDITED_control_slice.tex","control comparison only","not Slavic authority and not native review","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-SOURCE-0004","C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_SEGMENT_GAP_CLASSIFICATION_LEDGER_20260706\SEGMENT_GAP_CLASSIFICATION_LEDGER.csv","gap-class input with local correction for vspace technical row","gap ledger classification can be corrected by source inspection","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","","canonical segment/source-context witness","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","","German final-audited slice witness for source lines","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","","English control file path from segment spine, if present","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","","gap queue input for generated-draft rows","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER26_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper26","","","canonical segment/source-context witness","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER26_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper26","","","German final-audited slice witness for source lines","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER26_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper26","","","gap queue input for generated-draft rows","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER27_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper27","","","canonical segment/source-context witness","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER27_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper27","","","German final-audited slice witness for source lines","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER27_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper27","","","gap queue input for generated-draft rows","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER28_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper28","","","canonical segment/source-context witness","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER28_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper28","","","German final-audited slice witness for source lines","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER28_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper28","","","gap queue input for generated-draft rows","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","","","canonical segment/source-context witness","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","","","German final-audited slice witness for source lines","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","","","English control file path from segment spine, if present","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER32_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper32","","","gap queue input for generated-draft rows","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER36_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper36","","","canonical segment/source-context witness","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER36_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper36","","","German final-audited slice witness for source lines","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
"SLAVIC_PAPER36_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper36","","","gap queue input for generated-draft rows","","source-use ledger row; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","Fable/source-use carryforward","routing context only; no license clearance claim","FAA2C330","Fable/source-use carryforward","routing context only; no license clearance claim"
