"packet","paper","row_id","item","action","reason","boundary","source_use_label_c33","boundary_c33","source_use_label_de6","boundary_de6","source_use_label_a7d","boundary_a7d","carryforward_head","source_use_label_faa2","boundary_faa2"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-NORM-0001","funkcijny korpus","do_not_promote_default","Potential calque from German Körper; field/polje is safer mathematical base.","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-NORM-0002","Rationalbasis as accepted term","do_not_claim_accepted","Draft alternatives only until review.","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-NORM-0003","Integritätsbasis","keep_source_register_note","Term may map differently in modern algebra language.","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-NORM-0004","Lagrangesche Gattungsbereiche","do_not_normalize_away","Historical term anchors Noether source context.","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-NORM-0005","automaton v2","architecture_only","Current Interslavic measurement remains State C.","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","","","","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","","","","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","","","","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","","","","do-not-use/normalization guard","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim","FAA2C330","do-not-use/normalization carryforward","normalization guard; no accepted terminology claim"
