"metric","value","notes"
"artifact","SLAVIC_FAA2C330_TOKEN_RESET_CURRENT_HEAD_RECHECK_20260706","FAA2 token-reset Slavic baseline current-head recheck"
"branch_status","matches FAA2C330 current head","observed faa2c330deb886098750dafb5c500e244e1333fe"
"commits_since_a7d","3","branch history rows"
"delta_rows_since_a7d","115","changed paths in A7D..FAA2"
"direct_slavic_or_interslavic_path_rows","0","path-string heuristic"
"b3_transfer_context_rows","81","B3 routing context"
"non_slavic_or_adjacent_exclusion_rows","34","kept out of canonical Slavic output"
"carryforward_artifacts_verified","3","prior evidence chain"
"source_witness_rows_carried","36","source witness index rows"
"formula_neighboring_rows_carried","23","formula/source-context rows"
"term_alternative_rows_carried","68","term alternatives, not accepted terminology"
"fable_source_use_rows_carried","27","source-use routing only"
"adverse_evidence_rows_carried","36","risk guard rows"
"branch_weight_rows_carried","24","Fable branch-weight routing rows"
"marginal_intelligibility_rows_carried","24","Fable marginal-intelligibility rows"
"do_not_use_normalization_rows_carried","18","normalization guard rows"
"blocker_rows","3","active blocker/recovery rows"
"completion_claim","none","source-use/provenance/gap/draft support only"
