"packet","paper","row_id","risk","mitigation","boundary","source_use_label_c33","boundary_c33","source_use_label_de6","boundary_de6","source_use_label_a7d","boundary_a7d","carryforward_head","source_use_label_faa2","boundary_faa2"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","No native/community review evidence.","Keep generated-draft/non-canonical labels.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","Rows are condensed pretranslation/interlinear support, not full translation.","Do not count as translation completion.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","Term may not carry symbolic-method sense.","Keep alternatives and DNU promotion check.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","Header/clearpage could be mistaken as content gaps.","Route as technical candidate evidence.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-ADV-0001","Körper rendered inconsistently as body/corpus/field","term alternatives table and source-context note","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-ADV-0002","Basis terms look accepted if presented without labels","all outputs generated-draft/noncanonical/not-native-reviewed","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-ADV-0003","East-Slavic-skewed ISV surface may creep back","State C boundary and do-not-use normalization rows","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-ADV-0004","Standalone layout commands may become bogus language rows","P05-S0004 reclassified as technical evidence","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-ADV-0005","Hilbert 14 paragraph could overclaim theorem scope","formula/source notes retain source wording and sufficiency boundary","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","No native/community review evidence.","Keep generated-draft/non-canonical labels.","adverse-evidence guard","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","adverse evidence carryforward","risk guard; not blocker-only output","FAA2C330","adverse evidence carryforward","risk guard; not blocker-only output"
