session_id	prompt_id	status	source_pages	english_pages	apparatus_pages	final_pages	note
S01	P01	COMPLETE	6	6	6	6	Authority pages 001-006 independently replayed; French frozen before witness consultation; standalone English and restrained apparatus accepted; authority assets, readers, state validation, and external consistency audit passed.
S02	P02	COMPLETE	12	12	12	12	Authority pages 007-012 independently replayed; French frozen before witness consultation; standalone English and restrained apparatus accepted; authority assets, readers, state validation, visual QA, and fresh nonpatching cold audit passed.
S03	P03	COMPLETE	18	18	18	18	Authority pages 013-018 independently replayed; French frozen before witness consultation; standalone English and restrained apparatus accepted; inherited detector crops retained as ZERO_ACCEPTED; authority assets and page topology preserved.
S04	P04	COMPLETE	24	24	24	24	Authority pages 019-024 independently replayed; French frozen before witness pixels; standalone English and restrained apparatus accepted; 92 inherited crop members byte-replayed as ZERO_ACCEPTED; diagrams and formula topology preserved in 12 authority asset pairs.
S05	P05	COMPLETE	30	30	30	30	Authority pages 025-030 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 68 inherited crop members byte-replayed as ZERO_ACCEPTED; formulas and exact page topology preserved in 12 authority asset pairs.
S06	P06	COMPLETE	36	36	36	36	Authority pages 031-036 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 42 inherited crop members byte-replayed as 21 ZERO_ACCEPTED pairs; drawings, diagrams, formulas, source anomalies, and exact page topology preserved in 12 authority asset pairs.
S07	P07	COMPLETE	42	42	42	42	Authority pages 037-042 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 18 inherited crop members byte-replayed as 9 ZERO_ACCEPTED pairs; diagrams, formulas, plain-s pixel traps, source anomalies, and exact page topology preserved in 12 authority assets.
S08	P08	COMPLETE	48	48	48	48	Authority pages 043-048 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; inherited diagram rows byte-replayed as ZERO_ACCEPTED comparison evidence; literal page boundaries and source anomalies preserved.
S09	P09	COMPLETE	54	54	54	54	Authority pages 049-054 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 22 inherited diagram members byte-replayed as 11 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S10	P10	COMPLETE	60	60	60	60	Authority pages 055-060 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 28 inherited diagram members byte-replayed as 14 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S11	P11	COMPLETE	66	66	66	66	Authority pages 061-066 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 18 inherited diagram members byte-replayed as 9 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S12	P12	COMPLETE	72	72	72	72	Authority pages 067-072 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 32 inherited diagram members byte-replayed as 16 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S13	P13	COMPLETE	78	78	78	78	Authority pages 073-078 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 38 inherited diagram members byte-replayed as 19 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S14	P14	COMPLETE	84	84	84	84	Authority pages 073-078 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 48 inherited diagram members byte-replayed as 24 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S15	P15	COMPLETE	90	90	90	90	Authority pages 085-090 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 36 inherited diagram members byte-replayed as 18 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S16	P16	COMPLETE	96	96	96	96	Authority pages 091-096 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 22 inherited diagram members byte-replayed as 11 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S17	P17	COMPLETE	102	102	102	102	Authority pages 097-102 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 50 inherited diagram members byte-replayed as 25 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S18	P18	COMPLETE	108	108	108	108	Authority pages 103-108 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 46 inherited diagram members byte-replayed as 23 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S19	P19	COMPLETE	114	114	114	114	Authority pages 109-114 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 40 inherited diagram members byte-replayed as 20 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S20	P20	COMPLETE	120	120	120	120	Authority pages 115-120 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 54 inherited diagram members byte-replayed as 27 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S21	P21	COMPLETE	126	126	126	126	Authority pages 121-126 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 18 inherited diagram members byte-replayed as 9 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S22	P22	COMPLETE	132	132	132	132	Authority pages 127-132 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 32 inherited diagram members byte-replayed as 16 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S23	P23	COMPLETE	138	138	138	138	Authority pages 133-138 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 44 inherited diagram members byte-replayed as 22 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S24	P24	COMPLETE	144	144	144	144	Authority pages 139-144 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 56 inherited diagram members byte-replayed as 28 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S25	P25	COMPLETE	150	150	150	150	Authority pages 145-150 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 40 inherited diagram members byte-replayed as 20 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S26	P26	COMPLETE	156	156	156	156	Authority pages 151-156 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 50 inherited diagram members byte-replayed as 25 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S27	P27	COMPLETE	162	162	162	162	Authority pages 157-162 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 42 inherited diagram members byte-replayed as 21 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
S28	P28	COMPLETE	168	168	168	168	Authority pages 163-168 independently replayed; source frozen before witness pixels; standalone English and restrained apparatus accepted; 50 inherited diagram members byte-replayed as 25 ZERO_ACCEPTED lineage pairs; literal page boundaries and source anomalies preserved.
