"field","value","source_use_label"
"packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_DFB0AC3E_REPAIRED_2BD_BRANCH_VISIBLE_SOURCE_USE_GAP_20260707\R3_DFB0AC3E_REPAIRED_2BD_BRANCH_VISIBLE_SOURCE_USE_GAP_20260707_20260707T030352Z","b3-uploader-summary"
"requested_frontier","dfb0ac3e028edec63ac62095c6759e64741645d2","b3-uploader-summary"
"observed_origin_head","359bc2139248524bd5e3a954ce5c1482961d7adb","b3-uploader-summary"
"requested_is_origin_head","False","b3-uploader-summary"
"branch_commits_from_6a895","1","b3-uploader-summary"
"branch_delta_rows_from_6a895","41","b3-uploader-summary"
"branch_repair_status","branch-visible-repair-validated","b3-uploader-summary"
"recovery_rows","4","b3-uploader-summary"
"fable_adverse_boundary_rows","3","b3-uploader-summary"
"language_lane_push","false","b3-uploader-summary"
"claims","no native review, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation-completion claim","b3-uploader-summary"
