term_id,german_form,korean_form,hangul_hanja,sense_window,excluded_senses,ko_kr_status,ko_kp_status,evidence_ids,adverse_ids,source_probe,target_probe,decision_state,revisit_condition
KO-P29-U03-T001,Beweis des Endlichkeitskriteriums,유한성 판정기준의 증명,有限性 判定基準; 證明,Noether's proof of the finite-generation criterion in this paper.,Termination criteria or finite-cardinality tests.,accepted_internal,unverified_do_not_claim,KO-P29-U03-E005,KO-P29-U03-A001,Beweis des Endlichkeitskriteriums,유한성 판정기준의 증명,translated,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T002,endlicher Integritätsbereich,유한 생성 정역,有限 生成 整域,A domain finitely generated as the relevant algebra/ring.,A domain with finitely many elements.,accepted_internal_sense_locked,unverified_do_not_claim,KO-P29-U03-E001|KO-P29-U03-E005,KO-P29-U03-A001,endlicher Integritätsbereich,유한 생성 정역,translated,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T003,endlicher Unterring,유한 생성 부분환,有限 生成 部分環,A finitely generated subring R or T.,A finite-cardinality subring.,accepted_internal_sense_locked,unverified_do_not_claim,KO-P29-U03-E002,KO-P29-U03-A002,endlichen Unterring,유한 생성인,translated,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T004,notwendig / hinreichend / Voraussetzung,필요하다 / 충분하다 / 가정,必要 / 充分 / 假定,"Logical necessity, sufficiency, and the extra characteristic-p hypothesis.",Treating the criterion condition and extra field hypothesis as the same proposition.,accepted_internal,unverified_do_not_claim,KO-P29-U03-E006,KO-P29-U03-A003,offenbar notwendig,필요함은 명백하다,translated,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T005,Wurzelkörper P^{1/p},근체(Wurzelkörper) P^{1/p},根體,"Noether's characteristic-p field P^{1/p}, tied to the cited source definition.","A generic splitting field, Wurzelring, or one unspecified root extension.",provisional_historical_source_label_retained,unverified_do_not_claim,KO-P29-U03-E002|KO-P29-U03-E004,KO-P29-U03-A004,Wurzelkörper,근체(Wurzelkörper),held,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T006,Koeffizientenkörper,계수체,係數體,The coefficient field P.,A coefficient ring/region when field structure is not asserted.,accepted_internal,unverified_do_not_claim,KO-P29-U03-E002,KO-P29-U03-A005,Koeffizientenkörper,계수체,translated,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T007,Charakteristik p / Null,표수 p / 표수 0,標數,Characteristic of the coefficient field.,Euler characteristic or ordinary character.,accepted_internal,unverified_do_not_claim,KO-P29-U03-E005,KO-P29-U03-A005,Charakteristik,표수,translated,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T008,endliche Modulbasis,유한 가군 생성계(Modulbasis),有限 加群 生成系,A finite module-generating system over a subring of R.,A free-module basis or linearly independent basis.,accepted_internal_source_label_retained,unverified_do_not_claim,KO-P29-U03-E001|KO-P29-U03-E002,KO-P29-U03-A006,Modulbasis,가군 생성계(Modulbasis),translated,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T009,Quotientenkörper,분수체,分數體,Fraction field of a domain.,Quotient/residue field.,accepted_internal,unverified_do_not_claim,KO-P29-U03-E002,KO-P29-U03-A007,Quotientenkörper,분수체,translated,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T010,Ringe ohne Nullteiler,영인자가 없는 환,零因子; 環,"R and S have no nonzero zero divisors, hence fraction fields exist.","A claim merely that K and L are rings, or a noncommutative generalization.",accepted_contextual,unverified_do_not_claim,KO-P29-U03-E002,KO-P29-U03-A007,Ringe ohne Nullteiler,영인자가 없는 환,translated,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T011,endlicher algebraischer Erweiterungskörper,유한 대수적 확대체,有限 代數的 擴大體,An algebraic field extension of finite degree.,Finite cardinality or a finitely generated transcendental extension.,accepted_internal_sense_locked,unverified_do_not_claim,KO-P29-U03-E002|KO-P29-U03-E003|KO-P29-U03-E006,KO-P29-U03-A008,endlicher algebraischer Erweiterungskörper,유한 대수적 확대체,translated,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T012,ganz inbezug auf R / R-ganze Elemente,R에 대해 정수적 / R에 대해 정수적인 원소,整數的 元素,"Integral over R, i.e. root of a monic polynomial over R.",Ordinary integers or integer-valued elements.,accepted_contextual,unverified_do_not_claim,KO-P29-U03-E001|KO-P29-U03-E005,KO-P29-U03-A009,ganz inbezug,에 대해 정수적,translated,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T013,ganze Abgeschlossenheit von R in K,K 안에서 정수적으로 닫혀 있음 / 정수적 닫힘 조건,整數的,Relative integral closedness in the stated overfield/fraction-field setting.,"Algebraic closure, topological closure, or completeness.",provisional_contextual,unverified_do_not_claim,KO-P29-U03-E001,KO-P29-U03-A010,ganze Abgeschlossenheit,정수적으로 닫혀,translated,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
KO-P29-U03-T014,Teilerkettensatz,약수사슬정리(Teilerkettensatz),約數; 사슬; 定理,Noether's historical divisor-chain theorem used under finite extension.,An unqualified identification with a modern ACC/DCC theorem.,held_historical_source_label_retained,unverified_do_not_claim,KO-P29-U03-E005,KO-P29-U03-A011,Teilerkettensatz,약수사슬정리(Teilerkettensatz),held,"Qualified Korean/DPRK review, sealed-source change, or a later corpus contradiction."
