adverse_id,symptom_or_risk,control_or_resolution,term_ids,state,language_basis,revisit_condition
KO-P29-U03-A001,Bare 유한 can attract the finite-cardinality reading in ring contexts.,Use 유한 생성 and preserve source sense window.,KO-P29-U03-T001|KO-P29-U03-T002,active_control,Korean semantics and source logic; no Chinese/Japanese authorization,Qualified Korean/DPRK review or new local-language evidence.
KO-P29-U03-A002,Bare 유한 부분환 is ambiguous between finite generation and finite cardinality.,Lock 유한 생성 부분환.,KO-P29-U03-T003,active_control,Korean semantics and source logic; no Chinese/Japanese authorization,Qualified Korean/DPRK review or new local-language evidence.
KO-P29-U03-A003,Criterion condition and extra characteristic-p hypothesis can be conflated.,Name necessity/sufficiency and the additional 가정 separately.,KO-P29-U03-T004,active_control,Korean semantics and source logic; no Chinese/Japanese authorization,Qualified Korean/DPRK review or new local-language evidence.
KO-P29-U03-A004,"Korean 근체 is attested for equation root/splitting-field contexts, but exact P^{1/p} use was not recovered.",Retain Wurzelkörper and held status; exclude Wurzelring.,KO-P29-U03-T005,held,Korean semantics and source logic; no Chinese/Japanese authorization,Qualified Korean/DPRK review or new local-language evidence.
KO-P29-U03-A005,"계수 영역 and 계수체 differ, and 표수 has unrelated uses outside field theory.",Use the field-specific context and explicit P.,KO-P29-U03-T006|KO-P29-U03-T007,active_control,Korean semantics and source logic; no Chinese/Japanese authorization,Qualified Korean/DPRK review or new local-language evidence.
KO-P29-U03-A006,"기저 suggests linear independence/freeness, which German Modulbasis need not assert here.",Use 가군 생성계 and retain Modulbasis.,KO-P29-U03-T008,active_control,Korean semantics and source logic; no Chinese/Japanese authorization,Qualified Korean/DPRK review or new local-language evidence.
KO-P29-U03-A007,몫체/상체 can attract quotient-field or residue-field senses; pronoun antecedents can become circular.,"Use 분수체 and name R,S explicitly as domains.",KO-P29-U03-T009|KO-P29-U03-T010,active_control,Korean semantics and source logic; no Chinese/Japanese authorization,Qualified Korean/DPRK review or new local-language evidence.
KO-P29-U03-A008,Field-theoretic 유한 can be confused with finite cardinality.,Sense-lock 유한 대수적 확대체 to finite degree.,KO-P29-U03-T011,active_control,Korean semantics and source logic; no Chinese/Japanese authorization,Qualified Korean/DPRK review or new local-language evidence.
KO-P29-U03-A009,정수적 can be misread as ordinary integer-valuedness.,Record the monic-polynomial sense and the base ring R.,KO-P29-U03-T012,active_control,Korean semantics and source logic; no Chinese/Japanese authorization,Qualified Korean/DPRK review or new local-language evidence.
KO-P29-U03-A010,닫힘 can attract algebraic/topological closure.,Use predicate 정수적으로 닫혀 and retain the ambient field.,KO-P29-U03-T013,active_control,Korean semantics and source logic; no Chinese/Japanese authorization,Qualified Korean/DPRK review or new local-language evidence.
KO-P29-U03-A011,약수사슬정리 lacks exact Korean historical attestation and may be over-modernized.,Retain German label and held status.,KO-P29-U03-T014,held,Korean semantics and source logic; no Chinese/Japanese authorization,Qualified Korean/DPRK review or new local-language evidence.
KO-P29-U03-A012,Chinese/Japanese cognates and Mandarin-Simplified search dominance could appear to authorize Korean forms.,"Treat them as no Korean evidence; qualitative debt only, never a readiness scalar.",KO-P29-U03-T001|KO-P29-U03-T002|KO-P29-U03-T003|KO-P29-U03-T004|KO-P29-U03-T005|KO-P29-U03-T006|KO-P29-U03-T007|KO-P29-U03-T008|KO-P29-U03-T009|KO-P29-U03-T010|KO-P29-U03-T011|KO-P29-U03-T012|KO-P29-U03-T013|KO-P29-U03-T014,active_control,Korean semantics and source logic; no Chinese/Japanese authorization,Qualified Korean/DPRK review or new local-language evidence.
