"paper","printed_page","original_pdf_page","full_page_witness","dense_slice_witnesses","live_tex_line_band","rendered_output_page_or_band","page_disposition"
"P08","093","1","full_pages_650dpi/noether_paper08_printed_p093_650dpi.png","slices_1000dpi/noether_paper08_p093_slice1of3_1000dpi.png through slice3of3","5940-5956","94","audited_patched"
"P08","094","2","full_pages_650dpi/noether_paper08_printed_p094_650dpi.png","slices_1000dpi/noether_paper08_p094_slice1of3_1000dpi.png through slice3of3","5956-6000","94-95","audited_patched"
"P08","095","3","full_pages_650dpi/noether_paper08_printed_p095_650dpi.png","slices_1000dpi/noether_paper08_p095_slice1of3_1000dpi.png through slice3of3","6000-6012","95","audited_patched"
"P08","096","4","full_pages_650dpi/noether_paper08_printed_p096_650dpi.png","slices_1000dpi/noether_paper08_p096_slice1of3_1000dpi.png through slice3of3","6012-6082","95-96","audited_patched"
"P08","097","5","full_pages_650dpi/noether_paper08_printed_p097_650dpi.png","slices_1000dpi/noether_paper08_p097_slice1of3_1000dpi.png through slice3of3","6082-6152","96-97","audited_patched"
"P08","098","6","full_pages_650dpi/noether_paper08_printed_p098_650dpi.png","slices_1000dpi/noether_paper08_p098_slice1of3_1000dpi.png through slice3of3","6152-6200","97","audited_patched_hard_math"
"P08","099","7","full_pages_650dpi/noether_paper08_printed_p099_650dpi.png","slices_1000dpi/noether_paper08_p099_slice1of3_1000dpi.png through slice3of3","6200-6243","98","audited_patched_hard_math"
"P08","100","8","full_pages_650dpi/noether_paper08_printed_p100_650dpi.png","slices_1000dpi/noether_paper08_p100_slice1of3_1000dpi.png through slice3of3","6243-6272","98-99","audited_patched_hard_math"
"P08","101","9","full_pages_650dpi/noether_paper08_printed_p101_650dpi.png","slices_1000dpi/noether_paper08_p101_slice1of3_1000dpi.png through slice3of3","6272-6308","99","audited_no_patch"
"P08","102","10","full_pages_650dpi/noether_paper08_printed_p102_650dpi.png","slices_1000dpi/noether_paper08_p102_slice1of3_1000dpi.png through slice3of3","6308-6330","99","audited_patched"
