"paper","printed_page","source_full_page","source_dense_slices","visual_check_by","audit_depth","defects_found","fixes_applied","negative_controls","status","render_evidence","notes"
"P08","093","full_pages_650dpi/noether_paper08_printed_p093_650dpi.png","slices_1000dpi/noether_paper08_p093_slice1of3_1000dpi.png through slice3of3","LocalCodex 2026-07-19","complete page opened against live TeX; prose, title, notes, math, continuity","2 source-emphasis omissions","restored Hilbert-conjecture and reduction-theorem emphasis","title, author line, opening punctuation, first source note retained","closed_current_head_complete_page_source_audit","04_renders/after/P08_after-094.png","No diagram or table on this page."
"P08","094","full_pages_650dpi/noether_paper08_printed_p094_650dpi.png","slices_1000dpi/noether_paper08_p094_slice1of3_1000dpi.png through slice3of3","LocalCodex 2026-07-19","complete page opened against live TeX; displays and continued prose checked","source emphasis and one colon omitted","restored emphasis on rational coefficients, Reduktionssatz, and the Hilbert statement; restored colon after Polarprozesse","odd printed phrase 'volle Systeme' retained exactly; no silent grammar normalization","closed_current_head_complete_page_source_audit","04_renders/after/P08_after-094.png; 04_renders/after/P08_after-095.png","Source-literal wording outranks grammatical expectation."
"P08","095","full_pages_650dpi/noether_paper08_printed_p095_650dpi.png","slices_1000dpi/noether_paper08_p095_slice1of3_1000dpi.png through slice3of3","LocalCodex 2026-07-19","complete page opened against live TeX; formulas and notes checked","source emphasis on 'Tatsache' omitted","restored source emphasis","all formulas and the linear-family definition retained","closed_current_head_complete_page_source_audit","04_renders/after/P08_after-095.png","No mathematical-symbol delta found."
"P08","096","full_pages_650dpi/noether_paper08_printed_p096_650dpi.png","slices_1000dpi/noether_paper08_p096_slice1of3_1000dpi.png through slice3of3","LocalCodex 2026-07-19","complete page opened against live TeX; source-note call and formula family checked","several emphasis omissions; footnote marker attached to wrong formula","restored source emphasis and moved the note call to the first f(x,y,z) expansion formula","the later g_i coefficient relation remains unmarked; formula contents unchanged","closed_current_head_complete_page_source_audit","04_renders/after/P08_after-096.png","Rendered marker and bottom note body were reopened after compilation."
"P08","097","full_pages_650dpi/noether_paper08_printed_p097_650dpi.png","slices_1000dpi/noether_paper08_p097_slice1of3_1000dpi.png through slice3of3","LocalCodex 2026-07-19","complete page opened against live TeX; rank argument and substitutions checked","source emphasis omitted in Teilschar/Tatsache and one-to-one correspondence prose","restored exact source emphasis spans","printed product (zy)x retained; neighboring semicolon/comma families not homogenized","closed_current_head_complete_page_source_audit","04_renders/after/P08_after-096.png; 04_renders/after/P08_after-097.png","No diagram or table."
"P08","098","full_pages_650dpi/noether_paper08_printed_p098_650dpi.png","slices_1000dpi/noether_paper08_p098_slice1of3_1000dpi.png through slice3of3; enlarged local crop tmp_inspection/P08_p098_Gi_block_1040dpi_equiv.png","LocalCodex 2026-07-19","complete page plus dense equation field reopened at 1000dpi-equivalent enlargement","wrong separator in g expansion; six exponent indices collapsed into mixed nu/alpha/beta families; factorial family followed same wrong split","restored source comma in g(lambda,xy), kappa_1 through kappa_6 exponents, and kappa_1!...kappa_6! factorial product","generic g(lambda;xy) occurrences elsewhere retain semicolons; previously repaired operator first argument remains partial/lambda","closed_current_head_complete_page_source_audit_hard_math","04_renders/after/P08_after-097.png","This page overturns the earlier R480/R298 'source-certain semicolon' claim."
"P08","099","full_pages_650dpi/noether_paper08_printed_p099_650dpi.png","slices_1000dpi/noether_paper08_p099_slice1of3_1000dpi.png through slice3of3","LocalCodex 2026-07-19","complete page opened against live TeX; general h(A) display and equation (2) checked","display punctuation normalized; equation (2) lost congruence sign; source emphasis omitted","restored semicolon after g(lambda;A_1...A_n), restored Z equiv sum PH mod Delta, restored emphasis on 'drei ternaere Reihen'","surrounding determinant identities and signs retained","closed_current_head_complete_page_source_audit_hard_math","04_renders/after/P08_after-098.png","Congruence is mathematically substantive."
"P08","100","full_pages_650dpi/noether_paper08_printed_p100_650dpi.png","slices_1000dpi/noether_paper08_p100_slice1of3_1000dpi.png through slice3of3","LocalCodex 2026-07-19","complete page plus Omega equation/note reopened at 1000dpi","first operand normalized from h(xyz) to h(x,y,z); source-note LHS c*Omega(h)= omitted; conclusion emphasis omitted","restored h(xyz), restored c\u00b7Omega(h)=, and restored source emphasis","main Omega equation central minus retained after 1000dpi recheck; it is not an equals sign","closed_current_head_complete_page_source_audit_hard_math","04_renders/after/P08_after-098.png; 04_renders/after/P08_after-099.png","Omitted LHS changes the meaning and is logged separately from typography."
"P08","101","full_pages_650dpi/noether_paper08_printed_p101_650dpi.png","slices_1000dpi/noether_paper08_p101_slice1of3_1000dpi.png through slice3of3","LocalCodex 2026-07-19","complete page opened against live TeX; formulas (3)-(4), substitutions, operators, prose checked","none","none","formulas (3) and (4), determinants, nabla/Omega symbols, and specialization prose retained","closed_current_head_complete_page_source_audit_no_patch","04_renders/after/P08_after-099.png","No source-certain delta found."
"P08","102","full_pages_650dpi/noether_paper08_printed_p102_650dpi.png","slices_1000dpi/noether_paper08_p102_slice1of3_1000dpi.png through slice3of3","LocalCodex 2026-07-19","complete final page opened against live TeX; formula (5), final theorem sentence, date, continuity checked","final source emphasis omitted","restored source emphasis on the closing exhaustion statement","formula (5), date, punctuation, and article boundary retained","closed_current_head_complete_page_source_audit","04_renders/after/P08_after-099.png","Paper 9 boundary checked; no P09 content changed."
