"fix_id","paper","printed_page","tex_line_or_anchor","error_class","before","source_backed_after","source_evidence","origin","verification","status","notes"
"P08-20260719-F001","P08","093","line 5954","source typography/emphasis omission","Hilbert conjecture clause roman","exact conjecture clause emphasized","p093 full page and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; output p094 opened","promoted","Diplomatic typography repair."
"P08-20260719-F002","P08","093","line 5956","source typography/emphasis omission","reduction theorem statement roman","exact theorem statement emphasized","p093 full page and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; output p094 opened","promoted","Diplomatic typography repair."
"P08-20260719-F003","P08","094","lines 5971-5981","source punctuation/emphasis omission","rational-coefficient phrase and Reduktionssatz roman; period after Polarprozesse","source emphasis restored; colon after Polarprozesse","p094 full page and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; outputs p094-p095 opened","promoted","Grouped exact source-style repair."
"P08-20260719-F004","P08","094-095","line 6000","source typography/emphasis omission","Hilbert conjecture statement roman","complete source statement emphasized","p094-p095 full pages and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; output p095 opened","promoted","Statement spans source-page continuity."
"P08-20260719-F005","P08","095","line 6011","source typography/emphasis omission","Tatsache roman","Tatsache emphasized","p095 full page and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; output p095 opened","promoted","No formula change."
"P08-20260719-F006","P08","096","lines 6015-6018 and 6082","source typography/emphasis omission","source-stressed equivalence/proof phrases flattened","exact source emphasis spans restored","p096 full page and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; output p096 opened","promoted","Grouped typography repair."
"P08-20260719-F007","P08","096","lines 6035-6045","source-note anchor displacement","note marker followed later g_i coefficient formula","note marker follows first f(x,y,z) expansion formula","p096 full page and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; output p096 marker/body opened","promoted","Apparatus relationship restored without changing note body."
"P08-20260719-F008","P08","097","lines 6082 and 6095","source typography/emphasis omission","Teilschar/Tatsache and one-to-one relation prose flattened","exact source emphasis spans restored","p097 full page and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; output p097 opened","promoted","No symbol normalization."
"P08-20260719-F009","P08","098","line 6155","separator transcription error","g(\\lambda;xy)","g(\\lambda,xy)","p098 650dpi page; 1000dpi slice; enlarged Gi block crop","LocalCodex found while reopening prior hard locus","two-pass compile; output p097 opened at original detail","promoted_overturns_prior_claim","Supersedes R480/R298 claim that semicolon was source-certain at this exact expansion."
"P08-20260719-F010","P08","098","lines 6155-6156","hard-math index-family drift","nu_1,nu_2,alpha_1,alpha_2,beta_1,beta_2","varkappa_1 through varkappa_6","p098 650dpi page; 1000dpi slice; enlarged Gi block crop","LocalCodex found during fresh dense-field audit","two-pass compile; output p097 opened at original detail","promoted","Six distinct source indices restored."
"P08-20260719-F011","P08","098","line 6160","hard-math factorial-family drift","nu_1!nu_2!alpha_1!alpha_2!beta_1!beta_2!","varkappa_1!varkappa_2!...varkappa_6!","p098 650dpi page; 1000dpi slice; enlarged Gi block crop","LocalCodex found during fresh dense-field audit","two-pass compile; output p097 opened at original detail","promoted","Matches immediately preceding six-index expansion."
"P08-20260719-F012","P08","099","line 6200","source display punctuation","period after g(lambda;A_1...A_n)","semicolon after display","p099 full page and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; output p098 opened","promoted","Diplomatic punctuation."
"P08-20260719-F013","P08","099","line 6215, equation (2)","hard-math relation operator","Z = sum PH (mod Delta)","Z equiv sum PH (mod Delta)","p099 full page and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; output p098 opened","promoted","Equality had erased the source congruence."
"P08-20260719-F014","P08","099","line 6220","source typography/emphasis omission","drei ternaere Reihen roman","source phrase emphasized","p099 full page and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; output p098 opened","promoted","No formula change."
"P08-20260719-F015","P08","100","line 6246","hard-math notation normalization","first operand h(x,y,z)","first operand h(xyz)","p100 full page and 1000dpi slices","LocalCodex found during fresh dense-field audit","two-pass compile; output p098 opened","promoted","Preserves the source's compact three-row notation at this exact operand."
"P08-20260719-F016","P08","100","line 6251, source note","hard-math omitted expression","note began with -(...)","c\\cdot\\Omega(h)=-(...)","p100 full page and 1000dpi slices","LocalCodex found during fresh dense-field audit","two-pass compile; outputs p098-p099 opened","promoted","Restores the missing left-hand side, not merely punctuation."
"P08-20260719-F017","P08","100","line 6271","source typography/emphasis omission","identity-(2) conclusion roman","source conclusion emphasized","p100 full page and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; output p099 opened","promoted","No equation delta."
"P08-20260719-F018","P08","102","line 6322","source typography/emphasis omission","closing exhaustion statement roman","complete source conclusion emphasized","p102 full page and 1000dpi slices","LocalCodex found during fresh full-page audit","two-pass compile; output p099 opened","promoted","Final-page source styling restored."
