relative_path,rule_id,occurrences,effect
producer_root/SOURCE_CUSTODY_T01.md,PRIVATE_INTERLANGUAGE_ROOT,1,replace private local-path or operator token only; mathematical/source text otherwise unchanged
producer_root/SOURCE_CUSTODY_T04_T06.md,PRIVATE_INTERLANGUAGE_ROOT,1,replace private local-path or operator token only; mathematical/source text otherwise unchanged
producer_root/SOURCE_CUSTODY_T07.md,PRIVATE_INTERLANGUAGE_ROOT,1,replace private local-path or operator token only; mathematical/source text otherwise unchanged
producer_root/SOURCE_CUSTODY_T08_T09.md,PRIVATE_INTERLANGUAGE_ROOT,1,replace private local-path or operator token only; mathematical/source text otherwise unchanged
producer_root/evidence/csv_artifact_validation/CSV_PROJECTIONS_ARTIFACT_TOOL_VALIDATION_REPORT.json,PRIVATE_USER_ROOT_FORWARD_SLASH,2,replace private local-path or operator token only; mathematical/source text otherwise unchanged
methodology/CJK_KOREAN_PRODUCTION_LESSONS_20260718.md,PRIVATE_USER_ROOT_FORWARD_SLASH,1,replace private local-path or operator token only; mathematical/source text otherwise unchanged
methodology/CJK_KOREAN_PRODUCTION_LESSONS_20260718.md,PRIVATE_INTERLANGUAGE_ROOT,76,replace private local-path or operator token only; mathematical/source text otherwise unchanged
methodology/CJK_KOREAN_PRODUCTION_LESSONS_20260718.md,PRIVATE_DOCUMENTS_ROOT,3,replace private local-path or operator token only; mathematical/source text otherwise unchanged
methodology/CJK_KOREAN_PRODUCTION_LESSONS_20260718.md,OPERATOR_NAME,1,replace private local-path or operator token only; mathematical/source text otherwise unchanged
controls/CJK_DECISION_LOGBOOK_PRIVACY_CLEAN_20260804.md,PRIVATE_INTERLANGUAGE_ROOT,56,replace private local-path or operator token only; mathematical/source text otherwise unchanged
controls/CJK_DECISION_LOGBOOK_PRIVACY_CLEAN_20260804.md,PRIVATE_PAPERS_ROOT,1,replace private local-path or operator token only; mathematical/source text otherwise unchanged
controls/CJK_DECISION_LOGBOOK_PRIVACY_CLEAN_20260804.md,PRIVATE_DOCUMENTS_ROOT,12,replace private local-path or operator token only; mathematical/source text otherwise unchanged
controls/CJK_DECISION_LOGBOOK_PRIVACY_CLEAN_20260804.md,PRIVATE_USER_ROOT,1,replace private local-path or operator token only; mathematical/source text otherwise unchanged
controls/CJK_DECISION_LOGBOOK_PRIVACY_CLEAN_20260804.md,OPERATOR_NAME,19,replace private local-path or operator token only; mathematical/source text otherwise unchanged
controls/NOETH_DE_AUTHORITY_POINTER_v004_20260804.json,PRIVATE_INTERLANGUAGE_ROOT_FORWARD_SLASH,17,replace private local-path or operator token only; mathematical/source text otherwise unchanged
controls/NOETH_DE_AUTHORITY_POINTER_v004_20260804.json,PRIVATE_DOCUMENTS_ROOT_FORWARD_SLASH,2,replace private local-path or operator token only; mathematical/source text otherwise unchanged
controls/20260804_archive_wide_immediate_mathematics_publication_no_hold_policy.md,OPERATOR_NAME,3,replace private local-path or operator token only; mathematical/source text otherwise unchanged
predecessor_privacy_corrections/70_KO_P01_P05_P07_P41_P42_SNAPSHOT_VALIDATION_20260804.json,ESCAPED_JSON_PRIVATE_PATH_1,6,replace private local-path or operator token only; mathematical/source text otherwise unchanged
predecessor_privacy_corrections/70_KO_P01_P05_P07_P41_P42_SNAPSHOT_VALIDATION_20260804.json,ESCAPED_JSON_PRIVATE_PATH_3,1,replace private local-path or operator token only; mathematical/source text otherwise unchanged
predecessor_privacy_corrections/70f_KO_P03__92_SNAPSHOT_VALIDATION.json,ESCAPED_JSON_PRIVATE_PATH_1,7,replace private local-path or operator token only; mathematical/source text otherwise unchanged
predecessor_privacy_corrections/70f_KO_P03__92_SNAPSHOT_VALIDATION.json,ESCAPED_JSON_PRIVATE_PATH_3,2,replace private local-path or operator token only; mathematical/source text otherwise unchanged
predecessor_privacy_corrections/70g_KO_P04_T04_T06__92_SNAPSHOT_VALIDATION.json,ESCAPED_JSON_PRIVATE_PATH_1,1,replace private local-path or operator token only; mathematical/source text otherwise unchanged
predecessor_privacy_corrections/70h_KO_P04_T07__92_SNAPSHOT_VALIDATION.json,ESCAPED_JSON_PRIVATE_PATH_1,1,replace private local-path or operator token only; mathematical/source text otherwise unchanged
