comparison_id,evidence_class,authority_role,unit_id,object_type,source_locator,source_tex_lines,original_printed_pages,physical_source_pdf_pages,target_locator,parent_id,cross_references,critical_controls,decision,result,status,confidence,adverse_or_choice,rejected_alternative,record_revision,continuation_cursor
SGA2-VIII-L12PD13-CMP-001,source_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12PD13-DEG,differential_degree_convention,French line2561 and physical76,2561,85,76,opening emphasized sentence,SGA2-VIII-L12PD13,SGA2-VIII-L12PD13-PROJ,only complexes differential degree plus one,preserve restriction emphasis and signed degree,pass,production_structure_comparison_passed_self_review_pending,high,none,change to degree minus one,1,French source line2573 after blank line2572
SGA2-VIII-L12PD13-CMP-002,source_formula_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12PD13-PROJ,projective_resolution,French lines2561-2562 and physical76,2561-2562,85,76,first display,SGA2-VIII-L12PD13,SGA2-VIII-L12PD13-DEG;SGA2-VIII-L12PD13-VINJ,u from L-bullet to M finite projective resolution,preserve corrected projective reading arrow endpoints and finite length,pass,production_formula_structure_comparison_passed_self_review_pending,high,corrected source selects projective over deleted free,use free resolution,1,French source line2573 after blank line2572
SGA2-VIII-L12PD13-CMP-003,source_formula_logic,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12PD13-PROJ,term_conditions,French line2563 and physical76,2563,85,76,clause after first display,SGA2-VIII-L12PD13,SGA2-VIII-L12PD13-VINJ,every L-sup-p finite and zero outside closed interval minus-n through zero,preserve finite generation superscript p zero and nonmembership interval,pass,production_formula_logic_comparison_passed_self_review_pending,high,none,make interval open or omit finite generation,1,French source line2573 after blank line2572
SGA2-VIII-L12PD13-CMP-004,source_formula_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12PD13-VINJ,injective_resolution_v,French line2563 and physical76,2563,86,76,sentence before equation1.1,SGA2-VIII-L12PD13,SGA2-VIII-L12PD13-PROJ;SGA2-VIII-L12PD13-EQ,v from M to I-bullet,preserve direction injective-resolution role and page86 transition,pass,production_formula_structure_comparison_passed_self_review_pending,high,none,reverse arrow or omit page transition,1,French source line2573 after blank line2572
SGA2-VIII-L12PD13-CMP-005,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12PD13-EQ,composition_equation,French lines2564-2565 and physical76,2564-2565,86,76,equation1.1,SGA2-VIII-L12PD13,SGA2-VIII-L12PD13-VINJ;SGA2-VIII-L12PD13-DEF,v composed with u from L-bullet to I-bullet and tag1.1,preserve composition order domain codomain bullets and equation number,pass,production_formula_comparison_passed_self_review_pending,high,none,u composed with v or unnumbered display,1,French source line2573 after blank line2572
SGA2-VIII-L12PD13-CMP-006,source_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12PD13-EQ,claim_and_transition,French line2566 and physical76,2566,86,76,paragraph after equation1.1,SGA2-VIII-L12PD13,SGA2-VIII-L12PD13-DEF,composition is injective resolution of L-bullet and meaning must be specified,preserve both claim and definitional transition,pass,production_structure_comparison_passed_self_review_pending,high,none,claim resolution of M or omit transition,1,French source line2573 after blank line2572
SGA2-VIII-L12PD13-CMP-007,source_formula_definition,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12PD13-DEF,definition_map,French lines2568-2569 and physical76,2568-2569,86,76,Definition1.3 opening and display,SGA2-VIII-L12PD13,SGA2-VIII-L12PD13-EQ,x from X-bullet to CX-bullet homomorphism of complexes,preserve definition number arrow endpoints and printed CX notation,pass,production_formula_definition_comparison_passed_self_review_pending,high,candidate uses C-sub-X notation,adopt candidate C-sub-X notation,1,French source line2573 after blank line2572
SGA2-VIII-L12PD13-CMP-008,source_formula_logic,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12PD13-DEF,definition_conditions,French lines2570-2571 and physical76,2570-2571,86,76,Definition1.3 closing clause,SGA2-VIII-L12PD13,SGA2-VIII-L12PD13-BOUND,CX-sup-p injective for every integer p and x induces homology isomorphism,preserve termwise quantifier integer domain and induced homology condition,pass,production_formula_logic_comparison_passed_self_review_pending,high,none,require only bounded p or replace homology by equality,1,French source line2573 after blank line2572
SGA2-VIII-L12PD13-CMP-009,comparison_delta,comparison_only_not_authority,SGA2-VIII-L12PD13-CAND,candidate_notation,jcreinhold lines95-120,2561-2571,85-86,76,comparison audit,SGA2-VIII-L12PD13,SGA2-VIII-L12PD13-DEF,candidate writes C-sub-X-bullet and C-sub-X-sup-p instead of printed CX,preserve printed CX notation and record candidate change as rejected,pass_with_rejected_notation,comparison_adverse_choice_recorded_self_review_pending,high,candidate notation may be easier to parse but is not authority,copy candidate subscript notation,1,French source line2573 after blank line2572
SGA2-VIII-L12PD13-CMP-010,comparison_delta,comparison_only_not_authority,SGA2-VIII-L12PD13-CAND,candidate_typography,jcreinhold lines95-120,2561-2571,85-86,76,comparison audit,SGA2-VIII-L12PD13,SGA2-VIII-L12PD13-DEG;SGA2-VIII-L12PD13-EQ,candidate uses backtick degree and code-fenced equation while agreeing in prose,preserve TeX emphasis equation numbering and mathematical typography,pass_with_rejected_typography,comparison_adverse_choice_recorded_self_review_pending,high,candidate prose accepted only after source match,copy flattened markdown typography,1,French source line2573 after blank line2572
