decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-L12PD13-TERM-001,terminology,corrected_french_tex,SGA2-VIII-L12PD13,differentielle de degre plus one,French line2561,opening emphasized sentence,differential has degree plus one,SGA_wide_register,none,differential raises degree without retaining plus one,preserve explicit signed grading convention,production_choice_applied_self_review_pending,high,1,French source line2573 after blank line2572,SGA-wide grading policy revision
SGA2-VIII-L12PD13-TERM-002,terminology,corrected_french_tex,SGA2-VIII-L12PD13,resolution projective de longueur finie,French lines2561-2562,first paragraph,projective resolution of finite length,SGA_wide_register,corrected source replaces free by projective,finite free resolution,follow the current corrected French authority exactly,production_choice_applied_self_review_pending,high,1,French source line2573 after blank line2572,authority revision
SGA2-VIII-L12PD13-TERM-003,terminology,corrected_french_tex,SGA2-VIII-L12PD13,module de type fini,French line2563,term conditions,finitely generated module,SGA_wide_register,none,module of finite type,use standard English module-theory register,production_choice_applied_self_review_pending,high,1,French source line2573 after blank line2572,SGA-wide register revision
SGA2-VIII-L12PD13-TERM-004,terminology,corrected_french_tex,SGA2-VIII-L12PD13,resolution injective,French lines2563-2570,paragraph equation and definition,injective resolution,SGA_wide_register,none,injective solving,standard homological-algebra term,production_choice_applied_self_review_pending,high,1,French source line2573 after blank line2572,SGA-wide register revision
SGA2-VIII-L12PD13-TERM-005,terminology,corrected_french_tex,SGA2-VIII-L12PD13,homomorphisme de complexes,French lines2568-2569,Definition1.3,a homomorphism of complexes,source_register_preservation,none,chain map,the source uses the broader explicit phrase and the bounded translation retains it,production_choice_applied_self_review_pending,high,1,French source line2573 after blank line2572,independent terminology review
SGA2-VIII-L12PD13-TERM-006,terminology,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12PD13,CX-bullet and CX-sup-p,French lines2569-2570 plus physical76,definition display and clause,preserve CX notation,source_notation_preservation,candidate changes to C-sub-X notation,C-sub-X-bullet and C-sub-X-sup-p,printed notation is unambiguous in direct PDF and must not be silently normalized,production_choice_applied_self_review_pending,high,1,French source line2573 after blank line2572,independent notation review
SGA2-VIII-L12PD13-TERM-007,terminology,corrected_french_tex,SGA2-VIII-L12PD13,isomorphisme en homologie,French line2570,Definition1.3 closing clause,isomorphism in homology,source_register_preservation,degree-plus-one convention can suggest cohomology,isomorphism in cohomology,translate the authority term and candidate agreement without editorial substitution,production_choice_applied_self_review_pending,high,1,French source line2573 after blank line2572,independent homological review
SGA2-VIII-L12PD13-TERM-008,comparison_policy,comparison_only_not_authority,SGA2-VIII-L12PD13,jcreinhold ordinary prose agreement,jcreinhold lines95-120,comparison audit,accept wording only after exact French match,comparison_only_policy,one LLM lineage is not corroboration,promote candidate wording as independent evidence,translation remains controlled by French TeX and direct PDF,comparison_choice_recorded_self_review_pending,high,1,French source line2573 after blank line2572,upstream candidate revision
SGA2-VIII-L12PD13-TERM-009,typography_normalization,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12PD13,emphasized differential sentence and numbered equation,French lines2561 and2564 plus physical76,opening and equation1.1,preserve emphasis and equation number,source_typography_preservation,candidate flattens to backticks and code fence,copy markdown typography,preserve semantic and cross-reference structure visible in authority,production_choice_applied_self_review_pending,high,1,French source line2573 after blank line2572,SGA-wide notation policy revision
SGA2-VIII-L12PD13-TERM-010,boundary_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-L12PD13,blank2572 and Proposition1.4 at2573,French lines2571-2573 plus physical76,target close,exclude both and continue at2573,bounded_unit_control,none,include next proposition because it shares physical page,maintain independently reviewable nonoverlapping source scope,production_boundary_applied_self_review_pending,high,1,French source line2573 after blank line2572,independent boundary review
SGA2-VIII-L12PD13-TERM-011,review_state_control,corrected_french_tex_plus_fresh_direct_compiled_pdf,SGA2-VIII-L12PD13,stale independent-review-pending disclosure,pre-review target authority box,target authority box,state independently source-reviewed bounded unit while cumulative integration remains pending,review_disclosure_revision,mathematical body unchanged,retain stale pending-review text or imply cumulative completion,make the rendered disclosure match the completed independent gate without broadening scope,applied_independent_review,high,2,French source line2573 after blank line2572,cumulative integration or review-state change
