adverse_id,channel,concept_or_unit,form_or_defect,evidence_path_or_source,sha256_or_version,anchor,severity,disposition,notes
ZH-P23-A001,adverse,front_matter,"Inherited witness omits repeated title/report/author hierarchy",witness/Noether_Paper23_SimplifiedChinese_Inherited_declared_unit_exact_slice.tex,531B96B09902449C239EED1E2A83E1D0A5CD244FA8BDEFCEE0A19D8009BB4508,opening,high,restored,"P31 hierarchy controls."
ZH-P23-A002,veto,algebraic_form_display,"Inherited witness loses both primed summation signs",source/Noether_Paper23_German_P31_Sealed_exact_slice.tex,7A9E4C9910FBEFECA45A652BDF99A58F9C0BD4089D1F9630D96D776739B0BCE5,lines 25-34,critical,restored,"Both source sums use \\sum{}'."
ZH-P23-A003,veto,differential_form_display,"Inherited witness loses the primed summation sign and replaces source g by varphi",source/Noether_Paper23_German_P31_Sealed_exact_slice.tex,7A9E4C9910FBEFECA45A652BDF99A58F9C0BD4089D1F9630D96D776739B0BCE5,lines 88-96,critical,restored,"Target preserves \\sum{}' and g(y,d y)."
ZH-P23-A004,adverse,finite_generation,"Inherited bare 有限 can be read as finite cardinality",witness/Noether_Paper23_SimplifiedChinese_Inherited_declared_unit_exact_slice.tex,531B96B09902449C239EED1E2A83E1D0A5CD244FA8BDEFCEE0A19D8009BB4508,sections 1-5,high,replaced,"Use 有限生成 in algebra-generation loci."
ZH-P23-A005,adverse,integrity_basis,"Inherited 整基 collides with number-field integral-basis usage",https://faculty.hfut.edu.cn/_resources/group1/M00/00/1A/rB_zSGjQAcqAWCrPACd7v7jEBRk596.pdf,07E693EFBCCEBFE8AFD868C764D140F624DACD0028409B1D232F9BA068563B8D,p.15,high,replaced_with_controlled_gloss,"Use 整性基（即有限代数生成组）."
ZH-P23-A006,adverse,ideal_basis,"理想基 can suggest a linearly independent/free basis rather than a finite ideal generating set",source/Noether_Paper23_German_P31_Sealed_exact_slice.tex,7A9E4C9910FBEFECA45A652BDF99A58F9C0BD4089D1F9630D96D776739B0BCE5,lines 48-68,medium,clarified,"Use 理想生成基 where the source explicitly defines ideal generation."
ZH-P23-A007,adverse,connection,"Inherited 传输 is generic and misses the Weyl/Schouten differential-geometric connection sense",evidence/native_sources/PKU_Differential_Geometry_2025.pdf,CAA29EC6C0FCCC4EA9E516A5E49B130AFF1CE86F07AF219A1FB362F2C52DBCB1,TOC p.ii,high,replaced,"Use 联络; evidence is PRC Hans and does not establish regional variants."
ZH-P23-A008,gap,contragredient,"No exact independent Chinese invariant-theory source was found for source kontragredient",evidence/CHINESE_NATIVE_EVIDENCE_LEDGER.csv,2026-07-18,checked shelf and web discovery,medium,controlled_explanatory_candidate,"Use 逆转置（反变）变换 to state the matrix action; hold external acceptance."
ZH-P23-A009,adverse,normal_coordinates,"Modern PKU contents use 法坐标 rather than target 正规坐标",evidence/native_sources/PKU_Differential_Geometry_2025.pdf,CAA29EC6C0FCCC4EA9E516A5E49B130AFF1CE86F07AF219A1FB362F2C52DBCB1,TOC p.ii,medium,competitor_retained,"Target historical form needs explicit review; no silent claim that 正规坐标 is the sole modern standard."
ZH-P23-A010,adverse,zh_Hant_localization,"Generic script conversion cannot establish Taiwan Hong Kong or Macao prose",zh-Hant-controlled,OpenCC-s2t-pending,whole unit,high,explicitly_nonlocalized,"Regional Hant outputs remain held."
ZH-P23-A011,adverse,witness_boundary,"Next-section extraction carries Paper 24 setup into Paper 23",witness/Noether_Paper23_SimplifiedChinese_structural_boundary_defect_exact_slice.tex,122A7924F2444967A2A9418097D0895CDA9AE3E52F5583B9857B550BA960DEF9,tail,medium,preserved_as_adverse_evidence,"Declared END marker controls the witness boundary."
