concept_id,source_unit_id,language_tag,script_profile,term_form,register,sense_window,excluded_senses,trap_class,basin_membership,evidence_channel,source_provenance,dominant_standard_risk,dominance_debt_note,underrepresented_cohort_effect,decision_status,review_status,decision_record_path
NOE-FINITE-GENERATION,NOE-P23-U01/U02/U03/U04/U05,zh-Hans-CN,Hans PRC-oriented mathematical prose,有限生成,historical invariant theory,"A ring or algebra has a finite algebra generating set.","finite cardinality; finite dimension; finite field-extension degree",none,modern_sino_xenic_coinage_or_calque,support,"P31 slice sha256=7A9E4C9910FBEFECA45A652BDF99A58F9C0BD4089D1F9630D96D776739B0BCE5; ECNU PDF sha256=C84AC610F21076DF2EC3AB6737D0713D1C84D3A84B38D2FAC42EAFEB3760C862 p.30",risk,"PRC Simplified evidence cannot fill Singapore or any regional Hant channel.",potentially_distorted,internally_reviewed_for_use,context_checked,decisions/NOE-P23-FINITE-GENERATION.zh-Hans-CN.json
NOE-INTEGRITY-BASIS,NOE-P23-U01/U02/U03/U05,zh-Hans-CN,Hans PRC-oriented historical algebra prose,整性基（即有限代数生成组）,historical invariant theory,"Noether's finite algebra-generating system for an invariant ring.","number-field integral basis; free module basis",other,mixed_or_contested,candidate,"P31 exact slice; HFUT number theory PDF sha256=07E693EFBCCEBFE8AFD868C764D140F624DACD0028409B1D232F9BA068563B8D p.15 adverse 整基 sense",risk,"No exact independent modern invariant-theory attestation; no Singapore or regional Hant evidence.",potentially_distorted,internally_reviewed_for_use,context_checked,decisions/NOE-P23-INTEGRITY-BASIS.zh-Hans-CN.json
NOE-IDEAL-GENERATING-BASIS,NOE-P23-U02/U03/U05,zh-Hans-CN,Hans PRC-oriented algebra prose,理想生成基,historical commutative algebra,"A finite set generating an ideal under ring addition and multiplication.","free basis; vector-space basis; orthogonal basis",other,modern_sino_xenic_coinage_or_calque,candidate,"P31 definition lines 48-68 and target explanatory expansion; inherited witness only as competitor",risk,"Exact native phrase not found in checked shelf; Hans target is an explanatory construction.",potentially_distorted,candidate_after_context_check,context_checked,decisions/NOE-P23-IDEAL-GENERATING-BASIS.zh-Hans-CN.json
NOE-CONTRAGREDIENT,NOE-P23-U02,zh-Hans-CN,Hans PRC-oriented historical invariant prose,逆转置（反变）变换,linear group theory,"The matrix action contragredient to a given transformation: inverse-transpose action on the dual coordinates.","ordinary inverse transformation; conjugate transpose alone; vague opposite change",other,mixed_or_contested,candidate,"P31 line 67 exact source sense; independent exact Chinese invariant-theory attestation absent",risk,"Mandarin-Simplified shelf lacks an exact historical witness; all other Chinese cohorts are absent.",potentially_distorted,held,context_checked,decisions/NOE-P23-CONTRAGREDIENT.zh-Hans-CN.json
NOE-CONNECTION,NOE-P23-U06,zh-Hans-CN,Hans PRC-oriented differential geometry prose,联络,differential geometry,"A Weyl/Schouten connection used as the geometric datum defining the transformation group.","generic transfer or transmission; communication link; affine map",none,modern_sino_xenic_coinage_or_calque,support,"PKU geometry contents PDF sha256=CAA29EC6C0FCCC4EA9E516A5E49B130AFF1CE86F07AF219A1FB362F2C52DBCB1 p.ii; P31 lines 115-116",risk,"Independent evidence is PRC Hans and modern; Singapore and regional Hant usage remain debt.",potentially_distorted,internally_reviewed_for_use,context_checked,decisions/NOE-P23-CONNECTION.zh-Hans-CN.json
NOE-KOGREDIENT,NOE-P23-U06,zh-Hans-CN,Hans PRC-oriented historical differential geometry prose,同变,differential invariant theory,"The psi expressions transform in the same way as d x under the induced group.","covariant derivative operator; statistical covariance; colloquial simultaneous change",other,mixed_or_contested,candidate,"P31 line 115 fixes the relation; PKU PDF supports nearby 协变 register but not exact Kogredienz",risk,"No exact Chinese historical witness; modern PRC geometry only supplies a near-register competitor.",potentially_distorted,held,context_checked,decisions/NOE-P23-KOGREDIENT.zh-Hans-CN.json
NOE-NORMAL-COORDINATES,NOE-P23-U06,zh-Hans-CN,Hans PRC-oriented historical geometry prose,Riemann 正规坐标,historical differential geometry,"Coordinates transforming extremals issuing from a point into straight lines.","normal family; statistical normalization; generic coordinate regularization",other,mixed_or_contested,competitor,"P31 lines 113-115; PKU PDF sha256=CAA29EC6C0FCCC4EA9E516A5E49B130AFF1CE86F07AF219A1FB362F2C52DBCB1 uses 法坐标",risk,"The checked modern PRC source favors 法坐标; no historical or regional cohort confirmation for 正规坐标.",potentially_distorted,candidate_after_context_check,context_checked,TERMINOLOGY.md
NOE-FINITE-GENERATION,NOE-P23-U01/U02/U03/U04/U05,zh-Hans-SG,Hans Singapore status record,有限生成,Singapore mathematical prose,"Proposed same-script finite-generation form; no Singapore prose decision exists.","finite cardinality; finite dimension",none,modern_sino_xenic_coinage_or_calque,absence,"Hans-CN target only; no Singapore source or reviewer return",adverse,"PRC evidence cannot authorize Singapore usage.",unavailable,held,unreviewed,LOCALIZATION_STATUS.csv
NOE-CONNECTION,NOE-P23-U06,zh-Hant,Hant controlled non-localized,聯絡,controlled generic mathematical prose,"Script rendering of the audited connection concept only.","Taiwan Hong Kong or Macao localized prose; generic transmission",none,modern_sino_xenic_coinage_or_calque,candidate,"Hans decision plus future controlled script bridge; no independent regional evidence",adverse,"No regional Hant source or reviewer return; script conversion is not localization.",unavailable,held,unreviewed,decisions/NOE-P23-ZH-HANT-SCRIPT.json
NOE-NORMAL-COORDINATES,NOE-P23-U06,zh-Hant,Hant controlled non-localized,Riemann 正規坐標,controlled generic historical geometry prose,"Script rendering of the current Hans candidate; not a regional terminology decision.","regional preferred 法座標/normal-coordinate forms; normal family",other,mixed_or_contested,adverse,"Hans target candidate plus generic script bridge only",adverse,"Modern Hans competitor 法坐标 already exists and no regional Hant evidence was checked.",potentially_distorted,held,unreviewed,decisions/NOE-P23-ZH-HANT-SCRIPT.json
