structural_id,work_unit_id,structure_type,type_ordinal,language,script,surface_role,parent_id,order_index,authority_path,authority_start_line,authority_end_line,target_path,target_start_line,target_end_line,target_span_sha256,completion_state,review_state,publication_state,boundary_confidence,continuation_cursor
SLISV-V038-RU-PAPERS_1_43_BASE-WORK_UNIT-0001,PAPERS_1_43_BASE,work_unit,1,ru-Cyrl,Cyrillic,inherited_editable_translation,,0,C:/Users/Floris/Documents/interlanguage/03_projects/noether/07_german_canon_control/candidates/ED0005/noether.tex,1,20987,C:/Users/Floris/Documents/interlanguage/03_projects/language_management/slavic_interslavic/noether_slavic_v017/release/source/base-papers1-43-ru.tex,1,25193,76F91AF4CAC1A252EF8857D2B2DE05ED5B29B973DD8411C386238E3B91ACFD8A,release_source_present,machine_formula_and_structure_checked_no_native_review,candidate_for_owner_handoff,high,SLISV-V038-RU-BOOK_TITLE_INTRO-CLOSED_PROSE_UNIT-0001
SLISV-V038-RU-BOOK_TITLE_INTRO-CLOSED_PROSE_UNIT-0001,BOOK_TITLE_INTRO,closed_prose_unit,1,ru-Cyrl,Cyrillic,editable_model_authored_translation,SLISV-V038-RU-BOOK_TITLE_INTRO-WORK_UNIT-0001,10000,C:/Users/Floris/Documents/interlanguage/03_projects/noether/07_german_canon_control/candidates/ED0005/noether.tex,20988,21080,C:/Users/Floris/Documents/interlanguage/03_projects/language_management/slavic_interslavic/noether_slavic_v017/release/source/44-book-ru.tex,25,26,79745528DC77F0E2DB4B49A74C3A275279EE799C18AF8A19562EC7DF5F980BE2,release_source_present,machine_formula_and_structure_checked_no_native_review,candidate_for_owner_handoff,medium,SLISV-V038-RU-BOOK_TITLE_INTRO-WORK_UNIT-0001
SLISV-V038-RU-BOOK_TITLE_INTRO-WORK_UNIT-0001,BOOK_TITLE_INTRO,work_unit,1,ru-Cyrl,Cyrillic,editable_model_authored_translation,,10001,C:/Users/Floris/Documents/interlanguage/03_projects/noether/07_german_canon_control/candidates/ED0005/noether.tex,20988,21080,C:/Users/Floris/Documents/interlanguage/03_projects/language_management/slavic_interslavic/noether_slavic_v017/release/source/44-book-ru.tex,25,128,8AD832E1B42E5322DAEE3BEADA396EBB67FDC0B0CD565F7AEC60F181FC2CCBA5,release_source_present,machine_formula_and_structure_checked_no_native_review,candidate_for_owner_handoff,high,SLISV-V038-RU-BOOK_TITLE_INTRO-CLOSED_PROSE_UNIT-0002
SLISV-V038-RU-BOOK_TITLE_INTRO-CLOSED_PROSE_UNIT-0002,BOOK_TITLE_INTRO,closed_prose_unit,2,ru-Cyrl,Cyrillic,editable_model_authored_translation,SLISV-V038-RU-BOOK_TITLE_INTRO-WORK_UNIT-0001,10002,C:/Users/Floris/Documents/interlanguage/03_projects/noether/07_german_canon_control/candidates/ED0005/noether.tex,20988,21080,C:/Users/Floris/Documents/interlanguage/03_projects/language_management/slavic_interslavic/noether_slavic_v017/release/source/44-book-ru.tex,28,38,2FA4D6FE1BD46D6BCEBA3D2A2DB88CB0A409C4EAB5561AF135184439A86DDF6C,release_source_present,machine_formula_and_structure_checked_no_native_review,candidate_for_owner_handoff,medium,SLISV-V038-RU-BOOK_TITLE_INTRO-DEFINITION-0001
SLISV-V038-RU-BOOK_TITLE_INTRO-DEFINITION-0001,BOOK_TITLE_INTRO,definition,1,ru-Cyrl,Cyrillic,editable_model_authored_translation,SLISV-V038-RU-BOOK_TITLE_INTRO-WORK_UNIT-0001,10003,C:/Users/Floris/Documents/interlanguage/03_projects/noether/07_german_canon_control/candidates/ED0005/noether.tex,20988,21080,C:/Users/Floris/Documents/interlanguage/03_projects/language_management/slavic_interslavic/noether_slavic_v017/release/source/44-book-ru.tex,40,87,14FCEC1377C43991D789502C821CC5BEBFE0844F0D28C594DCFF410B4837DE6F,release_source_present,machine_formula_and_structure_checked_no_native_review,candidate_for_owner_handoff,medium,SLISV-V038-RU-BOOK_TITLE_INTRO-TOC_ITEM-0001
SLISV-V038-RU-BOOK_TITLE_INTRO-TOC_ITEM-0001,BOOK_TITLE_INTRO,toc_item,1,ru-Cyrl,Cyrillic,editable_model_authored_translation,SLISV-V038-RU-BOOK_TITLE_INTRO-WORK_UNIT-0001,10004,C:/Users/Floris/Documents/interlanguage/03_projects/noether/07_german_canon_control/candidates/ED0005/noether.tex,20988,21080,C:/Users/Floris/Documents/interlanguage/03_projects/language_management/slavic_interslavic/noether_slavic_v017/release/source/44-book-ru.tex,46,46,091F3646A93BD6A9BA19C47D61FE3357748E40B0C41676ED3255D2B18D2D885C,release_source_present,machine_formula_and_structure_checked_no_native_review,candidate_for_owner_handoff,high,SLISV-V038-RU-BOOK_TITLE_INTRO-TOC_ITEM-0002
SLISV-V038-RU-BOOK_TITLE_INTRO-TOC_ITEM-0002,BOOK_TITLE_INTRO,toc_item,2,ru-Cyrl,Cyrillic,editable_model_authored_translation,SLISV-V038-RU-BOOK_TITLE_INTRO-WORK_UNIT-0001,10005,C:/Users/Floris/Documents/interlanguage/03_projects/noether/07_german_canon_control/candidates/ED0005/noether.tex,20988,21080,C:/Users/Floris/Documents/interlanguage/03_projects/language_management/slavic_interslavic/noether_slavic_v017/release/source/44-book-ru.tex,47,47,37B5D1DEEBCA611EA09A99EDBE0BD76138A77CF235B11138276F180D30B65AB6,release_source_present,machine_formula_and_structure_checked_no_native_review,candidate_for_owner_handoff,high,SLISV-V038-RU-BOOK_TITLE_INTRO-TOC_ITEM-0003
SLISV-V038-RU-BOOK_TITLE_INTRO-TOC_ITEM-0003,BOOK_TITLE_INTRO,toc_item,3,ru-Cyrl,Cyrillic,editable_model_authored_translation,SLISV-V038-RU-BOOK_TITLE_INTRO-WORK_UNIT-0001,10006,C:/Users/Floris/Documents/interlanguage/03_projects/noether/07_german_canon_control/candidates/ED0005/noether.tex,20988,21080,C:/Users/Floris/Documents/interlanguage/03_projects/language_management/slavic_interslavic/noether_slavic_v017/release/source/44-book-ru.tex,48,48,58622534EF1F2B11F737F1549DF7C5D3666E4199CD6020137C16A0EB9DA5346C,release_source_present,machine_formula_and_structure_checked_no_native_review,candidate_for_owner_handoff,high,SLISV-V038-RU-BOOK_TITLE_INTRO-TOC_ITEM-0004
SLISV-V038-RU-BOOK_TITLE_INTRO-TOC_ITEM-0004,BOOK_TITLE_INTRO,toc_item,4,ru-Cyrl,Cyrillic,editable_model_authored_translation,SLISV-V038-RU-BOOK_TITLE_INTRO-WORK_UNIT-0001,10007,C:/Users/Floris/Documents/interlanguage/03_projects/noether/07_german_canon_control/candidates/ED0005/noether.tex,20988,21080,C:/Users/Floris/Documents/interlanguage/03_projects/language_management/slavic_interslavic/noether_slavic_v017/release/source/44-book-ru.tex,49,49,7727928815EE3BCFE1FEEC1CDEEE1CEF771951DEDD9FFAB7B7E334CC18706DC8,release_source_present,machine_formula_and_structure_checked_no_native_review,candidate_for_owner_handoff,high,SLISV-V038-RU-BOOK_TITLE_INTRO-TOC_ITEM-0005
SLISV-V038-RU-BOOK_TITLE_INTRO-TOC_ITEM-0005,BOOK_TITLE_INTRO,toc_item,5,ru-Cyrl,Cyrillic,editable_model_authored_translation,SLISV-V038-RU-BOOK_TITLE_INTRO-WORK_UNIT-0001,10008,C:/Users/Floris/Documents/interlanguage/03_projects/noether/07_german_canon_control/candidates/ED0005/noether.tex,20988,21080,C:/Users/Floris/Documents/interlanguage/03_projects/language_management/slavic_interslavic/noether_slavic_v017/release/source/44-book-ru.tex,52,52,6C0C2118A72FD87C317F3F0E02F6134675EEF6419A07BA04823DCBFEB203CA9C,release_source_present,machine_formula_and_structure_checked_no_native_review,candidate_for_owner_handoff,high,SLISV-V038-RU-BOOK_TITLE_INTRO-TOC_ITEM-0006
