printed_page	authority_pdf_page	scope_leaf	entry	classification	source_ambiguity	body_emendation	status
65	82	3	apparatus/pages/p065.md	No conjectural emendation.	NONE	NONE	COLD_COLLATED_S04
66	83	4	apparatus/pages/p066.md	Unqualified converse retained.	NONE	NONE	COLD_COLLATED_S04
67	84	5	apparatus/pages/p067.md	No conjectural emendation.	NONE	NONE	COLD_COLLATED_S04
68	85	6	apparatus/pages/p068.md	Lexical and display fidelity.	NONE	NONE	COLD_COLLATED_S04
69	86	7	apparatus/pages/p069.md	No conjectural emendation.	NONE	NONE	COLD_COLLATED_S04
70	87	8	apparatus/pages/p070.md	Legible printed sign inconsistency retained.	NONE	NONE	COLD_COLLATED_S04
71	88	9	apparatus/pages/p071.md	Footnote restored to the witness.	NONE	NONE	COLD_COLLATED_S04
72	89	10	apparatus/pages/p072.md	No conjectural emendation.	NONE	NONE	COLD_COLLATED_S04
73	90	11	apparatus/pages/p073.md	No conjectural emendation.	NONE	NONE	COLD_COLLATED_S04
74	91	12	apparatus/pages/p074.md	Batch boundary, not an end of the paper.	NONE	NONE	COLD_COLLATED_S04
75	92	13	apparatus/pages/p075.md	NONE	NONE	NONE	COLD_COLLATED_S04
76	93	14	apparatus/pages/p076.md	NONE	NONE	NONE	COLD_COLLATED_S04
77	94	15	apparatus/pages/p077.md	LEGIBLE_SOURCE_DISCREPANCY_RETAINED	NONE	NONE	COLD_COLLATED_S04
78	95	16	apparatus/pages/p078.md	NONE	NONE	NONE	COLD_COLLATED_S04
79	96	17	apparatus/pages/p079.md	NONE	NONE	NONE	COLD_COLLATED_S04
80	97	18	apparatus/pages/p080.md	NONE	NONE	NONE	COLD_COLLATED_S04
81	98	19	apparatus/pages/p081.md	NONE	NONE	NONE	COLD_COLLATED_S04
82	99	20	apparatus/pages/p082.md	LEGIBLE_SOURCE_DISCREPANCY_RETAINED	NONE	NONE	COLD_COLLATED_S04
83	100	21	apparatus/pages/p083.md	NONE	NONE	NONE	COLD_COLLATED_S04
84	101	22	apparatus/pages/p084.md	NONE	NONE	NONE	COLD_COLLATED_S04
85	102	23	apparatus/pages/p085.md	LEGIBLE_SOURCE_VARIANT_RETAINED	NONE	NONE	COLD_COLLATED_S04
86	103	24	apparatus/pages/p086.md	NONE	NONE	NONE	COLD_COLLATED_S04
87	104	25	apparatus/pages/p087.md	Direct authority transcription; local notation, continuities and furniture retained.	NONE	NONE	COLD_COLLATED_S04
88	105	26	apparatus/pages/p088.md	Direct authority transcription; local notation, continuities and furniture retained.	NONE	NONE	COLD_COLLATED_S04
89	106	27	apparatus/pages/p089.md	LEGIBLE_SOURCE_DISCREPANCY_RETAINED: printed b, not delta	NONE	NONE	COLD_COLLATED_S04
90	107	28	apparatus/pages/p090.md	Direct authority transcription; local notation, continuities and furniture retained.	NONE	NONE	COLD_COLLATED_S04
91	108	29	apparatus/pages/p091.md	Direct authority transcription; local notation, continuities and furniture retained.	NONE	NONE	COLD_COLLATED_S04
92	109	30	apparatus/pages/p092.md	Direct authority transcription; local notation, continuities and furniture retained.	NONE	NONE	COLD_COLLATED_S04
93	110	31	apparatus/pages/p093.md	Direct authority transcription; local notation, continuities and furniture retained.	NONE	NONE	COLD_COLLATED_S04
94	111	32	apparatus/pages/p094.md	Direct authority transcription; local notation, continuities and furniture retained.	NONE	NONE	COLD_COLLATED_S04
95	112	33	apparatus/pages/p095.md	Direct authority transcription; local notation, continuities and furniture retained.	NONE	NONE	COLD_COLLATED_S04
96	113	34	apparatus/pages/p096.md	Direct authority transcription; local notation, continuities and furniture retained.	NONE	NONE	COLD_COLLATED_S04
97	114	35	apparatus/pages/p097.md	Direct authority transcription; local notation, continuities and furniture retained.	NONE	NONE	COLD_COLLATED_S04
98	115	36	apparatus/pages/p098.md	Direct authority transcription; local notation, continuities and furniture retained.	NONE	NONE	COLD_COLLATED_S04
