triage_id,source_probe_id,platform,target_language_or_access_target,query,record_rank,record_title,record_url,record_doi_or_identifier,record_creator_or_owner,record_license_signal,record_access_signal,record_type_or_resource_type,file_count_or_body_signal,metadata_local_path,metadata_sha256,language_signal_gate,math_source_gate,source_package_gate,license_gate,triage_decision,triage_reason,next_action,promotion_allowed
R9-R2-TRIAGE-001,R9-R2-Q-001-Zenodo,Zenodo,Amharic,amharic mathematics dataset,1,Machine Translation Evaluation Dataset for Amharic,https://zenodo.org/records/3734260,10.5281/zenodo.3734260,"Hadgu, Asmelash Teka; Beaudoin, Adam; Aregawi, Abel",cc-by-4.0,open,"{""title"": ""Dataset"", ""type"": ""dataset""}",2 files listed in metadata; no file body captured,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-001_zenodo_amharic_mathematics_dataset.json,4FFA39B00055954CF44B0009469F4AFD014EC14AC31F39ADF77CD16CEE5FD4EF,target_language_named_in_metadata,language_or_nlp_record_not_math_corpus,not_source_package_admitted; metadata-only; no TeX/archive/PDF/data body captured,license metadata signal only; no clearance claim,blocked_language_nlp_or_linguistics_record,"Target-language metadata is present, but the record appears to be NLP/linguistics/speech/culture rather than mathematical source canon.",Manual source-body/language/domain/license review required before any source-canon use; otherwise retain as gap/noise row.,false
R9-R2-TRIAGE-002,R9-R2-Q-001-Zenodo,Zenodo,Amharic,amharic mathematics dataset,2,Amharic event text classification from social media using hybrid deep learning,https://zenodo.org/records/14873610,10.11591/ijece.v15i2.pp2264-2270,"Ayalew, Amogne Andualem; Tegegne, Melaku Lake; Manivannan, Bommy; Suresh, Tamilarasi; Kumar, Napa Komal; Prasad, Battula Krishna; Assegie, Tsehay Admassu; Salau, Ayodeji Olalekan",cc-by-4.0,open,"{""subtype"": ""article"", ""title"": ""Journal article"", ""type"": ""publication""}",1 files listed in metadata; no file body captured,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-001_zenodo_amharic_mathematics_dataset.json,4FFA39B00055954CF44B0009469F4AFD014EC14AC31F39ADF77CD16CEE5FD4EF,target_language_named_in_metadata,language_or_nlp_record_not_math_corpus,not_source_package_admitted; metadata-only; no TeX/archive/PDF/data body captured,license metadata signal only; no clearance claim,blocked_language_nlp_or_linguistics_record,"Target-language metadata is present, but the record appears to be NLP/linguistics/speech/culture rather than mathematical source canon.",Manual source-body/language/domain/license review required before any source-canon use; otherwise retain as gap/noise row.,false
R9-R2-TRIAGE-003,R9-R2-Q-001-Zenodo,Zenodo,Amharic,amharic mathematics dataset,3,Amharic WSD Dataset: Advancing Word Sense Disambiguation in Amharic,https://zenodo.org/records/13992003,10.5281/zenodo.13992003,"Yigzaw, Robbel Habtamu; Assefa, Beakal Gizachew; Belay, Elefelious Getachew",cc-by-4.0,restricted,"{""title"": ""Dataset"", ""type"": ""dataset""}",0 files listed in metadata; no file body captured,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-001_zenodo_amharic_mathematics_dataset.json,4FFA39B00055954CF44B0009469F4AFD014EC14AC31F39ADF77CD16CEE5FD4EF,target_language_named_in_metadata,language_or_nlp_record_not_math_corpus,not_source_package_admitted; metadata-only; no TeX/archive/PDF/data body captured,license metadata signal only; no clearance claim,blocked_language_nlp_or_linguistics_record,"Target-language metadata is present, but the record appears to be NLP/linguistics/speech/culture rather than mathematical source canon.",Manual source-body/language/domain/license review required before any source-canon use; otherwise retain as gap/noise row.,false
R9-R2-TRIAGE-004,R9-R2-Q-002-Zenodo,Zenodo,Amharic,amharic algebra math,1,"Isomorfismos, grupos diedros y cuadrados mágicos",https://zenodo.org/records/5636345,10.5281/zenodo.5636345,"G. Acosta, Sergio; Acosta Humánez, Primitivo B; J. Leonardo, Antony",cc-by-4.0,open,"{""subtype"": ""conferencepaper"", ""title"": ""Conference paper"", ""type"": ""publication""}",1 files listed in metadata; no file body captured,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-002_zenodo_amharic_algebra_math.json,826C6DCBE3BF76E1E95132789D039377A605DC06FBB7F0B2B6DB4F8ED6FD43BC,target_language_not_established_by_top_metadata,math_record_not_target_language_source,not_source_package_admitted; metadata-only; no TeX/archive/PDF/data body captured,license metadata signal only; no clearance claim,blocked_not_target_language_source,"Math-like metadata is present, but target-language source evidence is missing or the hit is caused by a broad/noisy query match.",Manual source-body/language/domain/license review required before any source-canon use; otherwise retain as gap/noise row.,false
R9-R2-TRIAGE-005,R9-R2-Q-002-Zenodo,Zenodo,Amharic,amharic algebra math,2,Ổn định tiệm cận của tập giả giá của các thành phần thuần nhất của môđun phân bậc,https://zenodo.org/records/10097735,10.5281/zenodo.10097735,"Phạm, Hữu Khánh",cc-by-4.0,open,"{""subtype"": ""article"", ""title"": ""Journal article"", ""type"": ""publication""}",1 files listed in metadata; no file body captured,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-002_zenodo_amharic_algebra_math.json,826C6DCBE3BF76E1E95132789D039377A605DC06FBB7F0B2B6DB4F8ED6FD43BC,target_language_not_established_by_top_metadata,no_math_or_target_language_source_signal,not_source_package_admitted; metadata-only; no TeX/archive/PDF/data body captured,license metadata signal only; no clearance claim,blocked_no_relevant_source_signal,Top metadata does not establish target-language mathematical source-canon relevance.,Manual source-body/language/domain/license review required before any source-canon use; otherwise retain as gap/noise row.,false
R9-R2-TRIAGE-006,R9-R2-Q-002-Zenodo,Zenodo,Amharic,amharic algebra math,3,MATH+ Adventskalender 2023: Aufgaben und Lösungen,https://zenodo.org/records/11654571,10.5281/zenodo.11654571,"Sadovek, Nikola; Kostre, Margarita; Tobias, Paul; Günther, Felix; Gijswijt, Dion; Glessen, Lara; Protz, Lukas; Comaneci, Andrei; EWM-NL; Fokkema, Wouter; Graczyk, Christoph; Heidema, Marieke; Höfling, Felix; Höfling, Nathanael; Griesbach, Svenja Marie; Klimm, Max; Maat, Matthew; Parczyk, Olaf; Rathke, Silas; Snellenberg, Ravi; Skrodzki, Martin; Weedage, Lotte; Hearder, Owen; Broersma, Hajo; van Rhijn, Jess",cc-by-4.0,open,"{""subtype"": ""book"", ""title"": ""Book"", ""type"": ""publication""}",2 files listed in metadata; no file body captured,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-002_zenodo_amharic_algebra_math.json,826C6DCBE3BF76E1E95132789D039377A605DC06FBB7F0B2B6DB4F8ED6FD43BC,target_language_not_established_by_top_metadata,math_record_not_target_language_source,not_source_package_admitted; metadata-only; no TeX/archive/PDF/data body captured,license metadata signal only; no clearance claim,blocked_not_target_language_source,"Math-like metadata is present, but target-language source evidence is missing or the hit is caused by a broad/noisy query match.",Manual source-body/language/domain/license review required before any source-canon use; otherwise retain as gap/noise row.,false
R9-R2-TRIAGE-007,R9-R2-Q-003-Zenodo,Zenodo,Hausa,hausa lissafi mathematics,1,Dialectal Variation and Morphological Adaptation of Arabic Loanwords Among Hausa-Arabic Bilinguals in Northwestern Nigeria.,https://zenodo.org/records/20061324,10.5281/zenodo.20061324,Salisu Aliyu Azare; Dr. Bello Muhammad,cc-by-4.0,open,"{""subtype"": ""article"", ""title"": ""Journal article"", ""type"": ""publication""}",1 files listed in metadata; no file body captured,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-003_zenodo_hausa_lissafi_mathematics.json,BA0BD781D16BADEECE26CB3B7F1B23695A36D1AB65BA3B37D73BA1046C96F022,target_language_named_in_metadata,language_or_nlp_record_not_math_corpus,not_source_package_admitted; metadata-only; no TeX/archive/PDF/data body captured,license metadata signal only; no clearance claim,blocked_language_nlp_or_linguistics_record,"Target-language metadata is present, but the record appears to be NLP/linguistics/speech/culture rather than mathematical source canon.",Manual source-body/language/domain/license review required before any source-canon use; otherwise retain as gap/noise row.,false
R9-R2-TRIAGE-008,R9-R2-Q-003-Zenodo,Zenodo,Hausa,hausa lissafi mathematics,2,WAIWAYE A KAN AZUZZUWAN AIKATAU NA HAUSA,https://zenodo.org/records/14645629,10.5281/zenodo.14645629,"SULEIMAN, ABDULLLAHI WAMBA; IBRAHIM, NAJAHU KUMBASHI",cc-by-4.0,open,"{""subtype"": ""article"", ""title"": ""Journal article"", ""type"": ""publication""}",1 files listed in metadata; no file body captured,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-003_zenodo_hausa_lissafi_mathematics.json,BA0BD781D16BADEECE26CB3B7F1B23695A36D1AB65BA3B37D73BA1046C96F022,target_language_named_in_metadata,language_or_nlp_record_not_math_corpus,not_source_package_admitted; metadata-only; no TeX/archive/PDF/data body captured,license metadata signal only; no clearance claim,blocked_language_nlp_or_linguistics_record,"Target-language metadata is present, but the record appears to be NLP/linguistics/speech/culture rather than mathematical source canon.",Manual source-body/language/domain/license review required before any source-canon use; otherwise retain as gap/noise row.,false
R9-R2-TRIAGE-009,R9-R2-Q-003-Zenodo,Zenodo,Hausa,hausa lissafi mathematics,3,Cimakar Hausawa (Abincin Hausawa),https://zenodo.org/records/19511780,10.5281/zenodo.19511780,"Sani, Abu-Ubaida; Umar, Halima Ahmad",cc-by-4.0,open,"{""subtype"": ""book"", ""title"": ""Book"", ""type"": ""publication""}",1 files listed in metadata; no file body captured,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-003_zenodo_hausa_lissafi_mathematics.json,BA0BD781D16BADEECE26CB3B7F1B23695A36D1AB65BA3B37D73BA1046C96F022,target_language_named_in_metadata,target_language_record_not_math_corpus,not_source_package_admitted; metadata-only; no TeX/archive/PDF/data body captured,license metadata signal only; no clearance claim,blocked_no_math_source_signal,"Target-language metadata is present, but mathematical corpus/topic evidence is missing from top metadata.",Manual source-body/language/domain/license review required before any source-canon use; otherwise retain as gap/noise row.,false
R9-R2-TRIAGE-010,R9-R2-Q-004-Zenodo,Zenodo,Hausa,hausa math dataset,1,HausaMovieReview: A Manually Annotated Sentiment Dataset for Hausa Language NLP,https://zenodo.org/records/17969926,10.5281/zenodo.17969926,"Zanga, Asiya Ibrahim; Abdulrahman, Salisu Mamman; Adamu, Alhassan; Ado, Abubakar; Bichi, Abdulkadir Abubakar",cc-by-4.0,open,"{""subtype"": ""conferenceproceeding"", ""title"": ""Conference proceeding"", ""type"": ""publication""}",1 files listed in metadata; no file body captured,work/source_canon_witnesses/20260704_r9_archive_probe_round2/R9-R2-Q-004_zenodo_hausa_math_dataset.json,31208C67FEECDE1E8F52C2DBA58E0223E36471AA0BC9D2E808A54AD05E08440A,target_language_named_in_metadata,language_or_nlp_record_not_math_corpus,not_source_package_admitted; metadata-only; no TeX/archive/PDF/data body captured,license metadata signal only; no clearance claim,blocked_language_nlp_or_linguistics_record,"Target-language metadata is present, but the record appears to be NLP/linguistics/speech/culture rather than mathematical source canon.",Manual source-body/language/domain/license review required before any source-canon use; otherwise retain as gap/noise row.,false
