physical_page	printed_page	witness_id	archive_path	finding	disposition
1	0	W0025	diagram_witness/Deligne_Diagram_Witness_Aid_D021_D045_20260608/Contact/D027_contact_part02.jpg	Second contact sheet is a later-page thumbnail locator and supplies no independent content for physical pages 1-6.	CONTROL_OR_LOCATOR_ONLY_ZERO_ACCEPTED
1	0	W0105	diagram_witness/support/README.md	Diagram-aid README confirms that the crop set is intentionally overinclusive and locator-only; it contains no accepted transcription.	CONTROL_OR_LOCATOR_ONLY_ZERO_ACCEPTED
1	0	W0106	diagram_witness/support/D027_diagram_witness_manifest.csv	Filtered CSV manifest identifies D027 comparator-derived crop coordinates and hashes; metadata only, not authority text.	CONTROL_OR_LOCATOR_ONLY_ZERO_ACCEPTED
1	0	W0107	diagram_witness/support/D027_diagram_witness_manifest.jsonl	Filtered JSONL manifest duplicates the locator metadata in machine-readable form; no independent scholarly content.	CONTROL_OR_LOCATOR_ONLY_ZERO_ACCEPTED
1	0	W0108	diagram_witness/support/D027_diagram_counts_by_item.csv	Filtered count records 79 D027 crop witnesses; count/control only.	CONTROL_OR_LOCATOR_ONLY_ZERO_ACCEPTED
1	0	W0109	zenodo_record_21804321/current_delta/CHANGES.md	Public change log contains release-lineage information but no authority-backed D027 page transcription.	CONTROL_OR_LOCATOR_ONLY_ZERO_ACCEPTED
1	0	W0110	zenodo_record_21804321/current_delta/CONTROL_D010-D027.zip	Public CONTROL_D010-D027 archive is control/identity evidence; no D027 mathematical body is accepted from it.	CONTROL_OR_LOCATOR_ONLY_ZERO_ACCEPTED
1	0	W0111	zenodo_record_21804321/current_delta/Deligne_EN.pdf	Public cumulative English PDF contains no D027 mathematical body according to the exact inventory; no page content to replay.	CONTROL_OR_LOCATOR_ONLY_ZERO_ACCEPTED
1	0	W0112	zenodo_record_21804321/current_delta/Deligne_EN.tex	Public cumulative English TeX contains no D027 mathematical body according to the exact inventory; no page content to replay.	CONTROL_OR_LOCATOR_ONLY_ZERO_ACCEPTED
1	0	W0113	zenodo_record_21804321/current_delta/Deligne_FR.pdf	Public cumulative French PDF contains no D027 mathematical body according to the exact inventory; no page content to replay.	CONTROL_OR_LOCATOR_ONLY_ZERO_ACCEPTED
