term_id,evidence_class,authority_role,unit_id,source_tex_lines,french_term,accepted_english,decision,status,confidence,adverse_delta,rejected_choice,rationale,source_locator,target_locator,cross_references,record_revision
SGA2-VIII-P32P1-TERM-001,register,corrected_french_tex,SGA2-VIII-P32P1,2901,O_X-Module coherent,coherent O_X-module,accepted,production_self_reviewed_pending_independent_review,high,"lowercase module in ordinary English prose","coherent O_X-Module","SGA-wide English register and no semantic change",French2901,target opening,SGA2-VIII-P32P1-CMP-001,1
SGA2-VIII-P32P1-TERM-002,restriction,corrected_french_tex,SGA2-VIII-P32P1,2901,G_|U,G|_U,accepted,production_self_reviewed_pending_independent_review,high,"compact target restriction notation","restriction of G to X","preserves domain U and sheaf role",French2901,target opening,SGA2-VIII-P32P1-CMP-002,1
SGA2-VIII-P32P1-TERM-003,verb,corrected_french_tex,SGA2-VIII-P32P1,2901,Appliquant,Applying,accepted,production_self_reviewed_pending_independent_review,high,none,"By application of","direct mathematical English",French2901,target opening,SGA2-VIII-P32P1-EQUIV,1
SGA2-VIII-P32P1-TERM-004,logical_relation,corrected_french_tex,SGA2-VIII-P32P1,2901,equivaut,equivalent to,accepted,production_self_reviewed_pending_independent_review,high,none,"implies","preserves biconditional",French2901,target opening,SGA2-VIII-P32P1-CMP-005,1
SGA2-VIII-P32P1-TERM-005,quantifier,corrected_french_tex_plus_source_pdf,SGA2-VIII-P32P1,2904,pour tout x in S,for every x in S,accepted,production_self_reviewed_pending_independent_review,high,"rejects comparison-only overline S","for every x in the closure of S","direct source and visual PDF agree on S",French2904;physical85,target item c,SGA2-VIII-P32P1-CMP-006,1
SGA2-VIII-P32P1-TERM-006,operator,corrected_french_tex,SGA2-VIII-P32P1,2904,prof,prof,accepted,production_self_reviewed_pending_independent_review,high,"operator retained untranslated","depth","matches established SGA2 Expose VIII target notation",French2904,target item c,SGA2-VIII-P32P1-CMP-007,1
SGA2-VIII-P32P1-TERM-007,operator,corrected_french_tex,SGA2-VIII-P32P1,2905-2906,codim,codim,accepted,production_self_reviewed_pending_independent_review,high,none,"codimension written out inside formula","preserves operator and argument order",French2905-2906,target display,SGA2-VIII-P32P1-CMP-009,1
SGA2-VIII-P32P1-TERM-008,prose_register,corrected_french_tex,SGA2-VIII-P32P1,2901,on trouve,we find,accepted,production_self_reviewed_pending_independent_review,medium,"impersonal French normalized to conventional mathematical we","one finds","consistent polished US English register",French2901,target opening,SGA2-VIII-P32P1-EQUIV,1
SGA2-VIII-P32P1-TERM-009,glyph_policy,manager_closed_option_a,SGA2-VIII-P32P1,2901-2904,source upright F and G,target calligraphic F and G,accepted_closed_option_a,production_self_reviewed_pending_independent_review,high,"explicit English glyph normalization; not literal preservation","call glyphs source-preserved or revert target silently",Decision EG-SGA2-FG-NOTATION-ADJUDICATION-20260719-0001,French2901-2904,target all F G,OUTBOUND:EG-SGA2-FG-NOTATION-ADJUDICATION-20260719-0001,2
SGA2-VIII-P32P1-TERM-010,context_notation,corrected_french_tex_section_context,SGA2-VIII-P32P1,2644-2653;2905-2906,Y,Y with explicit context note,accepted_editorial_disclosure,production_self_reviewed_pending_independent_review,high,"context note added outside translated body","silently rewrite Y as X setminus U","keeps formula literal while making isolated unit auditable",French2644-2653;2905-2906,target authority box,SGA2-VIII-P32P1-CONTEXT,1
SGA2-VIII-P32P1-TERM-011,citation_style,corrected_french_tex,SGA2-VIII-P32P1,2901,EGA I 9.4.3,EGA I comma 9.4.3,accepted_typographic,production_self_reviewed_pending_independent_review,high,"target punctuation normalized","omit citation","reference identity preserved",French2901,target opening,SGA2-VIII-P32P1-CMP-003,1
SGA2-VIII-P32P1-TERM-012,boundary_label,editorial_target_control,SGA2-VIII-P32P1,2901,unlabeled proof paragraph,Proof opening,accepted_editorial_label,production_self_reviewed_pending_independent_review,high,"bounded target adds a nonnumbered locator label","Proof with QED","label marks tranche boundary without asserting proof completion",French2901,target proof opening,SGA2-VIII-P32P1-CURSOR,1
