comparison_id,evidence_class,authority_role,unit_id,source_tex_lines,source_reading,target_reading,comparison_candidate_reading,match_class,status,confidence,adverse_delta,rejected_choice,source_locator,target_locator,cross_references,record_revision
SGA2-VIII-P32P1-CMP-001,module_extension,corrected_french_tex,SGA2-VIII-P32P1,2901,G coherent O_X-Module,G coherent O_X-module,G coherent O_X-Module,semantic_match_typographic_normalization,production_self_reviewed_pending_independent_review,high,"Module lowercased in English register","omit coherent",French2901,target proof opening,SGA2-VIII-P32P1-TERM-001,1
SGA2-VIII-P32P1-CMP-002,restriction_formula,corrected_french_tex_plus_source_pdf,SGA2-VIII-P32P1,2901,G_|U isomorphic F,G|_U isomorphic F,G|U isomorphic F,formula_role_match_glyph_normalized,production_self_reviewed_pending_independent_review,high,"upright G F to calligraphic G F under closed Option A","reverse isomorphism or change U",French2901;physical84,target proof opening,SGA2-VIII-P32P1-TERM-009,1
SGA2-VIII-P32P1-CMP-003,citation,corrected_french_tex,SGA2-VIII-P32P1,2901,EGA I 9.4.3,EGA I 9.4.3,EGA I 9.4.3,exact_reference_match,production_self_reviewed_pending_independent_review,high,none,"drop citation or change section",French2901,target proof opening,SGA2-VIII-P32P1-EQUIV,1
SGA2-VIII-P32P1-CMP-004,corollary_reference,corrected_french_tex,SGA2-VIII-P32P1,2901,Corollary VIII.2.3,Corollary 2.3,Corollary 2.3,structural_reference_match,production_self_reviewed_pending_independent_review,high,"local visible reference used in bounded target","cite theorem 2.3",French2901,target proof opening,OUTBOUND:SGA2-VIII-C23,1
SGA2-VIII-P32P1-CMP-005,equivalence,corrected_french_tex,SGA2-VIII-P32P1,2901,condition a equivalent to c,condition a equivalent to c,condition a equivalent to following,semantic_match_target_restores_label,production_self_reviewed_pending_independent_review,high,"target explicitly retains source label c","reduce equivalence to implication",French2901,target proof opening,SGA2-VIII-P32P1-C,1
SGA2-VIII-P32P1-CMP-006,quantifier_domain,corrected_french_tex_plus_source_pdf,SGA2-VIII-P32P1,2904,for every x in S,for every x in S,for every x in overline S,authority_match_candidate_rejected,production_self_reviewed_pending_independent_review,high,"comparison candidate enlarges domain from S to overline S","promote comparison x in overline S",French2904;physical85,target item c,SGA2-VIII-P32P1-SRCDEF-003,1
SGA2-VIII-P32P1-CMP-007,prof_operator,corrected_french_tex_plus_source_pdf,SGA2-VIII-P32P1,2904,prof F_x,prof F_x,prof F_x,exact_operator_role_match_glyph_normalized,production_self_reviewed_pending_independent_review,high,"F calligraphic in target under closed Option A","translate operator prof as depth without SGA-wide decision",French2904;physical85,target item c,SGA2-VIII-P32P1-TERM-006,1
SGA2-VIII-P32P1-CMP-008,strict_inequality,corrected_french_tex_plus_source_pdf,SGA2-VIII-P32P1,2904,prof F_x > n-c(x),prof F_x > n-c(x),prof F_x > n-c(x),exact_formula_semantics,production_self_reviewed_pending_independent_review,high,none,"greater-than-or-equal or reverse inequality",French2904;physical85,target item c,SGA2-VIII-P32P1-C,1
SGA2-VIII-P32P1-CMP-009,function_definition,corrected_french_tex_plus_source_pdf,SGA2-VIII-P32P1,2905-2906,c(x)=codim(...),c(x)=codim(...),c(x)=codim(...),exact_formula_semantics,production_self_reviewed_pending_independent_review,high,"display consolidated with preceding inequality","omit c(x) definition",French2905-2906;physical85,target display,SGA2-VIII-P32P1-CODIM,1
SGA2-VIII-P32P1-CMP-010,closure_first_argument,corrected_french_tex_plus_visual_pdf,SGA2-VIII-P32P1,2905-2906,overline{x} intersect Y,overline{x} intersect Y,bar{x} intersect Y,exact_semantics_render_normalization,production_self_reviewed_pending_independent_review,high,"target uses explicit overline braces and ordinary delimiters for clean extraction","lose overline in text extraction or use control-bearing scalable delimiter",French2905-2906;source-physical-085.png,target display,SGA2-VIII-P32P1-SRCDEF-004,2
SGA2-VIII-P32P1-CMP-011,codimension_second_argument,corrected_french_tex_plus_visual_pdf,SGA2-VIII-P32P1,2905-2906,overline{x},overline{x},bar{x},exact_semantics_render_normalization,production_self_reviewed_pending_independent_review,high,none,"reverse arguments or use X",French2905-2906;source-physical-085.png,target display,SGA2-VIII-P32P1-CODIM,1
SGA2-VIII-P32P1-CMP-012,context_symbol_Y,corrected_french_tex_section_context,SGA2-VIII-P32P1,2644-2653;2905-2906,Y with U=X-Y,Y with disclosed inherited context,Y,context_preserved_with_editorial_disclosure,production_self_reviewed_pending_independent_review,high,"authority box clarifies inherited context only","silently substitute X setminus U inside translated formula",French2644-2653;2905-2906,target authority box,SGA2-VIII-P32P1-CONTEXT,1
SGA2-VIII-P32P1-CMP-013,enumeration_structure,corrected_french_tex_plus_source_pdf,SGA2-VIII-P32P1,2902-2907,item c enumeration,item c enumeration,item c paragraph,source_structure_preserved,production_self_reviewed_pending_independent_review,high,"target retains enumerate wrapper","drop visible c label",French2902-2907;physical85,target item c,SGA2-VIII-P32P1-C,1
SGA2-VIII-P32P1-CMP-014,proof_boundary,corrected_french_tex,SGA2-VIII-P32P1,2907-2909,enumeration close blank then a implies b,enumeration close and stop,comparison continues into implication,boundary_exact,production_self_reviewed_pending_independent_review,high,"target inserts no QED","include line2909 or end proof",French2907-2909,target document close,SGA2-VIII-P32P1-CURSOR,1
