filename,status,additions,deletions,changes
coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/MANIFEST.csv,modified,1,1,2
coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/PACKET_MANIFEST_SHA_STATUS_7A.csv,modified,4,5,9
coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/SHA256SUMS.txt,modified,1,1,2
transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_EE4A57F7_NONSLAVIC_7A_MANIFEST_REFRESH_20260707_AUDIT.md,added,8,0,8
transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_EE4A57F7_NONSLAVIC_7A_MANIFEST_REFRESH_20260707_COMMIT_PAYLOAD_AUDIT.csv,added,18,0,18
transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_EE4A57F7_NONSLAVIC_7A_MANIFEST_REFRESH_20260707_MANIFEST.csv,added,6,0,6
transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_EE4A57F7_NONSLAVIC_7A_MANIFEST_REFRESH_20260707_PLACEHOLDER_REVIEW.csv,added,2,0,2
transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_EE4A57F7_NONSLAVIC_7A_MANIFEST_REFRESH_20260707_ROOT_SUMMARY.csv,added,2,0,2
transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_EE4A57F7_NONSLAVIC_7A_MANIFEST_REFRESH_20260707_SHA256SUMS.txt,added,6,0,6
transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_EE4A57F7_NONSLAVIC_7A_MANIFEST_REFRESH_20260707_VALIDATION.csv,added,13,0,13
