"queue_priority","queue_type","language","current_state","evidence_rows","current_evidence_summary","exact_blocker","action_route","next_action","promotion_trigger_required","rebuild_trigger_required","active_rebuild_trigger_present","reason_no_active_trigger","access_license_buckets","permission_claims","review_claims","translation_triggers","translation_churn_allowed","source_canon_output_allowed","authority_boundary"
"P1_open_blocker","open_source_blocker","Bosnian","official_control_plus_third_party_candidate_no_authority_upgrade","blocked_bosnian_math_algebra_source ; candidate_bosnian_scribd_algebra_fulltext_2017","local_pdf_control_witness ; third_party_web_fulltext_candidate_not_promoted","Official PMF/COBISS/staff-page controls exist; third-party Scribd mirror/preview lead exists; official fulltext/source or permission-clean copy remains blocked.","official PMF Sarajevo textbook/fulltext/source route; COBISS/PMF controls are already cached; avoid third-party mirror promotion","Seek official PMF textbook fulltext/source package or permission-clean copy; keep PMF staff page bibliographic-only and Scribd lead candidate-only.","Official PMF fulltext/source, stable source-package, or documented permission/reviewer confirmation for the 2017 textbook.","Rebuild source-canon witness bundle if official Bosnian fulltext/source lands or current Scribd/cache evidence changes materially.","no","No accepted correction, official/permission-clean new source, TeX/e-print source package, qualified review return, or hash drift is documented for this row.","official_or_bibliographic_public_access_no_reuse_clearance ; third_party_or_mirror_not_clearance","0","0","0","no","only if route yields new source evidence or exact blocker evidence","source-canon blocker queue only; no native review, canonical approval, accepted correction, license clearance, or translation completion claimed"
"P1_open_blocker","open_source_blocker","Interslavic/Panslavic","direct_web_text_candidate_publication_blocked","blocked_interslavic_direct_math_publication","direct_web_text_candidate_not_publication","Stable isv.wikipedia and Wikimedia/Incubator Algebra raw wikitext are cached; no publication/source-package authority or qualified review exists.","publication-level Interslavic/Panslavic mathematical source or qualified review route; Wikimedia web text remains scouting-only","Seek publication-level Interslavic/Panslavic mathematical source or qualified reviewer before authority claims.","Publication-level source, stable source package, or qualified review establishing specific terms.","Rebuild if a direct publication/source package appears or the cached web-text changes materially.","no","No accepted correction, official/permission-clean new source, TeX/e-print source package, qualified review return, or hash drift is documented for this row.","cc_signal_web_text_not_publication_clearance","0","0","0","no","only if route yields new source evidence or exact blocker evidence","source-canon blocker queue only; no native review, canonical approval, accepted correction, license clearance, or translation completion claimed"
"P1_open_blocker","open_source_blocker","Sorbian Lower","bibliographic_control_content_blocked","blocked_sorbian_lower_math_algebra_source","source_package_lexicon_witness_publication_blocked","WITAJ/Yumpu bibliography is cached; Lower Sorbian terminology booklet body is not locally inspected.","WITAJ/Domowina booklet or corpus body route; current evidence is bibliography/listing control only","Obtain the WITAJ/Domowina booklet or corpus text; keep current row bibliographic-only.","Booklet/corpus body cached with term evidence or qualified Lower Sorbian review return.","Rebuild if booklet/corpus content is acquired, term evidence changes, or source-list hashes drift.","no","No accepted correction, official/permission-clean new source, TeX/e-print source package, qualified review return, or hash drift is documented for this row.","official_or_bibliographic_public_access_no_reuse_clearance","0","0","0","no","only if route yields new source evidence or exact blocker evidence","source-canon blocker queue only; no native review, canonical approval, accepted correction, license clearance, or translation completion claimed"
"P1_open_blocker","open_source_blocker","Sorbian Upper","bibliographic_control_content_blocked","blocked_sorbian_upper_math_terminology_content","source_package_lexicon_witness_publication_blocked","Domowina/Sorbian Institute source-list controls are cached; booklet/corpus term body is not locally inspected.","Domowina/Sorbian Institute booklet or corpus body route; current evidence is title/source-list control only","Obtain the terminology booklet/corpus text or Upper Sorbian reviewer confirmation for concrete algebra/ring/module/group terms.","Booklet/corpus body cached with term evidence or qualified Upper Sorbian review return.","Rebuild if booklet/corpus content is acquired, term evidence changes, or source-list hashes drift.","no","No accepted correction, official/permission-clean new source, TeX/e-print source package, qualified review return, or hash drift is documented for this row.","official_or_bibliographic_public_access_no_reuse_clearance","0","0","0","no","only if route yields new source evidence or exact blocker evidence","source-canon blocker queue only; no native review, canonical approval, accepted correction, license clearance, or translation completion claimed"
"P2_watch_recent_promotion","stable_witness_watch_only","Belarusian","stable_local_pdf_fulltext_witness_ocr_quality_watch","candidate_belarusian_bnt_1922 ; candidate_belarusian_math_dictionary_1993_algebra_ring","local_html_candidate_terms_hashed ; local_fulltext_witness","Radyno 1993 Russko-belorusskij matematicheskij slovar PDF is cached as a full source-canon witness; BELAL catalog remains optional corroboration and OCR quality remains a term-use QA issue.","Belarusian cached-PDF witness watch route; improve OCR/page verification only if term-level use is requested","Retain cached PDF/landing/OCR hashes; improve OCR/page verification if term-level use is requested; do not resume translation from this witness table alone.","Additional promotion only on cleaner OCR, official catalog/export, source-level package, or qualified Belarusian review for specific algebra/ring/module/group terms.","Rebuild only on PDF/OCR hash drift, cleaner OCR acceptance, official/source-package evidence, or qualified Belarusian review return.","no","No accepted correction, official/permission-clean new source, TeX/e-print source package, qualified review return, or hash drift is documented for this row.","official_or_bibliographic_public_access_no_reuse_clearance ; web_accessible_license_unknown","0","0","0","no","only for hash drift/watch reports; no reader mutation","source-canon blocker queue only; no native review, canonical approval, accepted correction, license clearance, or translation completion claimed"
"P2_watch_recent_promotion","stable_witness_watch_only","Macedonian","stable_local_fulltext_witness_recently_promoted_no_tex","candidate_macedonian_math_lexicon_2021 ; candidate_macedonian_ukim_nary_algebra","local_fulltext_witness","Local fulltext witness exists; no source-level TeX/source package is present.","watch for official TeX/e-print/source package, hash drift, accepted source defect, or qualified review return","Keep local fulltext hashes stable; watch for official TeX/source or review-return triggers.","No immediate promotion needed; promote only if official source package or accepted correction appears.","Rebuild if UKIM/UCG source hash drifts, official source package appears, or accepted review/source-defect evidence lands.","no","No accepted correction, official/permission-clean new source, TeX/e-print source package, qualified review return, or hash drift is documented for this row.","official_or_bibliographic_public_access_no_reuse_clearance","0","0","0","no","only for hash drift/watch reports; no reader mutation","source-canon blocker queue only; no native review, canonical approval, accepted correction, license clearance, or translation completion claimed"
"P2_watch_recent_promotion","stable_witness_watch_only","Montenegrin","stable_local_fulltext_witness_recently_promoted_no_tex","blocked_montenegrin_math_algebra_source","local_fulltext_witness","Local fulltext witness exists; no source-level TeX/source package is present.","watch for official TeX/e-print/source package, hash drift, accepted source defect, or qualified review return","Keep local fulltext hashes stable; watch for official TeX/source or review-return triggers.","No immediate promotion needed; promote only if official source package or accepted correction appears.","Rebuild if UKIM/UCG source hash drifts, official source package appears, or accepted review/source-defect evidence lands.","no","No accepted correction, official/permission-clean new source, TeX/e-print source package, qualified review return, or hash drift is documented for this row.","official_or_bibliographic_public_access_no_reuse_clearance","0","0","0","no","only for hash drift/watch reports; no reader mutation","source-canon blocker queue only; no native review, canonical approval, accepted correction, license clearance, or translation completion claimed"
"P3_watch_stable_witness","stable_witness_watch_only","Bulgarian","stable_local_pdf_text_witnesses_no_tex","mathref_bulgarian_sofia_noncommutative_body_problem ; mathref_bulgarian_sofia_rings_lecture7","local_fulltext_witness","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","watch for official TeX/e-print/source package, hash drift, accepted source defect, or qualified review return","Watch for source-level TeX/arXiv/e-print packages or accepted review/source-defect triggers.","Promote only if an official/source-level package, permission-clean fulltext, or accepted qualified review/source-defect evidence appears.","No rebuild from this matrix alone; rebuild only on hash drift, accepted correction, source defect, or new official source witness.","no","No accepted correction, official/permission-clean new source, TeX/e-print source package, qualified review return, or hash drift is documented for this row.","public_web_access_signal_no_reuse_clearance","0","0","0","no","only for hash drift/watch reports; no reader mutation","source-canon blocker queue only; no native review, canonical approval, accepted correction, license clearance, or translation completion claimed"
"P3_watch_stable_witness","stable_witness_watch_only","Croatian","stable_local_pdf_text_witnesses_no_tex","mathref_croatian_mathhr_algebra_structures_2024 ; mathref_croatian_pmf_split_prsteni","local_fulltext_witness","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","watch for official TeX/e-print/source package, hash drift, accepted source defect, or qualified review return","Watch for source-level TeX/arXiv/e-print packages or accepted review/source-defect triggers.","Promote only if an official/source-level package, permission-clean fulltext, or accepted qualified review/source-defect evidence appears.","No rebuild from this matrix alone; rebuild only on hash drift, accepted correction, source defect, or new official source witness.","no","No accepted correction, official/permission-clean new source, TeX/e-print source package, qualified review return, or hash drift is documented for this row.","official_or_bibliographic_public_access_no_reuse_clearance ; public_web_access_signal_no_reuse_clearance","0","0","0","no","only for hash drift/watch reports; no reader mutation","source-canon blocker queue only; no native review, canonical approval, accepted correction, license clearance, or translation completion claimed"
"P3_watch_stable_witness","stable_witness_watch_only","Czech","stable_local_pdf_text_witnesses_no_tex","mathref_czech_cuni_algebra_2021 ; mathref_czech_cuni_noncommutative_body_thesis ; mathref_czech_cuni_representation_idempotents ; mathref_czech_cuni_telesa_pole_note ; mathref_czech_karlin_commutative_rings_fields ; mathref_czech_karlin_galois_splitting_field","local_fulltext_witness","No target-language TeX/LaTeX/source package is present; use local PDF/text witness only.","watch for official TeX/e-print/source package, hash drift, accepted source defect, or qualified review return","Watch for source-level TeX/arXiv/e-print packages or accepted review/source-defect triggers.","Promote only if an official/source-level package, permission-clean fulltext, or accepted qualified review/source-defect evidence appears.","No rebuild from this matrix alone; rebuild only on hash drift, accepted correction, source defect, or new official source witness.","no","No accepted correction, official/permission-clean new source, TeX/e-print source package, qualified review return, or hash drift is documented for this row.","public_web_access_signal_no_reuse_clearance","0","0","0","no","only for hash drift/watch reports; no reader mutation","source-canon blocker queue only; no native review, canonical approval, accepted correction, license clearance, or translation completion claimed"
