"lexeme_id","candidate_form","lane_scope","rooted_tree_scope","branch","raw_witness_count","effective_branch_number_D","r6_decision","followup_decision","ac6f_followup_decision"
"R6LEX-R6-SCAFFOLD-KREYOL-001","matematik","creole_contact","R6 creole/contact access subtree; no cross-family interlanguage promotion from this row","atlantic_french_lexifier_creole_haitian_kreyol","2","1","D=1 local-language/support route only; no bridge/pilot/generalized interlanguage promotion","branch-weight row retained as local source-gated support; no bridge/pilot/generalized interlanguage promotion","branch-weight row retained as data; no bridge/pilot promotion"
"R6LEX-R6-SCAFFOLD-KREYOL-002","anseyman matematik","creole_contact","R6 creole/contact access subtree; no cross-family interlanguage promotion from this row","atlantic_french_lexifier_creole_haitian_kreyol","2","1","D=1 local-language/support route only; no bridge/pilot/generalized interlanguage promotion","branch-weight row retained as local source-gated support; no bridge/pilot/generalized interlanguage promotion","branch-weight row retained as data; no bridge/pilot promotion"
"R6LEX-R6-SCAFFOLD-KREYOL-003","tiraj san remiz avek lod","creole_contact","R6 creole/contact access subtree; no cross-family interlanguage promotion from this row","atlantic_french_lexifier_creole_haitian_kreyol","1","1","D=1 local-language/support route only; no bridge/pilot/generalized interlanguage promotion","branch-weight row retained as local source-gated support; no bridge/pilot/generalized interlanguage promotion","branch-weight row retained as data; no bridge/pilot promotion"
"R6LEX-R6-SCAFFOLD-BISLAMA-001","Matematiks","creole_contact","R6 creole/contact access subtree; no cross-family interlanguage promotion from this row","pacific_english_lexifier_creole_bislama","2","1","D=1 local-language/support route only; no bridge/pilot/generalized interlanguage promotion","branch-weight row retained as local source-gated support; no bridge/pilot/generalized interlanguage promotion","branch-weight row retained as data; no bridge/pilot promotion"
"R6LEX-R6-SCAFFOLD-BISLAMA-002","Saens","creole_contact","R6 creole/contact access subtree; no cross-family interlanguage promotion from this row","pacific_english_lexifier_creole_bislama","2","1","D=1 local-language/support route only; no bridge/pilot/generalized interlanguage promotion","branch-weight row retained as local source-gated support; no bridge/pilot/generalized interlanguage promotion","branch-weight row retained as data; no bridge/pilot promotion"
"R6LEX-R6-SCAFFOLD-BISLAMA-003","dictionary/reviewer check required","creole_contact","R6 creole/contact access subtree; no cross-family interlanguage promotion from this row","pacific_english_lexifier_creole_bislama","2","1","D=1 local-language/support route only; no bridge/pilot/generalized interlanguage promotion","branch-weight row retained as local source-gated support; no bridge/pilot/generalized interlanguage promotion","branch-weight row retained as data; no bridge/pilot promotion"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
,,"mixed_or_unspecified",,,,,,"retain adverse/source-use caution; no authority widening","source-use/adverse/marginal/do-not-use guard retained"
