"source_use_boundary","route_or_language","evidence_state","lane_scope","b3_packaging_note","authority_gate_needed","priority","queue_id","next_recovery_action","route_kind"
"source-recovery/blocker","Bislama / Vanuatu","R6-BISLAMA-RETRY-005; R6-BISLAMA-RETRY-006","creole_contact","metadata/reviewer-control row only; no target rendering","Math-source authority, translation approval, accepted terminology, or formula-neighboring prose beyond source titles.","P2","R6-9D7-RECOVERY-001","Which Bislama math-note spellings need dictionary verification before a reader-side draft?","source-owner/reviewer/dictionary-control route"
"source-recovery/blocker","Ecuador Kichwa/CNIB","probe_failed_no_body_saved","indigenous","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","source/reviewer/ethics authority remains unresolved","P1","R6-9D7-RECOVERY-002","continue source-owner/manual/browser recovery; do not widen support","source-owner/curriculum-body recovery plus Indigenous-language reviewer route"
"source-recovery/blocker","Ecuador EIB/CNIB general","probe_failed_no_body_saved","indigenous","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","source/reviewer/ethics authority remains unresolved","P1","R6-9D7-RECOVERY-003","continue source-owner/manual/browser recovery; do not widen support","source-owner/curriculum-body recovery plus Indigenous-language reviewer route"
"source-recovery/blocker","Paraguay Guarani/PRODEPA","probe_failed_no_body_saved","indigenous","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","source/reviewer/ethics authority remains unresolved","P1","R6-9D7-RECOVERY-004","continue source-owner/manual/browser recovery; do not widen support","source-owner/curriculum-body recovery plus Indigenous-language reviewer route"
"source-recovery/blocker","Paraguay PRODEPA background","probe_failed_no_body_saved","indigenous","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","source/reviewer/ethics authority remains unresolved","P1","R6-9D7-RECOVERY-005","continue source-owner/manual/browser recovery; do not widen support","source-owner/curriculum-body recovery plus Indigenous-language reviewer route"
"source-recovery/blocker","ASL algebra/STEM","html_probe_and_candidate_links_only_no_raw_body_saved","sign_access","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","source/reviewer/ethics authority remains unresolved","P2","R6-9D7-RECOVERY-006","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign-media/source-owner/accessibility reviewer route"
"source-recovery/blocker","ASL math dictionary","html_probe_and_candidate_links_only_no_raw_body_saved","sign_access","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","source/reviewer/ethics authority remains unresolved","P2","R6-9D7-RECOVERY-007","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign-media/source-owner/accessibility reviewer route"
"source-recovery/blocker","DGS math videos","html_probe_and_candidate_links_only_no_raw_body_saved","sign_access","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","source/reviewer/ethics authority remains unresolved","P2","R6-9D7-RECOVERY-008","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign-media/source-owner/accessibility reviewer route"
"source-recovery/blocker","DGS corpus dictionary","html_probe_and_candidate_links_only_no_raw_body_saved","sign_access","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","source/reviewer/ethics authority remains unresolved","P2","R6-9D7-RECOVERY-009","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign-media/source-owner/accessibility reviewer route"
"source-recovery/blocker","DGS open dictionary comparator","html_probe_and_candidate_links_only_no_raw_body_saved","sign_access","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","source/reviewer/ethics authority remains unresolved","P2","R6-9D7-RECOVERY-010","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign-media/source-owner/accessibility reviewer route"
"source-recovery/blocker","Paraguay Guarani language program","probe_failed_no_body_saved","indigenous","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","source/reviewer/ethics authority remains unresolved","P1","R6-9D7-RECOVERY-011","continue source-owner/manual/browser recovery; do not widen support","source-owner/curriculum-body recovery plus Indigenous-language reviewer route"
"source-recovery/blocker","Paraguay mathematics program comparator","probe_failed_no_body_saved","indigenous","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating","source/reviewer/ethics authority remains unresolved","P1","R6-9D7-RECOVERY-012","continue source-owner/manual/browser recovery; do not widen support","source-owner/curriculum-body recovery plus Indigenous-language reviewer route"
"generated-draft/noncanonical/source-gated","Kreyol / Haitian Creole","R6-KR-SAR-001; R6-KR-SAR-002","creole_contact","reviewer/source-owner question row; generated-draft/noncanonical/source-gated only","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","P2","R6-9D7-REVIEW-013","Should MIT-Ayiti matematik be retained as the default classroom-math draft label?","reviewer/source-owner route required before widening or accepting term"
"generated-draft/noncanonical/source-gated","Kreyol / Haitian Creole","R6-KR-SAR-001; R6-KR-SAR-002","creole_contact","reviewer/source-owner question row; generated-draft/noncanonical/source-gated only","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","P2","R6-9D7-REVIEW-014","Should reviewer distinguish anseyman matematik from a shorter classroom label?","reviewer/source-owner route required before widening or accepting term"
"generated-draft/noncanonical/source-gated","Kreyol / Haitian Creole","R6-KR-SAR-003","creole_contact","reviewer/source-owner question row; generated-draft/noncanonical/source-gated only","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","P2","R6-9D7-REVIEW-015","Should this title phrase be reusable as a technical phrase or marked title-only?","reviewer/source-owner route required before widening or accepting term"
"generated-draft/noncanonical/source-gated","Bislama / Vanuatu","R6-BISLAMA-RETRY-001; R6-BISLAMA-RETRY-003","creole_contact","reviewer/source-owner question row; generated-draft/noncanonical/source-gated only","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","P2","R6-9D7-REVIEW-016","Should official title capitalization/spelling be preserved in running draft notes?","reviewer/source-owner route required before widening or accepting term"
"generated-draft/noncanonical/source-gated","Bislama / Vanuatu","R6-BISLAMA-RETRY-002; R6-BISLAMA-RETRY-004","creole_contact","reviewer/source-owner question row; generated-draft/noncanonical/source-gated only","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","P2","R6-9D7-REVIEW-017","Should Saens remain a separate STEM register route in draft notes?","reviewer/source-owner route required before widening or accepting term"
"generated-draft/noncanonical/source-gated","Bislama / Vanuatu","R6-BISLAMA-RETRY-005; R6-BISLAMA-RETRY-006","creole_contact","reviewer/source-owner question row; generated-draft/noncanonical/source-gated only","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","P2","R6-9D7-REVIEW-018","Which Bislama math-note spellings need dictionary verification before a reader-side draft?","dictionary/source-owner/reviewer gate required before rendering"
