diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P14-001	P14	79	source_language	d has target Spec(ℤ[ζ_n])	d:M_H→Spec(ℤ[ζ_n]^{det H})	Restore the coarse space M_H and determinant-invariant cyclotomic target.	Physical page 79, formula (3.20.4); asset P0079-A01.
D018-P14-002	P14	79	source_language	the extended pairing is stated only for smooth elliptic curves	over 𝔪_{(m)}[1/m], e_n extends to the universal generalized elliptic curve	Restore the compactified universal setting of section 3.21.	Physical page 79, section 3.21; asset P0079-A01.
D018-P14-003	P14	79	source_language	(ℤ/m)_n is identified with ℤ/m	ℤ/n is identified with (ℤ/m)_n by i↦(m/n)i	Restore the exact torsion subgroup and scaling map used in (3.21.2).	Physical page 79, text between (3.21.1) and (3.21.2); asset P0079-A02.
D018-P14-004	P14	79	source_language	Γ_{oo}(n) and Γ'_{oo}(n) are conflated	Γ_{oo}(n) has a≡1, while Γ'_{oo}(n) has a≡d≡1 modulo n	Restore the two distinct congruence subgroups.	Physical page 79, section 4.1; asset P0079-A03.
D018-P14-005	P14	80	source_language	the level structure determines a chosen representative α	α⁻¹(ℤ/n×{0}) depends only on the class ᾱ	Restore descent from a representative to the level-H structure.	Physical page 80, opening paragraph; asset P0080-A01.
D018-P14-006	P14	80	source_language	C/F is silently rewritten in the frozen source	the frozen source retains the visibly printed 'C/F'; English regularizes the quotient to C/A	Preserve a genuine source-sic form without propagating it into the mathematical translation.	Physical page 80, section 4.4 first sentence; asset P0080-A02.
D018-P14-007	P14	80	source_language	w(C,A)=(C/A,A/C_n)	w(C,A)=(C/A,C_n/A)	Restore the quotient subgroup in the second component of the involution.	Physical page 80, first display of section 4.4; asset P0080-A04.
D018-P14-008	P14	80	source_language	w fixes an isogeny	w(a:E_1→E_2)=(a^*:E_2→E_1)	Restore the Cartier-dual isogeny and reversal of source and target.	Physical page 80, terminal display; asset P0080-A03.
D018-P14-009	P14	81	source_language	A is treated as a single prime-power group	A=∏_{p|n}A_p and n=∏_p p^{n(p)}	Restore the prime-primary decomposition underlying the w_p involutions.	Physical page 81, section 4.6; asset P0081-A01.
D018-P14-010	P14	81	source_language	the exact-order point is merely a section of C	β:ℤ/n↪C_n and β(1) has order exactly n everywhere	Restore the torsion target and exact-order condition of Construction 4.8.	Physical page 81, Construction 4.8; asset P0081-A02.
D018-P14-011	P14	81	source_language	the exterior product goes directly from C_n to μ_n	the chain passes through C_n/Im(β), tensor products, Im(β), and Λ²C_n before e_n	Restore the quotient and tensor data producing the primitive root.	Physical page 81, section 4.9 display; asset P0081-A05.
D018-P14-012	P14	81	source_language	Definition 4.11 uses the unprimed compactification	Definition 4.11 uses the leading-prime stack ′𝔪_{Γ_o(n)}[1/n]	Preserve the compactification that Construction 4.13 later identifies with the unprimed stack.	Physical page 81, Definition 4.11; asset P0081-A04.
D018-P14-013	P14	82	source_language	the forgetful map lands in 𝔪_1	the printed forgetful map lands in 𝔪_*	Restore the visibly printed star-subscript target.	Physical page 82, opening paragraph; asset P0082-A01.
D018-P14-014	P14	82	source_language	the two compactifications remain unrelated	𝔪_{Γ_o(n)}[1/n]≃′𝔪_{Γ_o(n)}[1/n]	Restore the conclusion of Construction 4.13.	Physical page 82, Construction 4.13; asset P0082-A02.
D018-P14-015	P14	82	source_language	the embedding may lie in the smooth locus only	β:ℤ/n↪C meets every irreducible component of every geometric fiber	Restore the compactified level condition in Construction 4.14.	Physical page 82, Construction 4.14; asset P0082-A03.
D018-P14-016	P14	82	source_language	projective level structures are full level-n structures	they are level-A structures for A the scalar subgroup of GL(2,ℤ/n)	Restore the quotient by homotheties introduced in 4.16.	Physical page 82, section 4.16; asset P0082-A04.
D018-P14-017	P14	83	source_language	a projective structure is an isomorphism C_n→(ℤ/n)²	it is a section of Isom(C_n,(ℤ/n)²)/A	Restore quotienting by the scalar subgroup.	Physical page 83, Definition 4.17; asset P0083-A01.
D018-P14-018	P14	83	source_language	all automorphisms respecting α are trivial	for n≥2 the sole nontrivial one is x↦-x	Restore the exact assertion of Lemma 4.18.	Physical page 83, Lemma 4.18; asset P0083-A01.
D018-P14-019	P14	83	source_language	scalar action on X_n implies g=1	scalar action on X_n implies g²=1	Restore the involutivity conclusion of Lemma 4.19.	Physical page 83, Lemma 4.19; asset P0083-A02.
D018-P14-020	P14	83	source_language	Proposition 4.21 is completed on page 83	page 83 ends after 'l'application'; the map and étaleness conclusion are on page 84	Preserve the exact physical page boundary.	Physical page 83, final line; asset P0083-A04.
D018-P14-021	P14	84	source_language	the coarse-space map is finite	𝔪_A[1/n]→M_A[1/n] is étale	Restore the conclusion of Proposition 4.21.	Physical page 84, opening display and predicate; asset P0084-A01.
D018-P14-022	P14	84	source_language	the exponential sequence begins with Lie(E)	0→H_1(E,ℤ)→^ιLie(E)→^{exp}E(ℂ)→0	Restore homology, the injection ι, and exact endpoints.	Physical page 84, section 5.1 exact sequence; asset P0084-A02.
D018-P14-023	P14	84	source_language	z(βγ)=(cz+d)/(az+b)	z(βγ)=(a z(β)+b)/(c z(β)+d)	Restore the fractional-linear transformation law.	Physical page 84, section 5.1 final display; asset P0084-A03.
D018-P14-024	P14	84	source_language	E_n is identified with H_1(E,ℤ)	H_1(E,ℤ)⊗ℤ/n→̃E_n	Restore reduction modulo n and the isomorphism of (5.2.1).	Physical page 84, formula (5.2.1); asset P0084-A05.
