check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P10 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P10_COVERAGE	PASS	authority pages 55-60 accepted; cumulative counts 60/60/60/60; P11 remains unaccepted
SEMANTIC_REPLAY	PASS	24 P10 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	13 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"28 runtime-selected inherited members; 14 byte-identical lineage pairs; per-page counts {""55"":4,""56"":6,""57"":4,""58"":4,""59"":6,""60"":4}; no authority role"
CORRECTION_DIFF	PASS	12 exact payload rows spanning all P10 pages; SHA256 3CA4881D8AD02CA6EC263C7F34D26E68474D5D26A6FDC30E8A030D2DA03A075B
FINAL_GATES	PASS	asset_sha256=3CE288A1715B12FCDAF0450C22069C57B57EB0CB66D99BE70658E43205B77E32; apparatus_final_sha256=371F5B860896B00667792105FDB1D130616CE4A2AA65D1DCF7B0ACB57DA36B54; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S10/P10 COMPLETE with 60/60/60/60 cumulative counts
VISUAL_QA	PASS	38 runtime-derived deterministic render checks and the complete contact sheet replayed; 12 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S10_COLD_AUDIT.tsv PASS; SHA256 81DCE397BF7B5ED207BD8B9C6C197943BB56B716A7D9B0C7C4362A09C65FDF20
MEMBER_SIZE_GATE	PASS	599 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 599 preexisting state-file hashes unchanged during postcommit audit
