check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P19 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P19_COVERAGE	PASS	authority pages 109-114 accepted; cumulative counts 114/114/114/114; P20 remains unaccepted
SEMANTIC_REPLAY	PASS	72 P19 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	30 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"40 runtime-selected inherited members; 20 byte-identical lineage pairs; per-page counts {""109"":10,""110"":4,""111"":12,""112"":2,""113"":4,""114"":8}; no authority role"
CORRECTION_DIFF	PASS	45 exact payload rows spanning all P19 pages; SHA256 86ADFFAF185F143410985D7B0C7CCE1820744E549A64B168BAB5C3F1569B1D0E
FINAL_GATES	PASS	asset_sha256=DC175E0688AC2B8B728B1F425507757F2DCBDAAB49E1C905707378D677763CB0; apparatus_final_sha256=2BD64AFEB079D56B253A42D09F81A5F3FCD83399BB25A1D8029000132D0EDA8C; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S19/P19 COMPLETE with 114/114/114/114 cumulative counts
VISUAL_QA	PASS	48 runtime-derived deterministic render checks and the complete contact sheet replayed; 12 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S19_COLD_AUDIT.tsv PASS; SHA256 481E5B2FEE01DAF54627765EB6AEBEDD83489CAEEDD2769D3CFB5F8E798B8163
MEMBER_SIZE_GATE	PASS	1625 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 1625 preexisting state-file hashes unchanged during postcommit audit
