diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P04-001	P04	20	source_language	différentielles méromorphes sur X̃	différentielles méromorphes sur X	The controlling authority visibly prints an untilded X at this occurrence.	Authority page 20 pixels; independent authority-only audits.
D018-P04-002	P04	21	source_language	Pic^0_{X/S}	Pic^o_{X/S}	The printed superscript is the lowercase letter o.	Authority page 21 pixels.
D018-P04-003	P04	21	source_language	deg_C(ℒ_2) [mathematical normalization]	deg_C(ℒ_1) [surviving printed argument]	Equation (3.3.2) is materially overstruck; the surviving final argument is ℒ_1 and is not silently normalized.	Authority page 21 pixels; P0021-A02 fallback.
D018-P04-004	P04	22	source_language	Pic^{[0]}	Pic^{[o]}	The bracketed printed superscript is lowercase o.	Authority page 22 pixels.
D018-P04-005	P04	22	source_language	Pic^0	Pic^o	The printed superscript is lowercase o.	Authority page 22 pixels.
D018-P04-006	P04	22	source_language	Γ^0	Γ^o	The printed vertex superscript is lowercase o.	Authority page 22 pixels.
D018-P04-007	P04	22	source_language	(3.5.3)	(3.5 3)	The authority omits the second dot in this item label.	Authority page 22 pixels.
D018-P04-008	P04	23	source_language	Γ^0	Γ^o	The printed vertex superscript is lowercase o.	Authority page 23 pixels.
D018-P04-009	P04	24	source_language	deg_{D̃_i}	deg_{D_i}	The total-degree display prints D_i without a visible tilde.	Authority page 24 pixels.
D018-P04-010	P04	24	source_language	est surjectif	et surjectif	The authority literally prints the source-sic conjunction et.	Authority page 24 pixels.
D018-P04-011	P04	24	source_language	Pic^0	Pic^o	The printed identity-component superscript is lowercase o.	Authority page 24 pixels.
