diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P17-001	P17	97	source_language	the proof starts with assertion C	retain the continuation of Lemma 1.11 beginning 'Preuve : Quitte à faire une extension préalable de k(η)'	Preserve the proof inherited across the physical page boundary.	Physical page 97, opening paragraph; asset P0097-A01.
D018-P17-002	P17	97	source_language	the special fiber is assumed smooth only	C̃_s may be smooth or an m-gon with p|m	Restore the semistable alternatives and divisibility condition.	Physical page 97, opening proof; asset P0097-A01.
D018-P17-003	P17	97	source_language	all components of C̃_s are retained	contract precisely the components that do not meet A	Restore the construction of (C̄,Ā).	Physical page 97, end of first paragraph; asset P0097-A01.
D018-P17-004	P17	97	source_language	the ordinary p-torsion is treated without its extension	retain 0 → μ_p → C_p → ℤ/p → 0	Preserve the exact sequence governing T′ and T″.	Physical page 97, case b1; asset P0097-A04.
D018-P17-005	P17	97	source_language	T has p geometric points in every characteristic	T has p+1 points if car(k)≠p and 2 if car(k)=p	Restore the authority's characteristic-dependent count.	Physical page 97, final lines; asset P0097-A04.
D018-P17-006	P17	98	source_language	α_{p²} has several order-p geometric subgroups	the order-p subgroup is the Frobenius kernel α_p and T has one geometric point	Restore the infinitesimal case.	Physical page 98, opening case b2; asset P0098-A01.
D018-P17-007	P17	98	source_language	c is merely proper	c is finite because it is proper with finite fibers	Restore the conclusion of part (4).	Physical page 98, second paragraph; asset P0098-A02.
D018-P17-008	P17	98	source_language	silently supply a word after 'sur' or collapse the phrase to 'on vérifie que'	mark the wide empty locus as 'on vérifie sur ⟦blanc dans l'autorité⟧ que'	Do not invent or suppress bytes absent from the authority pixels.	Physical page 98, representability paragraph; asset P0098-A02.
D018-P17-009	P17	98	source_language	Lemma 1.12 states only finiteness	c : ′𝔪_{Γ_0(p)}ᵒ → 𝔪_1ᵒ is finite and flat	Restore the flatness conclusion and both loci.	Physical page 98, Lemma 1.12; asset P0098-A03.
D018-P17-010	P17	98	source_language	the local-ring proof omits reducedness	the coefficients vanish because they vanish modulo every prime and A is reduced	Restore the key step proving B free.	Physical page 98, proof of Lemma 1.13; asset P0098-A04.
