diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P18-001	P18	103	source_language	begin with prose after the diagram	retain the full E_n=F_n^{(p)}←̃F_n commutative square	The square is authority body matter and completes page 102's terminal sentence.	Physical page 103, top display; asset P0103-A01.
D018-P18-002	P18	103	source_language	identify (E,α_n) directly with (F,β_n)	retain (E,α_n)=(F,β_n)^{(p)}	Preserve the Frobenius twist following the square.	Physical page 103, sentence beneath the square; asset P0103-A01.
D018-P18-003	P18	103	source_language	glue each supersingular point x to the same point x	identify x in the second copy with x^{(p)} in the first	Restore the Frobenius gluing of Variant 1.18.	Physical page 103, Variant 1.18; asset P0103-A02.
D018-P18-004	P18	103	source_language	normalize the citation and multiplication notation to (1.5.2) and XY	retain (I.5.2) and X.Y-p^k	Preserve the printed Roman section label and the displayed multiplication period.	Physical page 103, section 1.19; asset P0103-A03.
D018-P18-005	P18	103	source_language	allow k>1 in the completed local ring	use the non-liftability of α_p over W(𝔽̄_p)/(p^k) to force k=1	Restore the contradiction proving regularity.	Physical page 103, latter half of 1.19; asset P0103-A03.
D018-P18-006	P18	103	source_language	import the generic-fiber Isom display from page 104	end exactly after 'on a'	Preserve the physical page boundary.	Physical page 103, final line; asset P0103-A04.
D018-P18-007	P18	104	source_language	start with the definition paragraph	begin with 𝔪_{Γ′_∞(p)}[1/p]=Isom_{𝔪_{Γ_0(p)}[ζ_p,1/p]}(ℤ/p,A)	Retain the display continuing page 103.	Physical page 104, opening display; asset P0104-A01.
D018-P18-008	P18	104	source_language	treat 𝔪_{Γ′_∞(p)} as the Isom stack itself	define it as the normalization of 𝔪_{Γ_0(p)}[ζ_p] in the generic Isom stack	Restore the integral model construction.	Physical page 104, first paragraph; asset P0104-A01.
D018-P18-009	P18	104	source_language	collapse the two ordinary loci into one	retain distinct opens 𝒢′_p for μ_p and ℬ′_p for ℤ/p	Preserve the multiplicative/étale decomposition.	Physical page 104, section 2.2; asset P0104-A02.
D018-P18-010	P18	104	source_language	omit the relative Isom covers	retain 𝒰=Isom_{𝒢′_p}(μ_p,A), 𝒱=Isom_{ℬ′_p}(ℤ/p,A), and their generic isomorphism	Restore the gluing data used in Proposition 2.3.	Physical page 104, central displays; asset P0104-A02.
D018-P18-011	P18	104	source_language	describe the h-open as a disjoint union	glue 𝒰[ζ_p] and 𝒱[ζ_p] along 𝒰[ζ_p,1/p]	Restore Proposition 2.3 and its smoothness conclusion.	Physical page 104, Proposition 2.3; asset P0104-A03.
D018-P18-012	P18	104	source_language	complete the sentence about Spec(Λ_p) on this page	retain condition (2.4.1) and end at the repeated fragment 'Spec(Λ_p)'	Preserve both the defining residue condition and the open page boundary.	Physical page 104, section 2.4 and final line; asset P0104-A04.
D018-P18-013	P18	105	source_language	begin a new sentence with Spec(Λ_p)	begin with 'est étale sur Spec(ℤ)' as the continuation from page 104	Preserve the physical sentence boundary.	Physical page 105, first line; asset P0105-A01.
