check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P16 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P16_COVERAGE	PASS	authority pages 91-96 accepted; cumulative counts 96/96/96/96; P17 remains unaccepted
SEMANTIC_REPLAY	PASS	42 P16 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	29 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"22 runtime-selected inherited members; 11 byte-identical lineage pairs; per-page counts {""91"":2,""92"":4,""93"":8,""94"":2,""95"":2,""96"":4}; no authority role"
CORRECTION_DIFF	PASS	30 exact payload rows spanning all P16 pages; SHA256 5836416A62FC075A7AC0B835E1C057B1EC96C64C1E8DF96A08C6A79A21EC446E
FINAL_GATES	PASS	asset_sha256=4B41DE68AB66A5DBD021CBA1A5DDF7D35174F091B3CFDF431B8EBA19BA433E85; apparatus_final_sha256=7DB54253A26AA21E1DC83D35A345393655701565A8DB3A4C8ABD4D1BE1B2222C; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S16/P16 COMPLETE with 96/96/96/96 cumulative counts
VISUAL_QA	PASS	39 runtime-derived deterministic render checks and the complete contact sheet replayed; 12 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S16_COLD_AUDIT.tsv PASS; SHA256 7C7B488EED30C86913DFB100AD37383AAD11408CB30169FBC1224DF69D5956F3
MEMBER_SIZE_GATE	PASS	1270 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 1270 preexisting state-file hashes unchanged during postcommit audit
