check_id	result	evidence
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
STATE_VALIDATOR	PASS	validate_state.py PASS; build_readers.py --check PASS
P04_COVERAGE	PASS	authority pages 19-24 accepted; cumulative counts 24/24/24/24
CANONICAL_RECORD_LINKS	PASS	P04 source, English, apparatus, and coverage hashes replayed
SEMANTIC_REPAIR_REPLAY	PASS	11 authority-bound correction rows; source anomalies and translation restraint replayed
AUTHORITY_ASSET_REPLAY	PASS	12 P04 raw crops replay exact RGB authority pixels; 12 presentation derivatives replay exact operations
ZERO_ACCEPTED_REPLAY	PASS	92 page-specific witness rows; 46 byte-identical lineage pairs; archive bytes and hashes replayed; no authority role
CORRECTION_DIFF	PASS	11 rows; SHA256 D42AA3CCC5947B436B3B9E3175A353577CF6A66CD7B42BA7BA22B2FB18330E35
SESSION_LOG	PASS	one S04/P04 COMPLETE row with 24/24/24/24 cumulative counts
VISUAL_QA	PASS	10 nonblank headless-render screenshots inspected and hash-bound
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account first-name search on candidate text surface: no matches
MEMBER_SIZE_GATE	PASS	171 preexisting state files; every file below 500 MB
NONPATCHING_PROOF	PASS	all 171 preexisting state-file hashes unchanged during cold audit
