check_id	result	evidence
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
STATE_VALIDATOR	PASS	validate_state.py PASS; build_readers.py --check PASS
P06_COVERAGE	PASS	authority pages 31-36 accepted; cumulative counts 36/36/36/36
CANONICAL_RECORD_LINKS	PASS	P06 source, English, apparatus, and coverage hashes replayed
SEMANTIC_REPLAY	PASS	13 authority-bound correction rows; literal anomalies and translation restraint replayed
AUTHORITY_ASSET_REPLAY	PASS	12 P06 raw crops replay exact RGB authority pixels; 12 presentation derivatives replay exact operations
ZERO_ACCEPTED_REPLAY	PASS	42 page-specific witness rows; 21 byte-identical lineage pairs; archive bytes and hashes replayed; no authority role
CORRECTION_DIFF	PASS	13 rows; SHA256 5E49CF606F803EFBB1F3588BDB88FE7A9160939D39711BF5EDA4DAAFBFD9703C
SESSION_LOG	PASS	one S06/P06 COMPLETE row with 36/36/36/36 cumulative counts
VISUAL_QA	PASS	18 HTML slices, 38 nonblank rendered PDF pages, 12 full-resolution manual inspections, and one complete contact-sheet inspection
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account first-name search on candidate text surface: no matches
MEMBER_SIZE_GATE	PASS	305 preexisting state files; every file below 500 MB
NONPATCHING_PROOF	PASS	all 305 preexisting state-file hashes unchanged during cold audit
