diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P15-001	P15	85	source_language	M_H^o(ℂ) is identified with only the upper half-plane	M_H^o(ℂ)→̃X^±×(H\GL(2,ℤ/n)/GL(2,ℤ))	Restore both analytic components and the double quotient in section 5.3.	Physical page 85, first display of section 5.3; asset P0085-A01.
D018-P15-002	P15	85	source_language	the adelic quotient omits K, replaces X^± by X^+, or drops the finite-adèle factor	K\X^±×GL(2,𝔸^f)/GL(2,ℚ)	Restore the complete second quotient identification and its literal X^± factor.	Physical page 85, second display of section 5.3; asset P0085-A05.
D018-P15-003	P15	85	source_language	(5.4.1) has codomain (ℤ/n)^*	(5.4.1) has codomain det H\(ℤ/n)^*	Restore the determinant-orbit quotient controlling connected components.	Physical page 85, formula (5.4.1); asset P0085-A02.
D018-P15-004	P15	85	source_language	Corollaries 5.5 and 5.6 both claim irreducibility in all characteristics	5.5 gives connectedness in all characteristics; 5.6 gives irreducibility when p is prime to n	Preserve the distinct hypotheses and conclusions.	Physical page 85, Corollaries 5.5--5.6; asset P0085-A04.
D018-P15-005	P15	86	source_language	the modularly defined compactification is written without its prime	′𝔪_H[1/n] is defined and later identified with 𝔪_H[1/n]	Keep the temporary prime-marked stack distinct from the normalization.	Physical page 86, section 6 introduction; asset P0086-A01.
D018-P15-006	P15	86	source_language	B is recorded as ℤ/n×ℤ/n	B corresponds to ℤ/n×mℤ/nℤ for a suitable m|n	Restore the subgroup type used at the boundary.	Physical page 86, section 6.1; asset P0086-A02.
D018-P15-007	P15	86	source_language	β_1 is an independent pairing on A	β_1 is the restriction of β_0:Λ²A→̃μ to Λ²B	Restore the relation between the two pairings.	Physical page 86, section 6.1; asset P0086-A02.
D018-P15-008	P15	86	source_language	diagram (6.2.1) drops an exterior-square or vertical label	retain Λ²ᾱ, β_1, s, and β in the commutative square	Preserve the full determinant compatibility condition.	Physical page 86, diagram (6.2.1); asset P0086-A05.
D018-P15-009	P15	87	source_language	c(α) records only α|_B	c(α)=(α|_B,Λ²α∘β_0^{-1})	Restore the determinant component of c.	Physical page 87, opening display; asset P0087-A01.
D018-P15-010	P15	87	source_language	the right U-action changes β	(ᾱ,β)u=(ᾱ∘(u|B),β)	Restore the action that fixes the determinant datum.	Physical page 87, opening paragraph; asset P0087-A01.
D018-P15-011	P15	87	source_language	conditions (6.2.3)--(6.2.4) conflate a and ā	a is the unique lift in H\I while ā is its quotient class	Preserve the adequacy criterion and its two quotient levels.	Physical page 87, conditions (6.2.3)--(6.2.4); asset P0087-A03.
D018-P15-012	P15	87	source_language	Lemma 6.2.5 is a single {}_H J_B	H\I→̃⨿_{A'⊂B'⊂A}{}_H J_{B'}	Restore the disjoint sum over every intermediate subgroup B'.	Physical page 87, Lemma 6.2.5; asset P0087-A04.
D018-P15-013	P15	88	source_language	β_1:Λ²B→̃μ is recorded as an isomorphism	β_1:Λ²B↪μ	Restore the hooked injection printed at the start of section 6.3.	Physical page 88, opening line of section 6.3; asset P0088-A01.
D018-P15-014	P15	88	source_language	{}_H J_B is defined by one stabilizer condition	retain both the left-H condition (a) and the right-Ū identity condition (b)	Restore the two freeness requirements.	Physical page 88, conditions (a)--(b); asset P0088-A02.
D018-P15-015	P15	88	source_language	the singular-fiber value of F is all level structures	F(S)={}_H J_B for B=C_n^{reg}, A'=C_n^o, μ=μ_n, β_1=e_n	Restore the prescribed Néron-polygon boundary value.	Physical page 88, section 6.4(b); asset P0088-A03.
D018-P15-016	P15	88	source_language	F_1(S) begins with a full level isomorphism C_n→(ℤ/n)^2	F_1(S) begins with B⊂C_n, ᾱ:B↪(ℤ/n)^2, and β:μ_n→̃ℤ/n	Restore the partial boundary data used for gluing.	Physical page 88, section 6.5(a)--(b); asset P0088-A04.
D018-P15-017	P15	89	source_language	condition (d) is reduced to det(ᾱ)=β or silently regularized as Λ²ᾱ:Λ²B→Λ²(ℤ/n)^2	retain the full diagram with the authority labels ᾱ/e_n/s/β and printed target Λ²ℤ/n	Preserve the deliberately non-normalized displayed notation literally in both language layers.	Physical page 89, condition (d); asset P0089-A05.
D018-P15-018	P15	89	source_language	condition (e) is required only at singular points	the type clause is singular-only, but the stabilizer implication is required in all cases	Preserve the scope of the two clauses in condition (e).	Physical page 89, condition (e); asset P0089-A01.
D018-P15-019	P15	89	source_language	equivalence is checked only on the smooth open	also require H-conjugacy at each singular geometric fiber and its étale-local extension	Restore the boundary equivalence relation.	Physical page 89, equivalence condition 2; asset P0089-A03.
D018-P15-020	P15	89	source_language	Definition 6.6(ii) is imported at the bottom of page 89	page 89 contains only Definition 6.6(i)	Preserve the exact physical boundary before part (ii).	Physical page 89, terminal definition; asset P0089-A04.
D018-P15-021	P15	90	source_language	Definition 6.6(ii) uses unprimed 𝔪_H	Definition 6.6(ii) uses the prime-marked stack ′𝔪_H[1/n]	Preserve the modular compactification under construction.	Physical page 90, Definition 6.6(ii); asset P0090-A01.
D018-P15-022	P15	90	source_language	Theorem 6.7 omits the infinity locus	′𝔪_H^∞[1/n] is the finite étale image of the universal non-smoothness subscheme	Restore the theorem's boundary statement and both structural marks.	Physical page 90, Theorem 6.7(i); asset P0090-A02.
D018-P15-023	P15	90	source_language	representability is tested by surjectivity on automorphisms	Aut(C)→Aut(c(C)) must be injective	Restore criterion (6.7).	Physical page 90, formula (6.7); asset P0090-A05.
D018-P15-024	P15	90	source_language	the valuative construction ends with a conclusion from page 91	page 90 ends exactly after 'on voit que'	Do not import the continuation of the proof across the physical page boundary.	Physical page 90, final line; asset P0090-A04.
