diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P20-001	P20	115	source_language	begin with section 4 as though page 115 were self-contained	begin with 'C donc a aussi bonne réduction.'	Preserve the sentence completing the page-114 argument.	Physical page 115, first body line; asset P0115-A01.
D018-P20-002	P20	115	source_language	omit the ±-enlarged level group in 3.7(iv)	retain M_{Γ_∞(H)} = M_{±Γ_∞(H)} and the assumption -1∈H	Preserve the exact reduction of generality in part (iv).	Physical page 115, part (iv); asset P0115-A01.
D018-P20-003	P20	115	source_language	replace ℚ(ζ_p)^H without recording the target field	retain replacement by its totally real subfield	Keep the conclusion of part 3.7(iv) mathematically explicit.	Physical page 115, end of part (iv); asset P0115-A01.
D018-P20-004	P20	115	source_language	normalize the heading to an accented modern form	retain '4. Etude de 𝔪_n'	Keep the French source layer diplomatic and preserve the stack subscript.	Physical page 115, section-4 heading; asset P0115-A02.
D018-P20-005	P20	115	source_language	drop the divisibility qualifiers on singular and supersingular fibers	retain n|m in 4.1(a) and p|n in 4.1(b)	Both conditions control the local structure of C_n.	Physical page 115, 4.1(a)--(b); asset P0115-A02.
D018-P20-006	P20	115	source_language	paraphrase the e_n pairing without its exterior power	retain e_n:∧^2C_n≃μ_n as an isomorphism of fppf sheaves	Preserve the determinant map used in the next definition.	Physical page 115, middle of 4.1; asset P0115-A02.
D018-P20-007	P20	115	source_language	define determinant one without the controlling square	retain the full square with ∧^2α, e_n, i, and the identity on μ_n	The commutativity condition is the definition.	Physical page 115, lower determinant diagram; assets P0115-A03--P0115-A04.
D018-P20-008	P20	115	source_language	continue into the cases listed on page 116	end exactly at '4.2. Nous utiliserons 4.1 dans les 3 cas suivants :'	Preserve the physical page boundary.	Physical page 115, final body line; asset P0115-A04.
D018-P20-009	P20	116	source_language	merge the three cases of 4.2	retain cases (a), (b), and (c) with their distinct bases and group schemes	Each case supplies a different determinant target.	Physical page 116, opening half; asset P0116-A01.
D018-P20-010	P20	116	source_language	omit the ζ-induced composite defining i in case (a)	retain ζ:ℤ/n≃μ_n and ∧^2(ℤ/n)^2=ℤ/n≃μ_n	Preserve the explicit determinant isomorphism.	Physical page 116, case 4.2(a); asset P0116-A01.
D018-P20-011	P20	116	source_language	silently regularize the parenthetical power in 4.2(b)	retain the visibly printed i(a∧b)=b.a (= b^a ...)	Keep the French authority layer diplomatic.	Physical page 116, case 4.2(b); asset P0116-A01.
D018-P20-012	P20	116	english_standalone	repeat b^a without comment despite a∈μ_n and b∈ℤ/n	render the coherent scalar action b·a=a^b and disclose the printed order	Make the standalone English formula usable without concealing the authority reading.	Physical page 116, case 4.2(b); asset P0116-A01; translation note 116.
D018-P20-013	P20	116	source_language	reduce R(A) to an unnamed extension	retain the full push-out square A→(ℤ/n)^2 over A⊗μ_n→R(A)	The diagram is the definition of R(A).	Physical page 116, case 4.2(c); asset P0116-A02.
D018-P20-014	P20	116	source_language	omit intermediate tensor bases in ∧^2R(A)≃μ_n	retain the complete five-step exterior-power and tensor identification	Preserve every base and quotient in the determinant calculation.	Physical page 116, display following the push-out; asset P0116-A02.
D018-P20-015	P20	116	source_language	summarize 4.3 without the morphism d or level isomorphism α	retain d:𝔪_n→Spec(ℤ[ζ_n]) and α:C_n≃(ℤ/n)^2 of determinant one	Restore the full moduli classification.	Physical page 116, section 4.3; asset P0116-A03.
D018-P20-016	P20	116	source_language	identify 𝔞 with 𝔪_n or omit the terminal comparison	retain the distinct stack 𝔞 and end with (4.4.1) ζ:𝔪_n[1/n]≃𝔞[1/n]⊗ℤ[ζ_n]	Preserve the page's final named stack and exact endpoint.	Physical page 116, section 4.4 and final display; asset P0116-A04.
D018-P20-017	P20	117	source_language	begin page 117 with a completed definition imported from page 116	begin exactly with 'Nous noterons 𝒢′ l'ouvert de 𝒢 classifiant les (C,α) vérifiant' and retain condition (4.4.2)	The physical page begins mid-definition and the preceding-page syntax is outside this page's authority boundary.	Physical page 117, opening lines and formula (4.4.2); asset P0117-A01.
D018-P20-018	P20	117	source_language	normalize the proposition's reference to the preceding display as 4.4.3	retain display label (4.4.3) and Proposition 4.5's visibly printed reference 4.3.3	The mismatch is printed source evidence and must not be silently emended.	Physical page 117, morphism display and Proposition 4.5; assets P0117-A01--P0117-A02.
D018-P20-019	P20	117	source_language	summarize Proposition 4.5 as a generic smoothness claim	retain that the cited morphism is étale and separated and that 𝒢′ is a smooth algebraic stack over Spec(ℤ)	Both the morphism properties and the stack consequence are explicit body matter.	Physical page 117, Proposition 4.5; asset P0117-A02.
D018-P20-020	P20	117	source_language	omit the fiber-product functor used in the proof	retain 𝒢′ ×_{ℬ_n} S, F : (Sch/S) → (Ens), and pairs (A,u) with A × B ≃ C_n and u : B ≃ ℤ/n	These data identify the represented functor and its objects.	Physical page 117, proof of Proposition 4.5; asset P0117-A02.
D018-P20-021	P20	117	source_language	replace the determinant reconstruction by an unlabeled isomorphism	retain v : A ≃ μ_n and α : C_n ← A × B → μ_n × ℤ/nℤ with the right arrow labeled (v,u)	The arrow directions, label, and determinant-one condition are mathematically operative.	Physical page 117, central determinant display; asset P0117-A03.
D018-P20-022	P20	117	source_language	state only that p divides n	retain n = p^k·m, (m,p)=1, and the object 𝔪_n[1/m] studied in characteristic p	The coprime factorization fixes the p-primary and prime-to-p aspects used on the following page.	Physical page 117, section 4.6; asset P0117-A04.
D018-P20-023	P20	117	source_language	complete the p-aspect list from page 118	end exactly with (4.6.1) ℤ/n ≃ ℤ/p^k × ℤ/m	Formula (4.6.1) is the exact physical-page boundary.	Physical page 117, final lines; assets P0117-A04--P0117-A05.
D018-P20-024	P20	118	source_language	collapse the p^k- and m-components into prose	retain (4.6.2) μ_n ≃ μ_{p^k} × μ_m and (4.6.3) C_n ≃ C_{p^k} × C_m	The two displayed decompositions separately control the multiplicative and curve components.	Physical page 118, parts (b) and (d); assets P0118-A01--P0118-A02.
D018-P20-025	P20	118	source_language	replace the cyclotomic compatibility paragraph by a generic base-change statement	retain ℤ[ζ_d] ⊂ ℤ[ζ_n] via ζ_d = ζ_n^{n/d} and all three ζ morphisms for p^k, m, and n	The explicit convention determines the component maps and their bases.	Physical page 118, part (c); asset P0118-A01.
D018-P20-026	P20	118	source_language	silently repair the determinant paragraph's citations to the surrounding formula numbers	retain the visibly printed citations '(4.6.2) (4.6.4)'	Authority pixels control even where the printed cross-references are internally tense.	Physical page 118, paragraph below (4.6.3); asset P0118-A02.
D018-P20-027	P20	118	source_language	treat the decomposed level structures as informal remarks	retain the moduli descriptions of 𝔪_n[1/n] and 𝒢 with α′ and α″, their exact targets, and determinant-one conditions	Parts (e) and (f) are the stated identifications of the two stacks.	Physical page 118, parts (e)--(f); asset P0118-A03.
D018-P20-028	P20	118	source_language	record Lemma 4.7 without its base-change proof	retain smoothness of 𝒢 over ℤ and the cover by opens isomorphic to 𝒢′ after tensoring with ℤ[ζ_m,1/m]	The proof explicitly reduces the assertion to Proposition 4.5 after this base change.	Physical page 118, Lemma 4.7 and following paragraph; assets P0118-A03--P0118-A04.
D018-P20-029	P20	118	source_language	omit the indexing set in section 4.8	retain P as the cyclic order-p^k subgroups of (ℤ/p^k)^2, P ≃ ℙ^1(ℤ/p^k), and R(A) over ℤ[ζ_{p^k}]	These data establish the indexing and coefficient ring for the subsequent strata.	Physical page 118, opening of section 4.8; asset P0118-A04.
