check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P14 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P14_COVERAGE	PASS	authority pages 79-84 accepted; cumulative counts 84/84/84/84; P15 remains unaccepted
SEMANTIC_REPLAY	PASS	34 P14 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	27 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"48 runtime-selected inherited members; 24 byte-identical lineage pairs; per-page counts {""79"":20,""80"":4,""81"":2,""82"":4,""83"":4,""84"":14}; no authority role"
CORRECTION_DIFF	PASS	24 exact payload rows spanning all P14 pages; SHA256 00D956AD8EB60464B25F097F2D31A258257E38E717E5306FA8F943C943338834
FINAL_GATES	PASS	asset_sha256=58C5FB2968E4ADCB2007C4E0E82CADE839892D0FB113BB60F1076AE3A9951616; apparatus_final_sha256=0A3BF0955EC1A8ECE8516AECF746C8292A31105C95BDF740FB27920BC37FF78A; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S14/P14 COMPLETE with 84/84/84/84 cumulative counts
VISUAL_QA	PASS	43 runtime-derived deterministic render checks and the complete contact sheet replayed; 12 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S14_COLD_AUDIT.tsv PASS; SHA256 5816EB506B3C1D45F534574804B2BB1F3D1CE11B7267DBF6012445E216CAA84E
MEMBER_SIZE_GATE	PASS	1044 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 1044 preexisting state-file hashes unchanged during postcommit audit
