diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P26-001	P26	151	source_language	All three multiplicative-group models flattened	Ḡ_m^t, 𝔾_m^t, and 𝔾_m remain distinct	The bar and superscript distinguish the full model, smooth locus, and ordinary group.	P0151-A01; P0151-A03
D018-P26-002	P26	151	source_language	section of T_k	section of T^k in the diplomatic source	The authority visibly prints a surprising superscript.	P0151-A01
D018-P26-003	P26	151	source_language	isomorphe completed on page 151	page 151 ends iso- and page 152 begins morphe	The physical word split is exact.	P0151-A04; P0152-A01
D018-P26-004	P26	152	source_language	x_i formula uses u^i	x_i formula uses u^{-i}; y_i uses u^i	The exponent signs differ explicitly.	P0152-A01
D018-P26-005	P26	152	source_language	quotient charts always Zariski open	for |k|=1 the charts are only étale over the quotient	The caveat is part of Proposition-definition 1.6.	P0152-A03
D018-P26-006	P26	152	source_language	section 1.8 treated as complete	the final définit continues with the display on page 153	The physical page ends mid-sentence.	P0152-A04; P0153-A01
D018-P26-007	P26	153	source_language	(Ḡ_m^t/g^ℤ,+) in both occurrences	the first occurrence prints a literal dot; Proposition 1.9 prints +	The distinct glyphs are visible and source-level.	P0153-A01
D018-P26-008	P26	153	source_language	inverse limit	direct-limit arrow beneath lim	The printed arrow points right.	P0153-A02
D018-P26-009	P26	153	source_language	unbarred quotient model	barred Ḡ_m^t/g^ℤ throughout	Direct pixel inspection resolves the stylized glyph and bar.	P0153-A01; P0153-A05
D018-P26-010	P26	154	source_language	nonsmooth image left unspecified	the image is exactly t=0	Proposition 1.11 gives the defining equation.	P0154-A01
D018-P26-011	P26	154	source_language	a^k=g^1	a^k=g^i	The exponent is the chart index i.	P0154-A04
D018-P26-012	P26	154	source_language	(1.13.2) ends with a period	(1.13.2) ends with a semicolon and continues	The projection explanation begins on page 155.	P0154-A04; P0155-A01
D018-P26-013	P26	155	source_language	ordinary square root	indexed kth root in (1.13.4)	The small k is an upper-left radical index.	P0155-A01
D018-P26-014	P26	155	source_language	t and tau curves identified everywhere	the t-curve is the contraction of the tau-curve and coincides over A[t^{-1}]	Construction 1.14 distinguishes contraction from generic-fiber equality.	P0155-A02; P0155-A03
D018-P26-015	P26	155	source_language	Spec(A[t^{-1}]) silently closed	the diplomatic source retains the missing closing parenthesis	This is a visible source omission recorded in apparatus.	P0155-A04
D018-P26-016	P26	156	source_language	opening group barred	opening 𝔾_m^t is unbarred	It denotes the smooth group, unlike the quotient model.	P0156-A01
D018-P26-017	P26	156	source_language	e_k throughout	prose prints e_k but display prints e_n	The authority mismatch is preserved rather than harmonized.	P0156-A03
D018-P26-018	P26	156	source_language	Theorem 2.1 completed on page 156	page 156 ends q↦t=f(q), and continues on page 157	The terminal comma is a semantic forward continuation.	P0156-A04
