check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P11 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P11_COVERAGE	PASS	authority pages 61-66 accepted; cumulative counts 66/66/66/66; P12 remains unaccepted
SEMANTIC_REPLAY	PASS	24 P11 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	18 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"18 runtime-selected inherited members; 9 byte-identical lineage pairs; per-page counts {""61"":2,""62"":2,""63"":6,""64"":2,""65"":2,""66"":4}; no authority role"
CORRECTION_DIFF	PASS	15 exact payload rows spanning all P11 pages; SHA256 F9E44C2240D231054C9F0725D9B533F21EBF494BA76D54F4BA4244C241766CE3
FINAL_GATES	PASS	asset_sha256=F903C19B2B240E25FFF1B5068F6241FCC814690F268A87FB7F37AA4299CD9822; apparatus_final_sha256=FD19A3F6511ABD703D9FF9E5CAF055F24DC78AC9D3531E6906DE801F31CCC4F8; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S11/P11 COMPLETE with 66/66/66/66 cumulative counts
VISUAL_QA	PASS	38 runtime-derived deterministic render checks and the complete contact sheet replayed; 12 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S11_COLD_AUDIT.tsv PASS; SHA256 135D96F47BC6A8F2330E44AEE822ABEF25214277C5CE39B1C19FBF7F1275306D
MEMBER_SIZE_GATE	PASS	684 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 684 preexisting state-file hashes unchanged during postcommit audit
