diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P16-001	P16	91	source_language	the page begins directly with the injectivity proof	retain the continuation '(C, prolongement de a) est l'unique prolongement de (C_η,a) sur S'	Preserve the proof continuation from physical page 90.	Physical page 91, first line; asset P0091-A01.
D018-P16-002	P16	91	source_language	(6.7) is described as surjective	Prouvons (6.7) injectif	Restore the exact representability criterion under proof.	Physical page 91, second paragraph; asset P0091-A02.
D018-P16-003	P16	91	source_language	the kernel acts trivially on all of Pic(C)	the kernel acts trivially on Pic⁰(C)	Preserve the connected Picard component and its superscript.	Physical page 91, injectivity proof; asset P0091-A02.
D018-P16-004	P16	91	source_language	level compatibility is omitted from the kernel	the automorphisms also respect the level structure	Restore the hypothesis needed to invoke Definition 6.5(e).	Physical page 91, penultimate sentence; asset P0091-A02.
D018-P16-005	P16	91	source_language	the kernel is merely finite	A = {1}	Restore the exact trivial-kernel conclusion.	Physical page 91, final line; asset P0091-A02.
D018-P16-006	P16	92	source_language	the second congruence group is read as Γ_1(p)	the authority prints Γ_∞(p)	Distinguish the infinity subscript from the numeral one.	Physical page 92, Chapter V introduction; asset P0092-A01.
D018-P16-007	P16	92	source_language	the third congruence group is Γ(p) or Γ(p)^k	K includes Γ(p^k)	Preserve the exponent inside the argument of Γ.	Physical page 92, Chapter V introduction; asset P0092-A01.
D018-P16-008	P16	92	source_language	the printed word is silently corrected	retain source-sic 'reservirons' and note intended 'resserviront'	Keep the authority bytes distinct from editorial normalization.	Physical page 92, section 1 introductory paragraph; asset P0092-A02.
D018-P16-009	P16	92	source_language	𝒢_n classifies arbitrary rank-n subgroup schemes	A is locally isomorphic to μ_n and has étale Cartier dual	Restore the multiplicative-type level condition.	Physical page 92, section 1.1; asset P0092-A03.
D018-P16-010	P16	92	source_language	the forgetful morphism is only representable	𝒢_n→𝔪_1 is étale and 𝒢_n is smooth over ℤ	Restore both conclusions of Proposition 1.2.	Physical page 92, Proposition 1.2; asset P0092-A04.
D018-P16-011	P16	93	source_language	the quotient argument omits its exact sequence	0 → B → C_n → A → 0	Restore the sequence from which Cartier duality is read.	Physical page 93, first display; asset P0093-A01.
D018-P16-012	P16	93	source_language	the classified pair is (C/B,A)	the pair is (C/B,C_n/B)	Restore the actual object defining w.	Physical page 93, paragraph after the exact sequence; asset P0093-A01.
D018-P16-013	P16	93	source_language	(1.3.1) is oriented 𝒢_n→ℬ_n	(1.3.1) is w:ℬ_n→𝒢_n	Preserve the direction of the quotient construction.	Physical page 93, formula (1.3.1); asset P0093-A01.
D018-P16-014	P16	93	source_language	the lift is an unmarked cover without uniqueness	retain (C̃,Ã,β), β:w(C̃,Ã)→̃(C,A), unique up to unique isomorphism	Restore all covering data and the uniqueness strength.	Physical page 93, proof of Proposition 1.4; asset P0093-A03.
D018-P16-015	P16	93	source_language	the page imports the representability conclusion from page 94	page 93 ends exactly after 'et que le'	Preserve the physical page boundary.	Physical page 93, final line; asset P0093-A05.
D018-P16-016	P16	94	source_language	p⁻¹(e) is identified with μ_n	p⁻¹(e) is locally isomorphic to ℤ/n	Restore the étale marked fiber in the covering functor.	Physical page 94, opening paragraph; asset P0094-A01.
D018-P16-017	P16	94	source_language	Theorem 1.6 requires only a rank-p subgroup	A must also meet every irreducible component of every geometric fiber	Restore the boundary condition in the modular characterization.	Physical page 94, Theorem 1.6; asset P0094-A02.
D018-P16-018	P16	94	source_language	A is not placed in the p-torsion	A ⊂ C_p	Restore the consequence of rank-p commutative group schemes being killed by p.	Physical page 94, proof after Theorem 1.6; asset P0094-A02.
D018-P16-019	P16	94	source_language	the provisional stack is written without its prime	retain ′𝔪_{Γ_0(p)} and its smooth-locus prime/superscript marks	Keep the object under construction distinct from the established stack.	Physical page 94, provisional definition; asset P0094-A03.
D018-P16-020	P16	94	source_language	assertion E says only that the smooth locus is nonempty	′𝔪_{Γ_0(p)}ᵒ[1/p] is dense in ′𝔪_{Γ_0(p)}	Restore the exact density gate used in the proof.	Physical page 94, assertion E; asset P0094-A04.
D018-P16-021	P16	95	source_language	the 1-gon section uses an étale constant subgroup	C^{reg}≃G_m, C_p≃μ_p, and the section is (C,C_p)=e_1	Restore the first boundary point exactly.	Physical page 95, first boundary paragraph; asset P0095-A01.
