diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P29-001	P29	169	source_language	§4.4 continuation absent	q^(1/k) analytic/algebraic isomorphism completed	The page opens by completing the comparison begun on page 168.	P0169-A01
D018-P29-002	P29	169	source_language	classical transformation law omitted	condition (A) and f|γ lift-independence retained	Section 4.5 defines the principal-level transformation behavior.	P0169-A02; P0169-A03
D018-P29-003	P29	169	source_language	cusp condition reduced to prose	boundedness, polynomial growth, and Fourier index set included	Condition (B) and its consequence complete the definition.	P0169-A03; P0169-A04
D018-P29-004	P29	170	source_language	Construction 4.6 section identity absent	base-changed H⁰ identity included	The construction begins with an exact displayed section-space identity.	P0170-A01
D018-P29-005	P29	170	source_language	analytic proof collapsed	quotient, cusp extension, GAGA, and invariant passage retained	These are the logical steps of the printed proof.	P0170-A01; P0170-A02
D018-P29-006	P29	170	source_language	§§4.7-4.8 omitted	moduli interpretation and arithmetic consequence opening retained	The lower page contains both final subsections.	P0170-A03; P0170-A04
D018-P29-007	P29	171	source_language	first §4.8 bullet truncated	ℤ[ζₙ] coefficient-ring conclusion completed	The page begins mid-sentence and completes the first bullet.	P0171-A01
D018-P29-008	P29	171	source_language	second coefficient property omitted	ℤ[ζₙ][1/n] stability under f|γ included	The second bullet is the article's final mathematical assertion.	P0171-A02
D018-P29-009	P29	171	apparatus	blank lower page treated as missing	sparse terminal topology explicitly recorded	Authority pixels prove the mathematical body ends near the top of page 171.	P0171-A03; P0171-A04; P0171-A05
D018-P29-010	P29	172	source_language	bibliography [1]-[5] absent	Artin, Artin-Winters, and Casselman entries retained	Bibliography is canonical source matter.	P0172-A01; P0172-A02
D018-P29-011	P29	172	source_language	bibliography [6]-[10] absent	Deligne, Deligne-Mumford, Deuring, and Hartshorne entries retained	Entries and volume numbers are legible in the authority.	P0172-A02; P0172-A03
D018-P29-012	P29	172	source_language	bibliography [11]-[15] absent or silently regularized	Igusa through Lichtenbaum entries retained, including the printed 'P-adic prpperties' in [13]	The page closes exactly at [15], and the authority's capital P and typo are literal source evidence.	P0172-A03; P0172-A04
D018-P29-013	P29	173	source_language	bibliography [16]-[20] absent	Lipman, Mumford, and Néron entries retained	These entries occupy the page's opening block.	P0173-A01
D018-P29-014	P29	173	source_language	bibliography silently renumbered	printed omissions [21] and [28] preserved	The authority proceeds [20]→[22] and [27]→[29].	P0173-A02; P0173-A03
D018-P29-015	P29	173	source_language	bibliography [22]-[34] absent	remaining Oort-Tate through Verdier entries retained	The authority provides all printed entries through [34].	P0173-A02; P0173-A03; P0173-A04
D018-P29-016	P29	174	source_language	final references absent	Igusa entries [35]-[36] retained	The numbered bibliography closes with two Igusa references.	P0174-A01
D018-P29-017	P29	174	source_language	sigla discarded as copy matter	EGA, SGA, and TDTE expansions retained	The sigla are substantive bibliographic apparatus.	P0174-A02; P0174-A03
D018-P29-018	P29	174	source_language	retrospective note omitted	1985 Katz-Mazur note retained	The note is printed within the controlling authority terminus.	P0174-A04; P0174-A05
