check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P15 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P15_COVERAGE	PASS	authority pages 85-90 accepted; cumulative counts 90/90/90/90; P16 remains unaccepted
SEMANTIC_REPLAY	PASS	40 P15 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	29 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"36 runtime-selected inherited members; 18 byte-identical lineage pairs; per-page counts {""85"":4,""86"":2,""87"":4,""88"":14,""89"":6,""90"":6}; no authority role"
CORRECTION_DIFF	PASS	24 exact payload rows spanning all P15 pages; SHA256 1A3AA5397D71CA38BDA2E475D12E8DEDED1A5B6750B6D03E2D36DA09D3D12BD7
FINAL_GATES	PASS	asset_sha256=CB817EC8C1A92C5CAA43528FBB73FEBC7814D1FB51B6D67A99D50967B8AAD8D2; apparatus_final_sha256=3FB7D643C9EF8C019DACA90129FE143282FD9296E6DD28B1DDEB4A17A34C72EA; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S15/P15 COMPLETE with 90/90/90/90 cumulative counts
VISUAL_QA	PASS	47 runtime-derived deterministic render checks and the complete contact sheet replayed; 12 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S15_COLD_AUDIT.tsv PASS; SHA256 C893E6CC5D7F739790335865AA6721F84FFA0F3732F2D587A456AE54246AEC07
MEMBER_SIZE_GATE	PASS	1161 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 1161 preexisting state-file hashes unchanged during postcommit audit
