diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P12-001	P12	67	source_language	the singular point u is left unresolved	u is replaced by k−1 projective lines in the printed resolution diagram	Restore the geometric content of the authority diagram rather than reducing it to an unverified generic node.	Physical page 67, upper-half resolution display; authority image and asset P0067-A04.
D018-P12-002	P12	67	source_language	f_n is defined by curve II.1.9	f_n is defined by curve 1.9	Follow the visibly printed reference without comparator expansion.	Physical page 67, §2.1, sentence beginning Soit f_n; asset P0067-A03.
D018-P12-003	P12	67	source_language	𝔪^h_(n) and an unspecified boundary	𝔪_(n) and 𝔪_(n)^∞ = 𝔪_(n) ∩ 𝔪_*^∞	Reject a comparator-added superscript and restore the exact printed infinity-locus equation.	Physical page 67, Proposition 2.2; authority image and asset P0067-A03.
D018-P12-004	P12	68	source_language	C_n is finite étale of rank n	C_n^reg is finite étale of rank n²	Restore both the regular-locus superscript and the squared rank.	Physical page 68, opening line; authority image and asset P0068-A01.
D018-P12-005	P12	68	source_language	α : (ℤ/n)² → C_n	α : C_n →̃ (ℤ/n)²	Restore the direction and isomorphism mark in the definition of level structure.	Physical page 68, centered display below 2.3; authority image and asset P0068-A01.
D018-P12-006	P12	68	source_language	([22], app. à Exp. 17)	([26], app. à Exp. 17)	Restore the visibly printed bibliography number.	Physical page 68, proof of Theorem 2.7; asset P0068-A03.
D018-P12-007	P12	69	source_language	F_H(T) = H\F(T) as the main displayed definition	F_H(T) = F(T)/H, with the source's separate H\F(T) warning	Retain both the printed display and its immediately following left-action caveat.	Physical page 69, lower quotient display and parenthesis; asset P0069-A03.
D018-P12-008	P12	69	source_language	F_H = Hom(C,(ℤ/n)²)/H	F_H = Hom(C_n,(ℤ/n)²)/H	Restore the n-torsion source in the canonical formula.	Physical page 69, final centered display; authority image and asset P0069-A03.
D018-P12-009	P12	70	source_language	𝔪_H[1/n] classifies elliptic curves before compactification	𝔪_H^o[1/n] classifies elliptic curves before compactification	Restore the visibly printed o-open superscript in Definition 3.2.	Physical page 70, Definition 3.2; authority image and asset P0070-A02.
D018-P12-010	P12	70	source_language	𝔪_H is the normalization of 𝔪_1'	𝔪_H is the normalization of 𝔪_1 in 𝔪_H^o[1/n]	Reject the comparator-added prime and restore the full normalization field.	Physical page 70, Definition 3.3; asset P0070-A02.
D018-P12-011	P12	70	source_language	𝔪_H^o[1/n] is proper and has no named boundary	𝔪_H[1/n] is smooth and 𝔪_H^o[1/n] is the complement of 𝔪_H^∞[1/n]	Restore the theorem's distinction between compactification, open locus, and boundary.	Physical page 70, Theorem 3.4(ii); authority image and asset P0070-A02.
D018-P12-012	P12	71	source_language	c : 𝔪_n^o[1/n] → 𝔪_1^o[1/n]	c : 𝔪_n[1/n] → 𝔪_1[1/n]	The contraction morphism is visibly displayed on the full compactified stacks.	Physical page 71, display following Proposition 3.5; asset P0071-A01.
D018-P12-013	P12	71	source_language	level nm descends by an unlabeled torsion map	E_nm → E_n is labeled x^m and the constant-group map is reduction	Restore the printed x^m label and distinguish it from the reduction map.	Physical page 71, §3.6 square; authority image and asset P0071-A04.
D018-P12-014	P12	71	source_language	𝔪_H'^o[1/nm] ≃ 𝔪_H^o[1/n]	𝔪_H'^o[1/nm] ≃ 𝔪_H^o[1/n][1/nm]	Retain the visibly appended localization at the physical-page boundary.	Physical page 71, final centered display; asset P0071-A03.
D018-P12-015	P12	72	source_language	the compactifications for H and H' are left unrelated	𝔪_H' ≃ 𝔪_H	Restore the normalization conclusion that opens the page.	Physical page 72, opening centered display; asset P0072-A01.
D018-P12-016	P12	72	source_language	𝔪_K^o × 𝔪_L^o without a base or localization	𝔪_K^o[1/n] ×_{𝔪_1^o} 𝔪_L^o[1/m] →̃ 𝔪_{K∩L}^o[1/nm]	Restore the base stack, localizations, intersection subgroup, and isomorphism direction.	Physical page 72, Construction 3.8 display; authority image and asset P0072-A02.
D018-P12-017	P12	72	source_language	C_nm → C_n ⊕ C_m	C_nm →̃ C_n × C_m	Restore the product and isomorphism mark in formula (3.8.1).	Physical page 72, formula (3.8.1); authority image and asset P0072-A03.
