diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P02-001	P02	8	source_language	la fibre spéciale Ē'_o du modèle minimal Ē'_o de E_η	la fibre spéciale Ē'_o du modèle minimal Ē' de E_η	The special fiber carries subscript o; the minimal model itself does not.	Controlling IAS authority page 8 pixels; one-bit stream SHA256 F5A3E281F71A09C4606B9CE405CE408D5099924838C5D5F8BBC8F61C20223D71
D018-P02-002	P02	8	english_standalone	the special fiber Ē'_o of the minimal model Ē'_o of E_η	the special fiber Ē'_o of the minimal model Ē' of E_η	English realigned to the corrected frozen source and authority pixels.	Controlling IAS authority page 8 pixels.
D018-P02-003	P02	9	english_standalone	one factor of which, E^reg ×_T E, is not necessarily proper over T. This forces us to	whose source E^reg ×_T E is not necessarily proper over T. This forces us to	E^reg ×_T E is the source scheme of the displayed morphism, not a factor.	Controlling IAS authority page 9 French: ‘dont l'un (E^reg ×_T E)’.
D018-P02-004	P02	10	source_language	X/Γ⁻ (two occurrences)	X/Γ̄ (two occurrences)	The authority uses the barred compactified quotient, not a minus superscript.	Controlling IAS authority page 10 pixels.
D018-P02-005	P02	10	english_standalone	X/Γ⁻ (two occurrences)	X/Γ̄ (two occurrences)	The authority uses the barred compactified quotient, not a minus superscript.	Controlling IAS authority page 10 pixels.
D018-P02-006	P02	10	source_language	du schéma M_n'[1/n'], dont nous connaissons une interprétation modulaire. Les images réciproques sur M_n^∘[1/n'] et M_n^∘[1/n''] des	du schéma M_{n'}[1/n'], dont nous connaissons une interprétation modulaire. Les images réciproques sur M_{n'}^∘[1/n'] et M_{n''}^∘[1/n''] des	Braced indices distinguish n-prime and n-double-prime from a prime on M_n.	Controlling IAS authority pages 10–11 pixels and cross-page continuation.
D018-P02-007	P02	10	english_standalone	scheme M_n'[1/n'], for which we know a modular interpretation. The pullbacks to M_n^∘[1/n'] and M_n^∘[1/n''] of the	scheme M_{n'}[1/n'], for which we know a modular interpretation. The pullbacks to M_{n'}^∘[1/n'] and M_{n''}^∘[1/n''] of the	Braced indices distinguish n-prime and n-double-prime from a prime on M_n.	Controlling IAS authority pages 10–11 pixels and corrected frozen source.
D018-P02-008	P02	11	source_language	courbes elliptiques universelles sur M_n'^∘[1/n'] et M_n''^∘[1/n''] se recollent	courbes elliptiques universelles sur M_{n'}^∘[1/n'] et M_{n''}^∘[1/n''] se recollent	Braced indices preserve the n-prime and n-double-prime subscripts across the page break.	Controlling IAS authority page 11 pixels.
D018-P02-009	P02	11	english_standalone	universal elliptic curves over M_n'^∘[1/n'] and M_n''^∘[1/n''] glue together	universal elliptic curves over M_{n'}^∘[1/n'] and M_{n''}^∘[1/n''] glue together	Braced indices preserve the n-prime and n-double-prime subscripts across the page break.	Controlling IAS authority page 11 pixels and corrected frozen source.
D018-P02-010	P02	8	authority_asset	P0008-A01 bbox 650,630,1200,1150; raw 0B95542382C06C464AACCC73151DAC476D463768EEC9E41BFB6EE8D059006E67; presentation 0ABED08B502ACA879C98D176A697BB2FB54C02922A5E8000D168A235A31A1DFF	P0008-A01 bbox 679,998,1050,1258; raw 6957FF942F787869C5DF9C75D14D31FDA4A2D7DC78F1A09B4E8706572D497FFC; presentation B1D3FC23E624C8DC52E1051CB60FB0BE080A634282129EF6D65F7214A1D6234A	The inherited crop truncated the lower 92 pixels of the cycle diagram.	One-bit authority stream page 8; diagram ink-tight bbox 695,1014,1034,1242; replacement adds a 16px clean moat and contains no prose.
