check_id	result	evidence
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
STATE_VALIDATOR	PASS	validate_state.py PASS; build_readers.py --check PASS
P02_COVERAGE	PASS	authority pages 7-12 accepted; cumulative counts 12/12/12/12
CANONICAL_RECORD_LINKS	PASS	P02 source, English, apparatus, and coverage hashes replayed
SEMANTIC_REPAIR_REPLAY	PASS	10 correction rows; superseded strings absent; required authority readings present
AUTHORITY_ASSET_REPLAY	PASS	13 P02 raw crops replay exact pixels; hashes and corrected page-8 bbox PASS
ZERO_ACCEPTED_REPLAY	PASS	74 page-specific witness rows; both byte-identical lineages; no authority role
CORRECTION_DIFF	PASS	10 rows; SHA256 190F730AE5D2F919480F7C6790224A7252B91885905F6F9E42321B063ADA969D
SESSION_LOG	PASS	one S02/P02 COMPLETE row with 12/12/12/12 cumulative counts
VISUAL_QA	PASS	5 nonblank headless-render screenshots copied into audit/visual and hash-bound
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account first-name search on candidate text surface: no matches
MEMBER_SIZE_GATE	PASS	85 state files before audit receipt; every file below 500 MB
NONPATCHING_PROOF	PASS	all 85 preexisting state-file hashes unchanged during cold audit
