check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P18 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P18_COVERAGE	PASS	authority pages 103-108 accepted; cumulative counts 108/108/108/108; P19 remains unaccepted
SEMANTIC_REPLAY	PASS	49 P18 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	30 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"46 runtime-selected inherited members; 23 byte-identical lineage pairs; per-page counts {""103"":4,""104"":8,""105"":10,""106"":16,""107"":2,""108"":6}; no authority role"
CORRECTION_DIFF	PASS	40 exact payload rows spanning all P18 pages; SHA256 7D50022880E7F0096C2B524B5CFE6A8619B1ED7C2604447C759555EA29E8D296
FINAL_GATES	PASS	asset_sha256=7615CB1F93AD5CA8147B11011FB8D4A695BBDCA02DB66B9A438FFACAFC635950; apparatus_final_sha256=225B0EB511C5DE866ECFC84BC9BA2C36F580708B261037E3921D5144D51D294E; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S18/P18 COMPLETE with 108/108/108/108 cumulative counts
VISUAL_QA	PASS	48 runtime-derived deterministic render checks and the complete contact sheet replayed; 12 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S18_COLD_AUDIT.tsv PASS; SHA256 B9D87CEE48231D7C8878F2A2811EE2500EEB57080D394B78D5740B2A3D664330
MEMBER_SIZE_GATE	PASS	1504 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 1504 preexisting state-file hashes unchanged during postcommit audit
