check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P20 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P20_COVERAGE	PASS	authority pages 115-120 accepted; cumulative counts 120/120/120/120; P21 remains unaccepted
SEMANTIC_REPLAY	PASS	72 P20 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	30 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"54 runtime-selected inherited members; 27 byte-identical lineage pairs; per-page counts {""115"":4,""116"":4,""117"":18,""118"":8,""119"":14,""120"":6}; no authority role"
CORRECTION_DIFF	PASS	44 exact payload rows spanning all P20 pages; SHA256 5AA27CAC18D6AA8B1411B33EDAA190AEC332E81971F555F56254224281FCC443
FINAL_GATES	PASS	asset_sha256=675273235C6491E1DEE1ED496ADA81E8EA1560272A69F25244769D0AA95B079B; apparatus_final_sha256=40BED451B3ED19A1E41874D1FED485ADCAD233CBD04752A396B8AB0CDE8F7550; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S20/P20 COMPLETE with 120/120/120/120 cumulative counts
VISUAL_QA	PASS	48 runtime-derived deterministic render checks and the complete contact sheet replayed; 48 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S20_COLD_AUDIT.tsv PASS; SHA256 217B31D2DFE8EC91B6178AFC386AD73331225CF0C2294ACDF9A91CC01D6F43B6
MEMBER_SIZE_GATE	PASS	1744 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 1744 preexisting state-file hashes unchanged during postcommit audit
