check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P09 source records and six authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P09_COVERAGE	PASS	authority pages 49-54 accepted; cumulative counts 54/54/54/54; P10 remains unaccepted
SEMANTIC_REPLAY	PASS	29 P09 authority-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	12 raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	22 inherited members; 11 byte-identical lineage pairs; no authority role
CORRECTION_DIFF	PASS	17 nonempty authority-bound rows; SHA256 269DB98EA5F46CCC1937FA988C0E046BBAB92013E77C775437FDD01103813BE4
FINAL_GATES	PASS	asset_sha256=68D4F435CEE4D31309FF459EF1E0F1A84D6E7C5B00450A27CCD6777FD9969D27; apparatus_final_sha256=0B7E6AC1CFEC42DD2672264EA902795F8750A0714D46C889C1A7A9713A7FFA8E; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S09/P09 COMPLETE with 54/54/54/54 cumulative counts
VISUAL_QA	PASS	37 deterministic render checks and the complete contact sheet replayed; limitations recorded
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S09_COLD_AUDIT.tsv PASS; SHA256 585C889B7D09065F801C5014106EE1483420B7BBFBFBA34BF5F1780809C6AB11
MEMBER_SIZE_GATE	PASS	524 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 524 preexisting state-file hashes unchanged during postcommit audit
