check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P28 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P28_COVERAGE	PASS	authority pages 163-168 accepted; cumulative counts 168/168/168/168; P29 remains unaccepted
SEMANTIC_REPLAY	PASS	42 P28 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	30 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"50 runtime-selected inherited members; 25 byte-identical lineage pairs; per-page counts {""163"":6,""164"":4,""165"":8,""166"":12,""167"":10,""168"":10}; no authority role"
CORRECTION_DIFF	PASS	18 exact payload rows spanning all P28 pages; SHA256 453F6515055903313D0260C267634C1B8561B0E09C5980B1C052A1274AF435DC
FINAL_GATES	PASS	asset_sha256=697AEC2FAFEFADA7193CAF6C51819A12F7F4948AD7EB63A6FF1D1C878EFC5E13; apparatus_final_sha256=F7DB27BE77B585499271D475871ECC94B92F7DCDB46171986FCF0E0FBF561445; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S28/P28 COMPLETE with 168/168/168/168 cumulative counts
VISUAL_QA	PASS	42 runtime-derived deterministic render checks and the complete contact sheet replayed; 42 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S28_COLD_AUDIT.tsv PASS; SHA256 60E5468A1473E9F2FA9DCB780A4D2C425B2D3A2F5F0189C128B84051FE3EC25F
MEMBER_SIZE_GATE	PASS	2689 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 2689 preexisting state-file hashes unchanged during postcommit audit
