diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P08-001	P08	43	source_pre_freeze_authority_audit	Proposition text stopped at isomor-	isomor-/phe à m(t).	Restore the continuation printed on the same authority page before Lemma 2.2.1.	Authority page 43 pixels, proposition line break.
D018-P08-002	P08	43	page_topology	page boundary assigned at isomor-	line-break hyphen only; physical boundary after ce qui est	Respect the full physical-page topology and retain all printed proof text on page 43.	Authority page 43 bottom line.
D018-P08-003	P08	44	source_pre_freeze_authority_audit	record stopped after On obtient	include p_* Hom(𝒥,ω_{C/S}) ≃ (R¹p_*𝒥)^∨	The displayed duality consequence is printed at the bottom of page 44.	Authority page 44 bottom display.
D018-P08-004	P08	44	apparatus_metadata	printed folio -185-	printed folio -186-	Correct the apparatus folio from the controlling page image.	Authority page 44 top folio.
D018-P08-005	P08	44	source_sic_grammar	le support de K est fini	le support de K est finie	Preserve the authority's printed grammatical form rather than silently normalizing it.	Authority page 44 opening line.
D018-P08-006	P08	45	source_pre_freeze_authority_audit	Pic⁰_{C/S}	Pic⁰_{C/S}(S)	Restore the section-set qualifier in Corollary 2.4.	Authority page 45 Corollary 2.4 statement.
D018-P08-007	P08	45	source_pre_freeze_authority_audit	[Pic] placeholder	1_{Pic}	Restore the identity section used throughout the universal Picard argument.	Authority page 45 universal argument.
D018-P08-008	P08	45	formula_notation	inverse written without tensor exponent	𝓛^{⊗−1} and 𝒪(t)=m(t)^{⊗−1}	Preserve the printed tensor-power notation in (2.5.1) and before (2.5.2).	Authority page 45 equations (2.5.1)-(2.5.2).
D018-P08-009	P08	46	formula_notation	mathematically normalized first bracket	source-sic m(t_i)^{⊗(n_i)} in first bracket; later m(t_i)^{⊗(−n_i)} retained	Do not silently repair the authority's visibly inconsistent exponent signs.	Authority page 46 fppf Picard display.
D018-P08-010	P08	46	theorem_notation	Pic⁰ or Pic without bracketed component	Pic^[0]_{C/S}	Restore the bracketed component notation in Theorem 2.6(iii).	Authority page 46 Theorem 2.6(iii).
D018-P08-011	P08	47	formula_notation	unlabelled exact-sequence arrows and m(e)^{-1}	map labels f/e and m(e)^{⊗−1}	Preserve the printed map labels and tensor inverse in (2.7.1).	Authority page 47 exact sequences and equation (2.7.1).
D018-P08-012	P08	48	source_sic_formula	φ_e(x)+φ_e(y)	φ_e(x)−φ_e(y)	Preserve the authority's printed minus sign and flag it as source-sic rather than silently correcting it.	Authority page 48 displayed group-law calculation.
D018-P08-013	P08	48	group_law_notation	primed and unprimed laws collapsed	retain +′ separately from + throughout the uniqueness proof	The authority distinguishes the candidate law +′ from the established law +.	Authority page 48 uniqueness proof and displayed identity.
D018-P08-014	P08	48	page_topology	same-page continuation misclassified as a later-page borrowing	retain locale-/ment sur S within authority page 48	The hyphen and continuation are both printed on physical page 48; preserve the line break without truncating the phrase.	Authority page 48 final two lines.
D018-P08-015	P08	43	subscript_notation	K_s	K_{s̄}	Restore the barred geometric-fiber subscript in the finite-support sentence.	Authority page 43 lower paragraph.
D018-P08-016	P08	46	definition_notation	definition marker attached to transformed formula	=_{dfn} attached only to the initial definition of 𝒪(Σ n_i t_i)	Place the printed dfn marker at its authority location.	Authority page 46 fppf definition and transformed display.
D018-P08-017	P08	47	quotient_notation	same quotient notation repeated	𝒥/𝒪_C·f followed by source's 𝒥/f·𝒥	Preserve the authority's two printed quotient forms in the Euler-characteristic equality.	Authority page 47 Euler-characteristic display.
D018-P08-018	P08	45	morphism_target	φ : C^reg → Pic⁰_{C/S}	φ : C^reg → Pic_{C/S}	Restore the full Picard-scheme target printed in (2.5.2), distinct from the Pic⁰ action above it.	Authority page 45 equation (2.5.2).
D018-P08-019	P08	44	english_page_transition	orphaned duplicate phic, since	permissible, since	Page 43 already translates the completed isomor-/phic phrase; page 44 must begin with the translation of loisible.	Authority pages 43-44 physical transition.
D018-P08-020	P08	43	apparatus_metadata	opening bullet	opening p_*𝒪_C line	Remove a nonexistent bullet claim from the restrained apparatus.	Authority page 43 opening line.
