check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P23 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P23_COVERAGE	PASS	authority pages 133-138 accepted; cumulative counts 138/138/138/138; P24 remains unaccepted
SEMANTIC_REPLAY	PASS	149 P23 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	30 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"44 runtime-selected inherited members; 22 byte-identical lineage pairs; per-page counts {""133"":4,""134"":8,""135"":8,""136"":10,""137"":4,""138"":10}; no authority role"
CORRECTION_DIFF	PASS	62 exact payload rows spanning all P23 pages; SHA256 770A99CCB620469A148EE616ACED92E7ADB1C52C2C2C0E989D966025483E0030
FINAL_GATES	PASS	asset_sha256=452AEF459AED5492019CAE7B6CE930E5AB70DD30511494EBA2E5FC536DFFF31E; apparatus_final_sha256=ECF62F920DA1AE0CB2052D40D161CF38905326CD41672A9F990660A403D1FFC7; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S23/P23 COMPLETE with 138/138/138/138 cumulative counts
VISUAL_QA	PASS	48 runtime-derived deterministic render checks and the complete contact sheet replayed; 48 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S23_COLD_AUDIT.tsv PASS; SHA256 A35CDE0BE6FD224F7CD5B7B4D28EA89C4CDC983F9248A1FC292CAC2202DA9C8A
MEMBER_SIZE_GATE	PASS	2107 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 2107 preexisting state-file hashes unchanged during postcommit audit
