check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P24 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P24_COVERAGE	PASS	authority pages 139-144 accepted; cumulative counts 144/144/144/144; P25 remains unaccepted
SEMANTIC_REPLAY	PASS	132 P24 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	30 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"56 runtime-selected inherited members; 28 byte-identical lineage pairs; per-page counts {""139"":6,""140"":14,""141"":12,""142"":10,""143"":10,""144"":4}; no authority role"
CORRECTION_DIFF	PASS	59 exact payload rows spanning all P24 pages; SHA256 2805FC3DC1070E96EB9923C1DB9CADAC9E0CEA84529CB41DEFBA44DA96FE7BCB
FINAL_GATES	PASS	asset_sha256=8889F9989FAA2834430929F3F099DE6ECA5CFC554DE3E50B3ABF94D30CD04326; apparatus_final_sha256=B667D6E92978D3F5BF0F76B70ACEB5E3D3DBF657D94903FDB6696F17E5A33171; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S24/P24 COMPLETE with 144/144/144/144 cumulative counts
VISUAL_QA	PASS	49 runtime-derived deterministic render checks and the complete contact sheet replayed; 49 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S24_COLD_AUDIT.tsv PASS; SHA256 814E1AF8E8B6ABEE3DD20E2F67BEAFE596312A84BC20AFF691E3F51514743DE4
MEMBER_SIZE_GATE	PASS	2228 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 2228 preexisting state-file hashes unchanged during postcommit audit
