"source","dest","bytes","sha256","kind"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707_20260707T162957Z\B3_UPLOADER_READY_SUMMARY.csv","uploader-transfer\r3-4065f6a4-branch-visible-c033-18b-source-use-gap-20260707\B3_UPLOADER_READY_SUMMARY.csv","739","dd364841273f0d8597e051e4c9e82ed5c4aaaed71b026fc2f7a1e95cc8eb8686","package"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707_20260707T162957Z\branch-visible-inputs\b3_4065_action_summary__B3_ACTION_SUMMARY.csv","uploader-transfer\r3-4065f6a4-branch-visible-c033-18b-source-use-gap-20260707\branch-visible-inputs\b3_4065_action_summary__B3_ACTION_SUMMARY.csv","146","723af2cce17a0b67f6090859bb700da2e801ad85c7a81170c714da53cb566918","package"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707_20260707T162957Z\branch-visible-inputs\b3_persianate_a55_action_summary__B3_ACTION_SUMMARY.csv","uploader-transfer\r3-4065f6a4-branch-visible-c033-18b-source-use-gap-20260707\branch-visible-inputs\b3_persianate_a55_action_summary__B3_ACTION_SUMMARY.csv","164","717ebd64a9f44ae46b61134fcfa447a898ddb907c47f517cd9b98a7a64ec2663","package"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707_20260707T162957Z\branch-visible-inputs\b3_r3_18b_action_summary__B3_ACTION_SUMMARY.csv","uploader-transfer\r3-4065f6a4-branch-visible-c033-18b-source-use-gap-20260707\branch-visible-inputs\b3_r3_18b_action_summary__B3_ACTION_SUMMARY.csv","149","c24adfb51e7c21d3f43ecbe1d81376f3e30740d3c5b45541e6190bd801a10446","package"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707_20260707T162957Z\branch-visible-inputs\non_slavic_18b_blockers__EXACT_BLOCKER_RECOVERY_ROWS_18BBB185.csv","uploader-transfer\r3-4065f6a4-branch-visible-c033-18b-source-use-gap-20260707\branch-visible-inputs\non_slavic_18b_blockers__EXACT_BLOCKER_RECOVERY_ROWS_18BBB185.csv","2323","cf7c1d0e9457f1231247f031390c66140c09d371eea680038403a9120c830a4f","package"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707_20260707T162957Z\branch-visible-inputs\non_slavic_18b_source_use__SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_18BBB185.csv","uploader-transfer\r3-4065f6a4-branch-visible-c033-18b-source-use-gap-20260707\branch-visible-inputs\non_slavic_18b_source_use__SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_18BBB185.csv","3113","20de0137b343f4a4421aeec464cd8049b823f93098a6ae0ebef7e917df1ff2ac","package"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707_20260707T162957Z\branch-visible-inputs\non_slavic_18b_summary__SUMMARY.json","uploader-transfer\r3-4065f6a4-branch-visible-c033-18b-source-use-gap-20260707\branch-visible-inputs\non_slavic_18b_summary__SUMMARY.json","1744","c5850f051854d80bed03c23d1997be58af937f348d7b8ff6879430a16366d482","package"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707_20260707T162957Z\branch-visible-inputs\non_slavic_1fa_blockers__EXACT_BLOCKER_RECOVERY_ROWS_1FA37D6D.csv","uploader-transfer\r3-4065f6a4-branch-visible-c033-18b-source-use-gap-20260707\branch-visible-inputs\non_slavic_1fa_blockers__EXACT_BLOCKER_RECOVERY_ROWS_1FA37D6D.csv","1735","d04a8401d0b33d1be5f8261c7067e8b0ce9c28546324dd2faf55cf31c09bfb42","package"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707_20260707T162957Z\branch-visible-inputs\non_slavic_1fa_source_use__SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_1FA37D6D.csv","uploader-transfer\r3-4065f6a4-branch-visible-c033-18b-source-use-gap-20260707\branch-visible-inputs\non_slavic_1fa_source_use__SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_1FA37D6D.csv","1936","f22e57fe3f98f88cbc5bc1d588e3ec3e9d8c7aa7cf09dc9832139350d8ff0bb2","package"
"C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707\R3_4065F6A4_BRANCH_VISIBLE_C033_18B_SOURCE_USE_GAP_20260707_20260707T162957Z\branch-visible-inputs\non_slavic_1fa_summary__SUMMARY.json","uploader-transfer\r3-4065f6a4-branch-visible-c033-18b-source-use-gap-20260707\branch-visible-inputs\non_slavic_1fa_summary__SUMMARY.json","1243","cc9117edd827c6dfb7be7a2405f082d67361ad6031345655629147b7802d2fff","package"
