relative_path	bytes	sha256	role
returned\DELIGNE_D022_WEIGHTS_COHOMOLOGY_S02_CUMULATIVE_FULL_STATE.zip	24765905	64188B008AD3001F38ACE0EB62024C5C75C6F60F08F7A764416EE2EDC0F8E1B4	RETURNED_ORIGINAL
canonical\assets\D022_AUTHORITY_PAGE_01_PRINTED_79_180DPI.png	578741	0318598344238D1BE1A37F734AAE9A47B29CEE5132E0CD0CA0DE5A95C5733DDC	PUBLIC_IMAGE_ASSET
canonical\assets\D022_AUTHORITY_PAGE_02_PRINTED_80_180DPI.png	819747	BCF189DD7D50BA48F1822F9165E453DC78155D50566E30267CD2E7876473ECA3	PUBLIC_IMAGE_ASSET
canonical\assets\D022_AUTHORITY_PAGE_03_PRINTED_81_180DPI.png	944597	FDFBA8654FE6A1C02A8D9533BB20DE9A11F53E3D39E1874475D95D1BCA8D8105	PUBLIC_IMAGE_ASSET
canonical\assets\D022_AUTHORITY_PAGE_04_PRINTED_82_180DPI.png	668845	E91A3386FCF47C0AD17A7CBB7776E39B41512A40EFD68716F6F41A52280B255D	PUBLIC_IMAGE_ASSET
canonical\assets\D022_AUTHORITY_PAGE_05_PRINTED_83_180DPI.png	884119	2A702153BDF42FBED824C227392EA2C671FC03C1243B5CCB010C82881EBF8C3C	PUBLIC_IMAGE_ASSET
canonical\assets\D022_AUTHORITY_PAGE_06_PRINTED_84_180DPI.png	916567	7A58FC94770B935CFF1F967439B169A060AEB4ED5DB083C58D2C73905ED1DCE6	PUBLIC_IMAGE_ASSET
canonical\assets\D022_AUTHORITY_PAGE_07_PRINTED_85_180DPI.png	227090	1DE0532179D0D5BB4C7905C92D9EF87FDD3D4725C48B7C1911AAA50B301E7170	PUBLIC_IMAGE_ASSET
canonical\assets\D022_P082_DIAGRAMS_PRESENTATION.png	30936	471A6B183BCEDD0401BE2B4086CE3280D30554D7BAD9118681D729ABB0DBD264	PUBLIC_IMAGE_ASSET
canonical\assets\D022_P082_DIAGRAMS_RAW_390DPI.png	65422	EE7FB993F67BEDADA2D47CCD54661F579BBF0D153348F98D8CBB9669AC78DCDE	PUBLIC_IMAGE_ASSET
canonical\build_source\build_d022.ps1	2297	C8D05F8169CDE9CE6BA30849E62C3CC671592F6AA44C5D9590DF5FAC55707F25	PUBLIC_SOURCE_COMPONENT
canonical\build_source\D022_APPARATUS.tex	6265	B95CA05BAA1C7CD3C7BD215CB0C6E316B47E97EB2D834848CA35401B86022801	PUBLIC_SOURCE_COMPONENT
canonical\build_source\D022_EN_P04_P07.tex	11051	3EC8466E52B501C32D93EBD84530640233D98DD835F10FD6351CFA45389133EE	PUBLIC_SOURCE_COMPONENT
canonical\build_source\D022_EN.tex	9397	DBB367E579767F3339AF247AA83EE3C8080B58F8FCC525208821FD9DB8F72352	PUBLIC_SOURCE_COMPONENT
canonical\build_source\D022_FR.tex	21283	B58A4977008EFDA7A76D0A1B514ABF9646ECD263FEA8E1BB885280B565D9B60F	PUBLIC_SOURCE_COMPONENT
canonical\build_source\D022_STYLE.tex	3088	03F6BA26E6D43A04EECFEA0FC0B07558FD126923D202DDD9A15D2C841FDBD6AF	PUBLIC_SOURCE_COMPONENT
canonical\evidence\20_AUTHORITY_DELIGNE_D022_WEIGHTS_COHOMOLOGY_7PP_IAS_390DPI.pdf	262396	4ADB0A4D7D12F41F92E24FE4D02897CA38695237599E44AE42FB0100ABCE5A5F	PROVENANCE_BUNDLE_ONLY
canonical\evidence\21_COMPARATOR_DELIGNE_D022_WEIGHTS_COHOMOLOGY_7PP_COLLECTED_SPLIT.pdf	186438	56DFE5A5D9CD23848ABD3296A962F998AE40AD6733F6062E2D111137F8B2816C	PROVENANCE_BUNDLE_ONLY
canonical\evidence\30_UNTRUSTED_PRIOR_WORK_DELIGNE_D022_ZERO_ACCEPTED.zip	11674283	A2040A641961CFF0BC0DF303AFE5E1EB4DBB99606FAA97293F8591AB94F7BC9E	PROVENANCE_BUNDLE_ONLY
canonical\evidence\D022_APPARATUS_RETURNED.ndjson	8181	5460C63D92548AD4E714289764968D037B91E102E4D19BBD0AFC75048DB4BEE8	PROVENANCE_BUNDLE_ONLY
canonical\evidence\D022_CANONICAL_PAGE_TOPOLOGY.tsv	1502	01F6DD83FED642612FA4426373E0C7131D0692C5EB2E0A9B710BFF0F151FDB4F	PUBLIC_CANONICAL_EVIDENCE
canonical\evidence\D022_COPY_MATTER_MAP.tsv	1604	3698E0BBBFA2BD9E0EEB69284E0DBB9A8F793D8E275A3994C57ADA02E3D9E02A	PUBLIC_CANONICAL_EVIDENCE
canonical\evidence\D022_ENGLISH_RETURNED.ndjson	20443	3A98B7FCC1FABD8AF10DAFAC8577936B3696BF3E4A90F101F3C53F48743E1686	PROVENANCE_BUNDLE_ONLY
canonical\evidence\D022_RETURNED_PAGE_MAP.tsv	4861	FE79E49FB59338BC186F43565D8269705ADEA2B42B9EB0E9E63D6F189272A75C	PROVENANCE_BUNDLE_ONLY
canonical\evidence\D022_RETURNED_S02_COLD_AUDIT.tsv	3477	AC08D3B0981ADF2B9E501C34A508B76B117CE586D8D8FC53CF7C42D4F7DD76EF	PROVENANCE_BUNDLE_ONLY
canonical\evidence\D022_SOURCE_LANGUAGE_RETURNED.ndjson	20686	8D73F63F7C0091125237D21BCDB199BA98FF80FE2BAAD27957EE1524517A7FC0	PROVENANCE_BUNDLE_ONLY
canonical\evidence\D022_ZERO_ACCEPTED_DIVERGENCES.tsv	2193	F303922C88672A047467919CBFCA926D906485D802385FFC906774641C665B28	PROVENANCE_BUNDLE_ONLY
canonical\outputs\D022_APPARATUS.pdf	5178279	8DDAF92E6720FF868C633C50B5EC87817C44407DFA8830D65873B011A7B1C10B	PUBLIC_APPARATUS
canonical\outputs\D022_EN.pdf	129739	2DD8AD09E9672F004AE600D53A995E08C6A5CD849BD73A19337ED4F37E6323AA	PUBLIC_READER
canonical\outputs\D022_FR.pdf	130874	ACBB7BF1D6B67EB7EA5781C560EA4815DF8901C880AA6309FF2589B3560D47DE	PUBLIC_READER
