requirement_id,required_surface,description,branch_head,status,representation,body_linked_rows,source_body_rows,source_backed_routing_rows,recovery_rows,exact_output_path,boundary
C7FB-FABLE-REQ-01,languages.csv,language or lane inventory for Fable object,c7fb7e644e04102b67cc5da379ba9d4226feaef8,satisfied-as-authority-support,covered-by-lane-routing-and-source-body-index,74,26,900,131,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706\BODY_LINKED_SOURCE_USE_LEDGER_C7FB.csv,"authority/support data only; no accepted terminology, source certification, finality, or translation completion"
C7FB-FABLE-REQ-02,source_documents.csv,source document/body ledger with path/hash/access label,c7fb7e644e04102b67cc5da379ba9d4226feaef8,satisfied-as-authority-support,covered-by-source-body-index-and-routing-source-object-paths,74,26,900,131,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706\BODY_LINKED_SOURCE_USE_LEDGER_C7FB.csv,"authority/support data only; no accepted terminology, source certification, finality, or translation completion"
C7FB-FABLE-REQ-03,lexemes.jsonl,lexeme inventory; must remain draft until source/review gates close,c7fb7e644e04102b67cc5da379ba9d4226feaef8,satisfied-as-authority-support,not emitted as accepted lexemes; represented as source-gated routing/recovery rows,83,26,900,131,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706\BODY_LINKED_ADVERSE_DO_NOT_USE_LEDGER_C7FB.csv,"authority/support data only; no accepted terminology, source certification, finality, or translation completion"
C7FB-FABLE-REQ-04,forms.csv,form candidates; requires source-use and adverse-evidence links,c7fb7e644e04102b67cc5da379ba9d4226feaef8,satisfied-as-authority-support,not emitted as accepted forms; represented as normalization/adverse/source-use constraints,59,26,900,131,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706\BODY_LINKED_NORMALIZATION_LEDGER_C7FB.csv,"authority/support data only; no accepted terminology, source certification, finality, or translation completion"
C7FB-FABLE-REQ-05,word_weights.csv,word/term weighting surface,c7fb7e644e04102b67cc5da379ba9d4226feaef8,satisfied-as-authority-support,represented as branch-weight witness ledger rows,144,26,900,131,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706\BODY_LINKED_BRANCH_WEIGHT_LEDGER_C7FB.csv,"authority/support data only; no accepted terminology, source certification, finality, or translation completion"
C7FB-FABLE-REQ-06,branch_weight_ledger.csv,branch-weight witness ledger,c7fb7e644e04102b67cc5da379ba9d4226feaef8,satisfied-as-authority-support,covered-by-body-linked-branch-weight-ledger,144,26,900,131,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706\BODY_LINKED_BRANCH_WEIGHT_LEDGER_C7FB.csv,"authority/support data only; no accepted terminology, source certification, finality, or translation completion"
C7FB-FABLE-REQ-07,marginal_intelligibility.csv,marginal-intelligibility scoring ledger,c7fb7e644e04102b67cc5da379ba9d4226feaef8,satisfied-as-authority-support,covered-by-body-linked-marginal-intelligibility-ledger,99,26,900,131,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706\BODY_LINKED_MARGINAL_INTELLIGIBILITY_LEDGER_C7FB.csv,"authority/support data only; no accepted terminology, source certification, finality, or translation completion"
C7FB-FABLE-REQ-08,do_not_use.csv,false-friend/adverse/do-not-use exclusion ledger,c7fb7e644e04102b67cc5da379ba9d4226feaef8,satisfied-as-authority-support,covered-by-body-linked-adverse-do-not-use-ledger,83,26,900,131,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706\BODY_LINKED_ADVERSE_DO_NOT_USE_LEDGER_C7FB.csv,"authority/support data only; no accepted terminology, source certification, finality, or translation completion"
C7FB-FABLE-REQ-09,rules_acknowledgement.md,local acknowledgement of Fable/source-use rules,c7fb7e644e04102b67cc5da379ba9d4226feaef8,satisfied-as-authority-support,covered-by-rules-acknowledgement-md,29,26,900,131,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706\BODY_LINKED_AUTHORITY_BOUNDARY_LEDGER_C7FB.csv,"authority/support data only; no accepted terminology, source certification, finality, or translation completion"
C7FB-FABLE-REQ-10,FABLE_REQUIREMENTS_ACKNOWLEDGED_YYYYMMDD.md,dated satisfied/unsatisfied requirement record,c7fb7e644e04102b67cc5da379ba9d4226feaef8,satisfied-as-authority-support,covered-by-dated-fable-requirements-file,29,26,900,131,C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_BODY_LINKED_STANDARDIZATION_20260706\BODY_LINKED_AUTHORITY_BOUNDARY_LEDGER_C7FB.csv,"authority/support data only; no accepted terminology, source certification, finality, or translation completion"
