recovery_id,branch_head,recovery_type,remote_path,raw_url,blocker,next_action,source_body_status,label_boundary
C7FB-STD-RECOVERY-0001,c7fb7e644e04102b67cc5da379ba9d4226feaef8,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/010__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__DO_NOT_USE_LEDGER_20260704.json,https://raw.githubusercontent.com/KokunoYumeto/modern-latex-manuscripts/c7fb7e644e04102b67cc5da379ba9d4226feaef8/interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/010__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__DO_NOT_USE_LEDGER_20260704.json,"OSError(22, 'Invalid argument')",retry raw download or ask B3 to package body,access-blocked-or-missing-body,gap/recovery only; no source certification or completion
C7FB-STD-RECOVERY-0002,c7fb7e644e04102b67cc5da379ba9d4226feaef8,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/011__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__DO_NOT_USE_LEDGER_20260704.md,https://raw.githubusercontent.com/KokunoYumeto/modern-latex-manuscripts/c7fb7e644e04102b67cc5da379ba9d4226feaef8/interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/011__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__DO_NOT_USE_LEDGER_20260704.md,"OSError(22, 'Invalid argument')",retry raw download or ask B3 to package body,access-blocked-or-missing-body,gap/recovery only; no source certification or completion
C7FB-STD-RECOVERY-0003,c7fb7e644e04102b67cc5da379ba9d4226feaef8,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/012__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__user__made__flr__with__chat__web__stuff__WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.json,https://raw.githubusercontent.com/KokunoYumeto/modern-latex-manuscripts/c7fb7e644e04102b67cc5da379ba9d4226feaef8/interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/012__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__user__made__flr__with__chat__web__stuff__WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.json,"OSError(22, 'Invalid argument')",retry raw download or ask B3 to package body,access-blocked-or-missing-body,gap/recovery only; no source certification or completion
C7FB-STD-RECOVERY-0004,c7fb7e644e04102b67cc5da379ba9d4226feaef8,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/013__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__user__made__flr__with__chat__web__stuff__WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.md,https://raw.githubusercontent.com/KokunoYumeto/modern-latex-manuscripts/c7fb7e644e04102b67cc5da379ba9d4226feaef8/interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/013__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__user__made__flr__with__chat__web__stuff__WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.md,"OSError(22, 'Invalid argument')",retry raw download or ask B3 to package body,access-blocked-or-missing-body,gap/recovery only; no source certification or completion
C7FB-STD-RECOVERY-0005,c7fb7e644e04102b67cc5da379ba9d4226feaef8,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/014__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__user__made__flr__with__chat__web__stuff__enclosures__WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.md,https://raw.githubusercontent.com/KokunoYumeto/modern-latex-manuscripts/c7fb7e644e04102b67cc5da379ba9d4226feaef8/interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/014__interlanguage-sidecar__20260705__fable_chatgpt_interlingua_program_full__interlingua_program_20260704__user__made__flr__with__chat__web__stuff__enclosures__WEIGHTED_INTELLIGIBILITY_SCORES_v3_20260704.md,"OSError(22, 'Invalid argument')",retry raw download or ask B3 to package body,access-blocked-or-missing-body,gap/recovery only; no source certification or completion
C7FB-STD-RECOVERY-0006,c7fb7e644e04102b67cc5da379ba9d4226feaef8,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/017__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__DO_NOT_USE_LEDGER_20260704.json,https://raw.githubusercontent.com/KokunoYumeto/modern-latex-manuscripts/c7fb7e644e04102b67cc5da379ba9d4226feaef8/interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/017__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__DO_NOT_USE_LEDGER_20260704.json,"OSError(22, 'Invalid argument')",retry raw download or ask B3 to package body,access-blocked-or-missing-body,gap/recovery only; no source certification or completion
C7FB-STD-RECOVERY-0007,c7fb7e644e04102b67cc5da379ba9d4226feaef8,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/018__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__DO_NOT_USE_LEDGER_20260704.md,https://raw.githubusercontent.com/KokunoYumeto/modern-latex-manuscripts/c7fb7e644e04102b67cc5da379ba9d4226feaef8/interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/018__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__DO_NOT_USE_LEDGER_20260704.md,"OSError(22, 'Invalid argument')",retry raw download or ask B3 to package body,access-blocked-or-missing-body,gap/recovery only; no source certification or completion
C7FB-STD-RECOVERY-0008,c7fb7e644e04102b67cc5da379ba9d4226feaef8,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/019__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__INTERLINGUAL_MARKER_TABLE_v3_4_20260705.csv,https://raw.githubusercontent.com/KokunoYumeto/modern-latex-manuscripts/c7fb7e644e04102b67cc5da379ba9d4226feaef8/interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/019__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__INTERLINGUAL_MARKER_TABLE_v3_4_20260705.csv,"OSError(22, 'Invalid argument')",retry raw download or ask B3 to package body,access-blocked-or-missing-body,gap/recovery only; no source certification or completion
C7FB-STD-RECOVERY-0009,c7fb7e644e04102b67cc5da379ba9d4226feaef8,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/020__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__INTERLINGUAL_MARKER_TABLE_v3_4_20260705.json,https://raw.githubusercontent.com/KokunoYumeto/modern-latex-manuscripts/c7fb7e644e04102b67cc5da379ba9d4226feaef8/interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/020__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__INTERLINGUAL_MARKER_TABLE_v3_4_20260705.json,"OSError(22, 'Invalid argument')",retry raw download or ask B3 to package body,access-blocked-or-missing-body,gap/recovery only; no source certification or completion
C7FB-STD-RECOVERY-0010,c7fb7e644e04102b67cc5da379ba9d4226feaef8,branch-input-body-download-blocker,interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/021__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__NORMALIZATION_DECISIONS_R1_DRAFT_v1_20260705.json,https://raw.githubusercontent.com/KokunoYumeto/modern-latex-manuscripts/c7fb7e644e04102b67cc5da379ba9d4226feaef8/interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/021__interlanguage-sidecar__20260706__claude_chatgpt_interlingua_program_full_provenance_dump__interlingua_program_20260704__NORMALIZATION_DECISIONS_R1_DRAFT_v1_20260705.json,"OSError(22, 'Invalid argument')",retry raw download or ask B3 to package body,access-blocked-or-missing-body,gap/recovery only; no source certification or completion
