row_id,status,path,bytes,sha256,lane_class,mentions_japanese_zh_or_cjk,mentions_draft_pretranslation_or_interlinear_context,mentions_source_body_or_witness_terms,direct_jp_zh_source_body_candidate,first_context_hits,source_use_label,frontier,non_claim_boundary
45250d8f-changed-001,A,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707/B3_ACTION_SUMMARY.csv,288,FED798814B07E653FA77ABA9C553371D57CD25B88E94BE442AC60D90C1B6B3A9,B3 transfer-audit/package context,False,True,True,False,"L1: ""action"",""roots"",""package_files"",""manifest_bad"",""sha_bad"",""safety_hits"",""boundary"" || L2: ""package_nonslavic_d9_route_and_repaired_c0_route"",""2"",""37"",""0"",""0"",""1"",""route/source-use/provenance/package context only; no source-cert/review/approval/license/gate/final/translation-completion claim""",generated-draft/non-canonical/source-use/gap-support,45250d8fb6a9dd5ae477542c2613e50c13f3fcc6,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not community consent/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not CJK interlanguage bridge/not pan-CJK authority/not Korean-school authority/not visual inventory/not term spine/not sign rendering/not translation completion
45250d8f-changed-002,A,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707/BRANCH_PR_STATE.csv,429,D0AA886A68A6567456EDBAF83ED58641BD16D9F59134EE6D33BBADE0FB6017F7,B3 transfer-audit/package context,False,True,True,False,"L7: ""pr_is_draft"",""True"" || L9: ""pr_base_ref"",""codex/noether-slavic-handoff-20260628"" || L10: ""pr_url"",""https://github.com/KokunoYumeto/modern-latex-manuscripts/pull/1""",generated-draft/non-canonical/source-use/gap-support,45250d8fb6a9dd5ae477542c2613e50c13f3fcc6,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not community consent/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not CJK interlanguage bridge/not pan-CJK authority/not Korean-school authority/not visual inventory/not term spine/not sign rendering/not translation completion
45250d8f-changed-003,A,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707/MANIFEST.csv,1550,F69ACC714DBCCD29D3D7FC6489C9AAE100AA244EE590D5C311130D85C02A87EC,B3 transfer-audit/package context,False,True,True,False,"L1: ""relative_path"",""bytes"",""sha256"",""source_use_label"" || L2: ""B3_ACTION_SUMMARY.csv"",""288"",""FED798814B07E653FA77ABA9C553371D57CD25B88E94BE442AC60D90C1B6B3A9"",""B3 package audit/provenance; source-use/gap/generated-draft/non-canonical boundary only"" || L3: ""BRANCH_PR_STATE.csv"",""429"",""D0AA886A68A6567456EDBAF83ED58641BD16D9F59134EE6D33BBADE0FB6017F7"",""B3 package audit/provenance; source-use/gap/generated-draft/non-canonical boundary only""",generated-draft/non-canonical/source-use/gap-support,45250d8fb6a9dd5ae477542c2613e50c13f3fcc6,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not community consent/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not CJK interlanguage bridge/not pan-CJK authority/not Korean-school authority/not visual inventory/not term spine/not sign rendering/not translation completion
45250d8f-changed-004,A,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707/MANIFEST_REPLAY.csv,8116,CA670A1F38A4D5AF413885647A1C2473D07A742C5D3FBE94E4813853147F2F63,B3 transfer-audit/package context,False,True,True,False,"L1: ""root_name"",""manifest_path"",""issue"",""expected_bytes"",""actual_bytes"",""expected_sha256"",""actual_sha256"" || L2: ""NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707"",""B3_HANDOFF_SENT_D9EA29B0.md"","""",""740"",""740"",""1812B7AB1A00355A8D5895160D97E3355C466FD1057FC7B19214DF7E050EF694"",""1812B7AB1A00355A8D5895160D97E3355C466FD1057 || L3: ""NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707"",""B3_PACKAGE_ROUTE_SUMMARY_D9EA29B0.csv"","""",""4536"",""4536"",""7567AA2EAE2B7A2445F68CECFCCAD167E36F9B04422E9D58EFD9FB6CF92AA732"",""7567AA2EAE2B7A2445F68CECFCCAD16",generated-draft/non-canonical/source-use/gap-support,45250d8fb6a9dd5ae477542c2613e50c13f3fcc6,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not community consent/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not CJK interlanguage bridge/not pan-CJK authority/not Korean-school authority/not visual inventory/not term spine/not sign rendering/not translation completion
45250d8f-changed-005,A,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707/PACKAGE_FILE_LEDGER.csv,20238,53632425AE751F1B807D1ADF386D2ECFC6C27D32702EA00706029B2C9FE85EE7,B3 transfer-audit/package context,False,True,True,False,"L1: ""root_name"",""local_path"",""relative_path"",""dest_path"",""bytes"",""sha256"" || L2: ""NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707"",""C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707\B3_HANDOFF_SEN || L3: ""NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707"",""C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707\B3_PACKAGE_ROU",generated-draft/non-canonical/source-use/gap-support,45250d8fb6a9dd5ae477542c2613e50c13f3fcc6,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not community consent/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not CJK interlanguage bridge/not pan-CJK authority/not Korean-school authority/not visual inventory/not term spine/not sign rendering/not translation completion
45250d8f-changed-006,A,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707/PACKAGE_ROOT_SUMMARY.csv,1156,84F39BB4034BC9FEF8BCA2DA578DDE37B7E7229C6F6A35F617FD5D0D5E3130E6,B3 transfer-audit/package context,False,True,True,False,"L1: ""root_name"",""local_path"",""dest_base"",""package_status"",""classification"",""file_count"",""bytes"",""manifest_rows"",""manifest_bad"",""sha_rows"",""sha_bad"",""placeholder_context_hits"",""placeholder_blocking_hits"",""credential_hits"",""ar || L2: ""NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707"",""C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707"",""uploader-tra || L3: ""NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707"",""C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707"",""",generated-draft/non-canonical/source-use/gap-support,45250d8fb6a9dd5ae477542c2613e50c13f3fcc6,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not community consent/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not CJK interlanguage bridge/not pan-CJK authority/not Korean-school authority/not visual inventory/not term spine/not sign rendering/not translation completion
45250d8f-changed-007,A,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707/README.md,929,65BEEE9FBC145C397C7C0352D617781374634796B6D15444A20028E10A11FDFE,B3 transfer-audit/package context,False,True,True,False,"L1: # B3 86D Non-Slavic D9 Route And C0 Repair || L3: This B3 package-steward audit freezes the Non-Slavic Core D9 frontier-advance route and the repaired C0CB1DB1 68E Persianate/Tajik return route from current B3 parent 86d260cd1b5296ce593bebe706b1eefc79091406. The D9 rout || L5: One $prior68 / $current occurrence remains only as quoted repair-validation blocker history inside the D9 packet and is recorded as context, not active template residue. Tajik remains source-discovery-only. B3 makes no n",generated-draft/non-canonical/source-use/gap-support,45250d8fb6a9dd5ae477542c2613e50c13f3fcc6,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not community consent/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not CJK interlanguage bridge/not pan-CJK authority/not Korean-school authority/not visual inventory/not term spine/not sign rendering/not translation completion
45250d8f-changed-008,A,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707/SAFETY_SCAN_HITS.csv,901,4C6F9DC23CBD2C7E0D83943A54A6C2AC2AA71A37404D944519BDAF484A099AE5,B3 transfer-audit/package context,False,True,True,False,"L2: ""NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707"",""placeholder_context"",""C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_2",generated-draft/non-canonical/source-use/gap-support,45250d8fb6a9dd5ae477542c2613e50c13f3fcc6,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not community consent/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not CJK interlanguage bridge/not pan-CJK authority/not Korean-school authority/not visual inventory/not term spine/not sign rendering/not translation completion
45250d8f-changed-009,A,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707/SHA256SUMS.txt,692,BA5C3E0EB318F396C8C31D78CE708F334B0092EE88955D6F02DD2D2C67427B3B,B3 transfer-audit/package context,False,False,True,False,L3: CA670A1F38A4D5AF413885647A1C2473D07A742C5D3FBE94E4813853147F2F63  MANIFEST_REPLAY.csv || L4: 53632425AE751F1B807D1ADF386D2ECFC6C27D32702EA00706029B2C9FE85EE7  PACKAGE_FILE_LEDGER.csv || L8: 656DB47054AD285754CD2A56F3B4FEB7E774AF542DA152953F6DC677FA374342  SHA256SUMS_REPLAY.csv,generated-draft/non-canonical/source-use/gap-support,45250d8fb6a9dd5ae477542c2613e50c13f3fcc6,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not community consent/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not CJK interlanguage bridge/not pan-CJK authority/not Korean-school authority/not visual inventory/not term spine/not sign rendering/not translation completion
45250d8f-changed-010,A,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707/SHA256SUMS_REPLAY.csv,8579,656DB47054AD285754CD2A56F3B4FEB7E774AF542DA152953F6DC677FA374342,B3 transfer-audit/package context,False,True,True,False,"L1: ""root_name"",""sha_path"",""issue"",""expected_sha256"",""actual_sha256"" || L2: ""NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707"",""B3_HANDOFF_SENT_D9EA29B0.md"","""",""1812B7AB1A00355A8D5895160D97E3355C466FD1057FC7B19214DF7E050EF694"",""1812B7AB1A00355A8D5895160D97E3355C466FD1057FC7B19214DF7 || L3: ""NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707"",""B3_PACKAGE_ROUTE_SUMMARY_D9EA29B0.csv"","""",""7567AA2EAE2B7A2445F68CECFCCAD167E36F9B04422E9D58EFD9FB6CF92AA732"",""7567AA2EAE2B7A2445F68CECFCCAD167E36F9B04422E9",generated-draft/non-canonical/source-use/gap-support,45250d8fb6a9dd5ae477542c2613e50c13f3fcc6,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not community consent/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not CJK interlanguage bridge/not pan-CJK authority/not Korean-school authority/not visual inventory/not term spine/not sign rendering/not translation completion
