scope	source_path	bytes	sha256	disposition
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/compiled_source_pdfs/Paper_18_Part_1.pdf	194173	CD6C1C8E3EBD70AB7D7780ED4174216C74BD59FCA35AC09DD0A251869B7AB2A6	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/compiled_source_pdfs/Paper_18_Part_2.pdf	193389	4883F4112630F8BA79FDA529559D83BBE1CE89E30CD967057DCD67ACE8878C6F	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/compiled_source_pdfs/Paper_18_Part_3.pdf	189733	331F8B207B6EE4F2F9D9B33D5BAA26F1ED8A6F0DAE06FDE4910E9A83CF90B2CB	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/compiled_source_pdfs/Paper_18_Part_4.pdf	124956	BF5DA807BD8FA543DF09B8713B79FBF9B7A14C259BE5E69CA3B170F290574456	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/logs/Paper_18_Part_1.xelatex.stdout.log	6028	CD79FC91B3B7652614D2F0129F083AD1111977DFB45F740515EB041667732386	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/logs/Paper_18_Part_2.xelatex.stdout.log	9569	F0830531E3B598AC6AB49BE2EE233F11361CF8DA282CA370A71ECD24B0C6E1F2	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/logs/Paper_18_Part_3.xelatex.stdout.log	5538	7887A3AC3B7806E0F0D135BFD729A46B5882184B4B1F44EEEFDA8591D9998C03	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/logs/Paper_18_Part_4.xelatex.stdout.log	6252	223F5B6AEA1C0A41FAF648428F7AC46759CB20992A42C92646B09E3B3DC31150	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/pdf_papers_001_029/18_Moduli_schemes_of_elliptic_curves.pdf	809612	0228A7CA6881CCB8F614DA0B33BCF9B3E65563D979548DE71E3936A3DD7BA5A8	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/source_tex/Paper_18_Part_1.tex	86692	CDA30FF46DEBB6CE30EA1832F65099BD58EB2392D90B59B6354D3F0D262F808D	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/source_tex/Paper_18_Part_2.tex	100301	4FFAEA4641BAE19FFC6C5F62E9196ED497B0C5E728DF8B20005EDD2A4FC2305F	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/source_tex/Paper_18_Part_3.tex	94380	38BBAA3564EDE87CD59FF7101CECC31ACC87AB03DA9EC22AD115DC98E5ECE826	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	deligne_kimi_papers_001_029_recombined_qc/source_tex/Paper_18_Part_4.tex	44356	6225136175D8E1CF4AA60B8E4DFA9CB51B68ADC2B3EFA69B9E7D4577049E46F2	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
D018-wide legacy Kimi/cleaned branch	private_original/18_Moduli_schemes_of_elliptic_curves.pdf	794534	2074F9D7B79745ED932C29D36C9FEF1E3EFF24FA4D2ADFFFC631E0FDE744BE96	ZERO_ACCEPTED; comparison/routing only; no page-aligned authority role
