"relative_path","bytes","sha256","record_or_line_count","publication_disposition","reason"
"05_ledgers/NOETHER_CORRECTION_ORIGIN_LEDGER_current.csv","280597","9F39CBDBEC3BAEF92DA1BCD66AE94E58DF2955D0ACDA54D28FCD71282E412FAC","515","internal_private_control_not_published","contains absolute local filesystem paths or internal routing identifiers"
"05_ledgers/NOETHER_MASTER_PUBLICATION_LOGBOOK_current.md","366598","B3930CFD86A153FDE2532A55F6EF493FEE45A92873357DD767FE20EB60D021A2","3067","internal_private_control_not_published","contains absolute local filesystem paths or internal routing identifiers"
"05_ledgers/NOETHER_PAGE_QC_CANONICAL_PER_PAGE_current.csv","1158140","F8126FB12A6E1D9A5238900B14D2E6AA8AF366D250C25CF26868097CDFC624A3","759","internal_private_control_not_published","contains absolute local filesystem paths or internal routing identifiers"
"05_ledgers/NOETHER_PAGE_QC_LEDGER_current.csv","1496135","C5B5AB015C80989B666D5AF341FEA93E88F81FE7CAE622E740F697409CED2535","1326","internal_private_control_not_published","contains absolute local filesystem paths or internal routing identifiers"
"07_provenance/INPUT_AND_AUTHORITY_HASHES.csv","2915","2E072A5551182425BD02020DF5B71E8750D536F04753DF42CAA2082B621D9202","11","internal_private_control_not_published","contains absolute local filesystem paths or internal routing identifiers"
"08_docs/NOETHER_CURRENT_AUTHORITY_POINTER.md","1643","D3AA101B1B0A1BE657FCAE3DEF493BC5AC2150785D00CBBD16CD272A38D935C2","17","internal_private_control_not_published","contains absolute local filesystem paths or internal routing identifiers"
"07_logs/xelatex_pass1_console.txt","10887","DC723C52AD39E5529E003E4CBD9CA7DF2940FB02CB41E735706E9970441E8DE3","174","internal_private_control_not_published","contains absolute local filesystem paths or internal routing identifiers"
"07_logs/xelatex_pass1.log","35239","AAADF5775B753BA9825FBD40759646ED3ABA7B70E60286E5495F02D63D49D322","826","internal_private_control_not_published","contains absolute local filesystem paths or internal routing identifiers"
"07_logs/xelatex_pass2_console.txt","10887","DC723C52AD39E5529E003E4CBD9CA7DF2940FB02CB41E735706E9970441E8DE3","174","internal_private_control_not_published","contains absolute local filesystem paths or internal routing identifiers"
"07_logs/xelatex_pass2.log","35239","AAADF5775B753BA9825FBD40759646ED3ABA7B70E60286E5495F02D63D49D322","826","internal_private_control_not_published","contains absolute local filesystem paths or internal routing identifiers"
