"visual_id","relative_path","parent_pdf_sha256","pdf_page","width_px","height_px","generation_dpi","embedded_dpi_x","embedded_dpi_y","rotation_degrees","bounding_box","sha256","bytes","linked_structural_unit","generation_basis","publication_disposition","qa_disposition"
"VE-NOE-GER-P02P49-001","rendered_current/page-013.png","505A4966299C7292EF272FD54754BF4E5F45B14C72AFA03B487512D4EFED4136","13","1489","2105","180","180","180","0","0,0,1489,2105","4176BEF351BAB7C6EB16BE137CB9F577207F62D4C30C5D94BFD60CAF900B9FAA","319383","paper02_printed_pp42_49","producer_same_renderer_current_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P49-002","rendered_current/page-014.png","505A4966299C7292EF272FD54754BF4E5F45B14C72AFA03B487512D4EFED4136","14","1489","2105","180","180","180","0","0,0,1489,2105","409A3A1093510E24E3EC734B3E95CE49AC5F01B0F892789C8E18E904AFDE16E6","336574","paper02_printed_pp42_49","producer_same_renderer_current_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P49-003","rendered_current/page-015.png","505A4966299C7292EF272FD54754BF4E5F45B14C72AFA03B487512D4EFED4136","15","1489","2105","180","180","180","0","0,0,1489,2105","73111AC7F9C7D94B61E6555E7A1609D2D28D49E497EA6AD02DB9B5CD8595C70F","394140","paper02_printed_pp42_49","producer_same_renderer_current_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P49-004","rendered_current/page-016.png","505A4966299C7292EF272FD54754BF4E5F45B14C72AFA03B487512D4EFED4136","16","1489","2105","180","180","180","0","0,0,1489,2105","2E95242C0817BF7EB83346054B1BBC2E9A995D982E5BC7AF1226D9DEDC8C19A8","292135","paper02_printed_pp42_49","producer_same_renderer_current_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P49-005","rendered_current/page-017.png","505A4966299C7292EF272FD54754BF4E5F45B14C72AFA03B487512D4EFED4136","17","1489","2105","180","180","180","0","0,0,1489,2105","0D722FE588BB18B20D5764A651F5D100F2231F5AEE5A6EAFA40FDE241170E0B3","274593","paper02_printed_pp42_49","producer_same_renderer_current_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P49-006","rendered_before/page-013.png","F94B5EDEEBBA49DEBA6CE52EEF73339F9D8AF16189625E6B8E33754AD3035FE5","13","1489","2105","180","180","180","0","0,0,1489,2105","64EDCF6170022809D503F9F01381A4F91CC532E7217DBCE455961341C3FA9D62","318885","paper02_printed_pp42_49","producer_same_renderer_predecessor_render","open_payload","accepted_before_state_for_change_comparison"
"VE-NOE-GER-P02P49-007","rendered_before/page-014.png","F94B5EDEEBBA49DEBA6CE52EEF73339F9D8AF16189625E6B8E33754AD3035FE5","14","1489","2105","180","180","180","0","0,0,1489,2105","33F8C7E43B02EFFB947D38BC72381918CF2D837F875278482BE6AF47A9D4D681","336339","paper02_printed_pp42_49","producer_same_renderer_predecessor_render","open_payload","accepted_before_state_for_change_comparison"
"VE-NOE-GER-P02P49-008","rendered_before/page-015.png","F94B5EDEEBBA49DEBA6CE52EEF73339F9D8AF16189625E6B8E33754AD3035FE5","15","1489","2105","180","180","180","0","0,0,1489,2105","609A6A6BBDDF597336403C1F9E4431A63DF5A4D4E3716390AC40CAB4487630D3","394002","paper02_printed_pp42_49","producer_same_renderer_predecessor_render","open_payload","accepted_before_state_for_change_comparison"
"VE-NOE-GER-P02P49-009","rendered_before/page-016.png","F94B5EDEEBBA49DEBA6CE52EEF73339F9D8AF16189625E6B8E33754AD3035FE5","16","1489","2105","180","180","180","0","0,0,1489,2105","B6F41B4E1709AB4A97F2525685040F0CAC2633E485272A621493C9EBF5768F09","292645","paper02_printed_pp42_49","producer_same_renderer_predecessor_render","open_payload","accepted_before_state_for_change_comparison"
"VE-NOE-GER-P02P49-010","rendered_before/page-017.png","F94B5EDEEBBA49DEBA6CE52EEF73339F9D8AF16189625E6B8E33754AD3035FE5","17","1489","2105","180","180","180","0","0,0,1489,2105","C079C8CEA5F332017251AE8DA93CA31B83859F5090C4C10678E712A95A9C4E4C","272872","paper02_printed_pp42_49","producer_same_renderer_predecessor_render","open_payload","accepted_before_state_for_change_comparison"
