# const	n	lon_d	lon_m	lat_d	lat_m	plaga	mag	bayer	codex_note
UrsaMinor	1	71	20	66	0	b	3	alpha	Polaris
UrsaMinor	2	87	10	74	20	b	4	epsilon	cod.long 101.20
UrsaMinor	3	118	20	72	50	b	2	beta	Kochab; cod.long 153 lat50->10
UrsaMinor	4	127	20	74	50	b	2	gamma	Pherkad; cod.long 157
UrsaMajor	1	96	30	39	50	b	4	omicron	cod.long 176
UrsaMajor	2	111	50	35	0	b	3	theta
UrsaMajor	3	106	40	29	20	b	3	iota
UrsaMajor	4	107	30	28	20	b	3	kappa
UrsaMajor	5	118	50	49	0	b	2	alpha	Dubhe
UrsaMajor	6	123	20	44	30	b	2	beta	Merak
UrsaMajor	7	134	20	51	0	b	3	delta	Megrez
UrsaMajor	8	134	10	46	30	b	2	gamma	Phecda
UrsaMajor	9	123	50	29	20	b	3	lambda
UrsaMajor	10	125	20	28	15	b	3	mu
UrsaMajor	11	141	0	25	50	b	3	nu
UrsaMajor	12	141	30	25	0	b	3	xi
UrsaMajor	13	143	20	53	30	b	2	epsilon	Alioth
UrsaMajor	14	149	10	55	40	b	2	zeta	Mizar
UrsaMajor	15	161	0	54	0	b	2	eta	Alkaid
UrsaMajor	16	159	0	39	45	b	3	12Canum
UrsaMajor	17	116	10	17	15	b	4	40Lyncis
UrsaMajor	18	117	20	20	0	b	obsc	10LeoMi
UrsaMajor	19	113	20	22	50	b	obsc	-
UrsaMajor	20	112	20	20	20	b	obsc	-
UrsaMajor	21	101	10	22	15	b	obsc	31Lyncis
Draco	1	217	50	76	30	b	4	mu	-
Draco	2	250	50	75	30	b	3	gamma	-
Draco	3	234	20	75	40	b	3	beta	-
Draco	4	169	30	84	50	b	3	zeta	-
Draco	5	171	10	78	0	b	3	eta	-
Draco	6	142	20	65	30	b	3	alpha	Thuban
Draco	7	120	20	61	15	b	3	kappa	-
Draco	8	114	20	56	15	b	3	lambda	-
Cephaeus	1	357	50	69	0	b	3	alpha	-
Cephaeus	2	350	30	72	0	b	4	eta	-
Cephaeus	3	18	40	62	30	b	4	iota	codLong 68.13
Cephaeus	4	357	30	60	15	b	5	epsilon	-
Bootes	1	180	50	49	0	b	3	gamma	-
Bootes	2	187	50	53	50	b	4	beta	-
Bootes	3	196	50	48	40	b	4	delta	-
Bootes	4	198	50	46	30	b	4	-	-
Bootes	5	191	10	40	15	b	3	epsilon	-
Bootes	6	186	10	42	10	b	4	rho	-
Bootes	7	196	30	28	0	b	3	zeta	-
Bootes	8	182	30	28	0	b	3	eta	-
Bootes	9	181	40	26	30	b	4	tau	-
Bootes	10	182	30	25	0	b	4	upsilon	-
Bootes	11	188	40	31	30	b	1	alpha	Arcturus
CoronaBorealis	1	205	50	44	30	b	2	alpha	Alphecca
CoronaBorealis	2	202	50	46	30	b	4	beta	-
Hercules	1	238	50	37	30	b	3	alpha	Rasalgethi
Hercules	2	224	50	43	0	b	3	beta	-
Hercules	3	222	50	40	10	b	3	gamma	-
Hercules	4	237	50	48	0	b	3	delta	-
Hercules	5	243	10	49	30	b	4	lambda	-
Hercules	6	248	50	52	0	b	4	mu	-
Hercules	7	252	40	53	0	b	3	xi	-
Hercules	8	224	50	50	40	b	3	zeta	-
Hercules	9	232	20	58	30	b	3	-	-
Hercules	10	237	30	61	15	b	4	rho	-
Hercules	11	221	50	64	0	b	4	eta	-
Hercules	12	206	50	65	30	b	4	tau	-
Lyra	1	268	30	62	0	b	1	alpha	Vega
Lyra	2	271	30	62	40	b	4	epsilon	-
Lyra	3	271	30	61	0	b	4	zeta	-
Lyra	4	272	0	55	0	b	4	nu1	-
Lyra	5	272	10	54	45	b	4	lambda	-
Lyra	6	272	10	56	10	b	3	beta	Sheliak
Lyra	7	276	20	55	20	b	3	gamma	Sulafat
Cygnus	1	281	50	49	20	b	3	beta	Albireo
Cygnus	2	297	30	54	30	b	4	eta	-
Cygnus	3	309	40	57	20	b	3	gamma	Sadr
Cygnus	4	320	20	60	0	b	2	alpha	Deneb
Cygnus	5	300	30	64	40	b	3	delta	-
Cygnus	6	302	20	71	30	b	4	iota2	-
Cygnus	7	297	50	74	0	b	4	kappa	-
Cygnus	8	312	0	49	30	b	3	epsilon	-
Cygnus	9	321	10	55	10	b	4	nu	-
