authority_pdf_page	paper_folio	check_id	scan_or_locator_reading	canonical_reading	independent_basis	result
1	299	P01_TERMS	en terme des Frobenius	en termes des Frobenius	French fixed locution and whole-work grammar audit	PASS
2	300	P02_AFFAIRE	nous n’en avons qu’à	nous n’avons affaire qu’à	required French verbal locution	PASS
2	300	P02_RECIPROCITY_SIGN	K*≃W(K̄/K)^ab	K*≃W(K̄/K)^ab	authority pixel recheck; S01 state equality corrected	PASS
6	304	P06_LEMMA_GRAMMAR	Lemma.; Une lemme	Lemme.; Un lemme	French language and article agreement	PASS
12	310	P12_COVERING_DOMAIN	z∈K̄	z∈K̄	z lies in the additive universal-cover subgroup K̄=preimage of K̄* in E; S02 over-repair superseded	PASS
13	311	P13_PLURAL	des formule	des formules	plural agreement	PASS
13	311	P13_RECIPROCITY_EXP	inv(∂χ∪α)=χ(α)	exp(2πi inv(∂χ∪α))=χ(α)	Q/Z versus C* typing; Proposition 4.6	PASS
14	312	P14_LOCAL_WEIL	H²(K̄_v/K_v,μ_n)	H²(W(K̄_v/K_v),μ_n)	restriction from global Weil cohomology; almost-everywhere factor H²(Z,μ_n)	PASS
14	312	P14_REFERENCE	De par 4.5	De par 4.6	exponential invariant identity is Proposition 4.6	PASS
15	313	P15_EXACTNESS_DIAGRAM	large two-row diagram with A, zeros, inv, Σ, and vertical arrows	same topology, semantically reconstructed	authority pixels; exact rows and quotient columns checked	PASS
16	314	P16_BUNDLE	𝒱 is isomorphic to (𝒲⊕𝒱/𝒲⊥)⊕(𝒲⊥/𝒲)	same	authority pixels and isotropic-filtration decomposition	PASS
16	314	P16_CHERN	w²(V)=c¹(W) mod 2	same	authority pixels; realification/Chern-class identity	PASS
17	315	P17_EPSILON_ZERO	ε(V)=ε(V,0)	same	s=0 gives W(V)=ε(V)f^{-1/2}; not an additive-character glyph	PASS
17	315	P17_GRAMMAR	il n’en pas de même	il n’en est pas de même	missing finite verb	PASS
17	315	P17_NUMBER	(2.3.1)	(5.4.1)	first numbered display of subsection 5.4	PASS
17	315	P17_NILPOTENT	(ρ′,N′)	(ρ′,N)	all defining and subsequent formulas use N	PASS
17	315	P17_T_PARAMETER	t morally q^{-s}	same	authority pixels and epsilon-variable definition; q^{-1/2} occurs only at evaluation	PASS
18	316	P18_END_MATTER	bibliography 1-3; Reçu le 20 septembre 1975; full address	same	authority pixels; terminal blank remainder excluded	PASS
